Orthogroup	schistosoma_spindale	schistosoma_haematobium
OG0000879	SSPN1_56420.1	SHAE2_62370.1, SHAE2_62390.1
OG0000880	SSPN1_76660.1	SHAE2_84050.1, SHAE2_84050.10, SHAE2_84050.5, SHAE2_84050.11, SHAE2_84050.7, SHAE2_84050.3, SHAE2_84050.2, SHAE2_84050.4, SHAE2_84050.6, SHAE2_84050.8, SHAE2_84050.9
OG0000881	SSPN1_4460.1	SHAE2_5120.1
OG0000881	SSPN1_87410.1	SHAE2_96200.1, SHAE2_96170.1
OG0000882	SSPN1_21280.1	SHAE2_24220.1
OG0000882	SSPN1_30850.1, SSPN1_30850.2	SHAE2_43040.2, SHAE2_43040.1, SHAE2_43040.3
OG0000883	SSPN1_30860.1	SHAE2_43030.2, SHAE2_43030.1, SHAE2_43030.5, SHAE2_43030.6, SHAE2_43030.9, SHAE2_43030.3, SHAE2_43030.7, SHAE2_43030.8, SHAE2_43030.4
OG0000884	SSPN1_31600.1	SHAE2_42310.1, SHAE2_42310.2
OG0000885	SSPN1_1220.1	SHAE2_97940.1, SHAE2_97940.2, SHAE2_61010.1, SHAE2_130.1, SHAE2_130.2
OG0000886	SSPN1_67740.2	SHAE2_74840.2
OG0000887	SSPN1_12460.3, SSPN1_12460.4, SSPN1_12460.5, SSPN1_12460.6, SSPN1_12460.7, SSPN1_12460.1, SSPN1_12460.2	SHAE2_21790.2, SHAE2_21790.5, SHAE2_21790.4, SHAE2_21790.7, SHAE2_21790.3, SHAE2_21790.1, SHAE2_21790.6
OG0000888	SSPN1_75770.1, SSPN1_75770.2, SSPN1_75770.5, SSPN1_75770.3, SSPN1_75770.4	SHAE2_83180.1
OG0000889	SSPN1_26660.1, SSPN1_26660.2	SHAE2_30000.1, SHAE2_30000.2
OG0000890	SSPN1_39640.10, SSPN1_39640.1, SSPN1_39640.4, SSPN1_39640.5, SSPN1_39640.6, SSPN1_39640.7, SSPN1_39640.8, SSPN1_39640.2, SSPN1_39640.3, SSPN1_39640.9	SHAE2_43810.11, SHAE2_43810.2, SHAE2_43810.3, SHAE2_43810.4, SHAE2_43810.7, SHAE2_43810.6, SHAE2_43810.1, SHAE2_43810.10, SHAE2_43810.12, SHAE2_43810.5, SHAE2_43810.9, SHAE2_43810.8
OG0000891	SSPN1_33720.1	SHAE2_40150.1
OG0000892	SSPN1_50250.4, SSPN1_50250.1, SSPN1_50250.2, SSPN1_50250.3	SHAE2_55260.3, SHAE2_55260.1, SHAE2_55260.2
OG0000894	SSPN1_84600.1	SHAE2_93010.1, SHAE2_93010.4, SHAE2_93010.5, SHAE2_93010.6, SHAE2_93010.3, SHAE2_93010.2
OG0000895	SSPN1_42610.3, SSPN1_42610.1, SSPN1_42610.5, SSPN1_42610.6, SSPN1_42610.4, SSPN1_42610.2	SHAE2_46840.6, SHAE2_46840.1, SHAE2_46840.8, SHAE2_46840.5, SHAE2_46840.2, SHAE2_46840.7, SHAE2_46840.4, SHAE2_46840.3
OG0000896	SSPN1_9940.1, SSPN1_9950.2, SSPN1_9950.1, SSPN1_9950.3	SHAE2_22260.1, SHAE2_22280.2, SHAE2_22280.3, SHAE2_22280.1
OG0000897	SSPN1_20380.1, SSPN1_20380.2	SHAE2_11920.1, SHAE2_11920.2, SHAE2_11920.4, SHAE2_11920.3, SHAE2_11920.5
OG0000898	SSPN1_69210.2, SSPN1_69210.3, SSPN1_69210.1, SSPN1_69210.4, SSPN1_69210.5	SHAE2_76400.1
OG0000899	SSPN1_16200.1, SSPN1_16200.2	SHAE2_16230.1
OG0000900	SSPN1_3530.1, SSPN1_3550.1, SSPN1_3550.2	SHAE2_4170.1, SHAE2_4160.1
OG0000901	SSPN1_61610.1	SHAE2_66720.5, SHAE2_66720.6, SHAE2_66720.4, SHAE2_66720.1, SHAE2_66720.2, SHAE2_66720.3
OG0000902	SSPN1_53300.1	SHAE2_58360.2, SHAE2_58360.1
OG0000903	SSPN1_15220.1	SHAE2_17420.3, SHAE2_17420.1, SHAE2_17420.2
OG0000904	SSPN1_4990.1, SSPN1_4990.2, SSPN1_4990.3	SHAE2_5640.1
OG0000905	SSPN1_75930.1, SSPN1_75930.2, SSPN1_75930.3	SHAE2_83350.2, SHAE2_83350.3, SHAE2_83350.5, SHAE2_83350.1, SHAE2_83350.4, SHAE2_83350.6, SHAE2_83350.7, SHAE2_83350.8
OG0000906	SSPN1_65460.1	SHAE2_68040.1
OG0000907	SSPN1_71750.1	SHAE2_79090.1, SHAE2_79090.2, SHAE2_79090.3, SHAE2_79090.4
OG0000908	SSPN1_25580.1	SHAE2_28900.1
OG0000910	SSPN1_8090.1, SSPN1_8090.2	SHAE2_10020.1, SHAE2_10020.2, SHAE2_10020.3
OG0000911	SSPN1_56200.1	SHAE2_62180.1
OG0000912	SSPN1_6370.1	SHAE2_6970.7, SHAE2_6970.10, SHAE2_6970.8, SHAE2_6970.11, SHAE2_6970.4, SHAE2_6970.5, SHAE2_6970.6, SHAE2_6970.9, SHAE2_6970.2, SHAE2_6970.1, SHAE2_6970.3
OG0000913	SSPN1_30350.1, SSPN1_30350.2	SHAE2_33740.3, SHAE2_33740.1, SHAE2_33740.4, SHAE2_33740.5, SHAE2_33740.2
OG0000914	SSPN1_32460.1	SHAE2_41490.3, SHAE2_41490.4, SHAE2_41490.2, SHAE2_41490.1, SHAE2_41490.5
OG0000915	SSPN1_28470.1	SHAE2_31880.1
OG0000916	SSPN1_31340.1	SHAE2_42590.1
OG0000917	SSPN1_81110.1	SHAE2_89530.1
OG0000918	SSPN1_25660.1, SSPN1_25660.2, SSPN1_25660.3, SSPN1_25660.4	SHAE2_29010.1
OG0000919	SSPN1_81260.1, SSPN1_81260.2, SSPN1_81260.3	SHAE2_89720.3, SHAE2_89720.1, SHAE2_89720.6, SHAE2_89720.5, SHAE2_89720.7, SHAE2_89720.2, SHAE2_89720.4
OG0000920	SSPN1_91420.1	SHAE2_100390.1, SHAE2_100390.7, SHAE2_100390.8, SHAE2_100390.6, SHAE2_100390.3, SHAE2_100390.5, SHAE2_100390.2, SHAE2_100390.4
OG0000921	SSPN1_42050.1	SHAE2_46300.5, SHAE2_46300.3, SHAE2_46300.1, SHAE2_46300.2, SHAE2_46300.4
OG0000922	SSPN1_6870.1	SHAE2_7420.1
OG0000922	SSPN1_6860.1	SHAE2_7410.1
OG0000923	SSPN1_89620.2	SHAE2_98560.1
OG0000925	SSPN1_14330.2, SSPN1_14330.7, SSPN1_14330.6, SSPN1_14330.5, SSPN1_14330.9, SSPN1_14330.1, SSPN1_14330.11, SSPN1_14330.13, SSPN1_14330.3, SSPN1_14330.10, SSPN1_14330.12, SSPN1_14330.4, SSPN1_14330.8	SHAE2_18470.3, SHAE2_18470.1, SHAE2_18470.2
OG0000926	SSPN1_25930.3, SSPN1_25930.1, SSPN1_25930.2, SSPN1_25930.4, SSPN1_25940.1	SHAE2_29380.1, SHAE2_29350.1, SHAE2_29350.2, SHAE2_29350.3, SHAE2_29350.5, SHAE2_29350.6, SHAE2_29350.4
OG0000927	SSPN1_12530.1	SHAE2_23540.1
OG0000928	SSPN1_38570.1, SSPN1_38570.2	SHAE2_34570.1, SHAE2_34570.2
OG0000929	SSPN1_59660.1, SSPN1_59660.2	SHAE2_69200.1, SHAE2_69200.2, SHAE2_69200.3, SHAE2_69200.4
OG0000930	SSPN1_41090.1, SSPN1_41090.3, SSPN1_41090.4, SSPN1_41090.2, SSPN1_41090.5, SSPN1_41090.6	SHAE2_45250.1
OG0000931	SSPN1_68650.1	SHAE2_75800.4, SHAE2_75800.6, SHAE2_75800.3, SHAE2_75800.2, SHAE2_75800.5, SHAE2_75800.1
OG0000932	SSPN1_330.1, SSPN1_330.2, SSPN1_330.3	SHAE2_1440.1, SHAE2_1440.2, SHAE2_1440.4, SHAE2_1440.5, SHAE2_1440.7, SHAE2_1440.9, SHAE2_1440.8, SHAE2_1440.3, SHAE2_1440.6
OG0000933	SSPN1_31240.1	SHAE2_42680.5, SHAE2_42680.4, SHAE2_42680.6, SHAE2_42680.2, SHAE2_42680.1, SHAE2_42680.3
OG0000934	SSPN1_20310.1, SSPN1_20310.3, SSPN1_20310.2, SSPN1_20310.4, SSPN1_20310.5	SHAE2_12000.3, SHAE2_12000.2, SHAE2_12000.1, SHAE2_12000.4
OG0000935	SSPN1_65080.10, SSPN1_65080.3, SSPN1_65080.6, SSPN1_65080.5, SSPN1_65080.1, SSPN1_65080.7, SSPN1_65080.8, SSPN1_65080.9, SSPN1_65080.2, SSPN1_65080.4	SHAE2_68500.1, SHAE2_68500.2, SHAE2_68500.3, SHAE2_68500.5, SHAE2_68500.4
OG0000936	SSPN1_90470.1	SHAE2_99330.1
OG0000937	SSPN1_52480.1, SSPN1_52480.2, SSPN1_52480.3	SHAE2_57510.1
OG0000938	SSPN1_64480.1	SHAE2_63760.1, SHAE2_63760.2
OG0000939	SSPN1_83550.1, SSPN1_83550.2	SHAE2_92260.3, SHAE2_92260.4, SHAE2_92260.1, SHAE2_92260.2
OG0000940	SSPN1_5660.1, SSPN1_5660.6, SSPN1_5660.4, SSPN1_5660.5, SSPN1_5660.3, SSPN1_5660.2	SHAE2_6270.1, SHAE2_6270.2
OG0000941	SSPN1_38760.1	SHAE2_34400.5
OG0000942	SSPN1_14710.1, SSPN1_14710.2	SHAE2_18000.2, SHAE2_18000.1, SHAE2_18000.4, SHAE2_18000.3, SHAE2_18000.5
OG0000943	SSPN1_27630.3, SSPN1_27630.4, SSPN1_27630.1, SSPN1_27630.2	SHAE2_31000.5, SHAE2_31000.2, SHAE2_31000.6, SHAE2_31000.3, SHAE2_31000.4, SHAE2_31000.1, SHAE2_31000.7
OG0000944	SSPN1_55980.1, SSPN1_55990.1, SSPN1_55990.2, SSPN1_55990.3	SHAE2_61850.3, SHAE2_61850.1, SHAE2_61850.2
OG0000945	SSPN1_19190.1	SHAE2_13200.1
OG0000946	SSPN1_8620.1, SSPN1_8620.2	SHAE2_10570.5, SHAE2_10570.1, SHAE2_10570.4, SHAE2_10570.2, SHAE2_10570.3
OG0000947	SSPN1_32140.1	SHAE2_41810.1, SHAE2_41810.2, SHAE2_41810.4, SHAE2_41810.5, SHAE2_41810.6, SHAE2_41810.7, SHAE2_41810.10, SHAE2_41810.8, SHAE2_41810.12, SHAE2_41810.3, SHAE2_41810.9, SHAE2_41810.11
OG0000948	SSPN1_78680.1	SHAE2_86050.1, SHAE2_86050.2, SHAE2_86050.3, SHAE2_86050.4, SHAE2_86050.5
OG0000949	SSPN1_14550.1	SHAE2_18200.1
OG0000950	SSPN1_51570.2, SSPN1_51570.5, SSPN1_51570.3, SSPN1_51570.6, SSPN1_51570.4, SSPN1_51570.1	SHAE2_56590.6, SHAE2_56590.1, SHAE2_56590.4, SHAE2_56590.5, SHAE2_56590.2, SHAE2_56590.3
OG0000952	SSPN1_28430.4	SHAE2_31920.1, SHAE2_31920.3, SHAE2_31920.4
OG0000952	SSPN1_28430.1, SSPN1_28430.3, SSPN1_28430.2	SHAE2_31920.2
OG0000953	SSPN1_61510.1	SHAE2_66830.4, SHAE2_66830.1, SHAE2_66830.2, SHAE2_66830.3, SHAE2_66830.5
OG0000954	SSPN1_77590.2, SSPN1_77590.3	SHAE2_84690.1, SHAE2_84690.2, SHAE2_84690.3
OG0000954	SSPN1_77590.1, SSPN1_77590.4	SHAE2_84690.4
OG0000955	SSPN1_17140.1, SSPN1_17140.2, SSPN1_17140.4, SSPN1_17140.5, SSPN1_17140.6, SSPN1_17140.3	SHAE2_14330.4, SHAE2_14330.1, SHAE2_14330.2, SHAE2_14330.3, SHAE2_14330.5
OG0000958	SSPN1_18190.1	SHAE2_15460.1
OG0000959	SSPN1_67220.1	SHAE2_74290.1, SHAE2_74290.5, SHAE2_74290.2, SHAE2_74290.3, SHAE2_74290.4
OG0000960	SSPN1_21940.1, SSPN1_21940.2	SHAE2_24790.1, SHAE2_24790.2, SHAE2_24790.3
OG0000961	SSPN1_32130.1	SHAE2_41840.1, SHAE2_41840.2, SHAE2_41840.3, SHAE2_41840.4
OG0000962	SSPN1_71730.1, SSPN1_71730.2, SSPN1_71730.3, SSPN1_71730.4	SHAE2_79070.9, SHAE2_79070.1, SHAE2_79070.2, SHAE2_79070.3, SHAE2_79070.4, SHAE2_79070.5, SHAE2_79070.6, SHAE2_79070.7, SHAE2_79070.8
OG0000963	SSPN1_2410.1, SSPN1_2410.2	SHAE2_2780.1, SHAE2_2780.3, SHAE2_2780.4, SHAE2_2780.2, SHAE2_2780.5, SHAE2_2780.6
OG0000964	SSPN1_39420.1, SSPN1_39420.3, SSPN1_39420.4, SSPN1_39420.2, SSPN1_39420.5, SSPN1_39420.7, SSPN1_39420.6	SHAE2_43590.1, SHAE2_43590.2, SHAE2_43590.3, SHAE2_43590.4
OG0000965	SSPN1_60720.1	SHAE2_67580.1, SHAE2_67580.2, SHAE2_67580.3
OG0000966	SSPN1_34730.1	SHAE2_39080.1
OG0000966	SSPN1_47450.1	SHAE2_52270.1
OG0000967	SSPN1_35490.4, SSPN1_35490.3, SSPN1_35490.1, SSPN1_35490.2	SHAE2_38230.1, SHAE2_38230.2, SHAE2_38230.4, SHAE2_38230.3, SHAE2_38230.5, SHAE2_38230.6
OG0000968	SSPN1_2770.1, SSPN1_2770.2, SSPN1_2770.4, SSPN1_2770.3, SSPN1_2770.5, SSPN1_2770.6	SHAE2_3340.1, SHAE2_3340.2
OG0000969	SSPN1_78570.1, SSPN1_78570.2	SHAE2_85930.1
OG0000970	SSPN1_66910.1	SHAE2_73980.1, SHAE2_73980.3, SHAE2_73980.4, SHAE2_73980.2
OG0000971	SSPN1_1860.1	SHAE2_2210.2, SHAE2_2210.4, SHAE2_2210.5, SHAE2_2210.1, SHAE2_2210.6, SHAE2_2210.3
OG0000972	SSPN1_6000.1, SSPN1_6000.4, SSPN1_6000.3, SSPN1_6000.2	SHAE2_6630.1
OG0000973	SSPN1_23180.1	SHAE2_25860.1
OG0000974	SSPN1_53610.3, SSPN1_53610.5, SSPN1_53610.2, SSPN1_53610.1, SSPN1_53610.4	SHAE2_58880.3, SHAE2_58880.2, SHAE2_58880.5, SHAE2_58880.7, SHAE2_58880.1, SHAE2_58880.6, SHAE2_58880.4
OG0000975	SSPN1_5820.1, SSPN1_5820.2	SHAE2_6440.2, SHAE2_6440.6, SHAE2_6440.3, SHAE2_6440.5, SHAE2_6440.1, SHAE2_6440.4
OG0000976	SSPN1_20200.1, SSPN1_20200.2, SSPN1_20200.3, SSPN1_20200.4, SSPN1_20200.5, SSPN1_20200.6	SHAE2_12130.1, SHAE2_12130.2, SHAE2_12130.3, SHAE2_12130.4
OG0000977	SSPN1_16610.1	SHAE2_13840.3, SHAE2_13840.1, SHAE2_13840.2, SHAE2_13840.4, SHAE2_13840.5, SHAE2_13840.6, SHAE2_13840.7, SHAE2_13840.8, SHAE2_13840.9
OG0000978	SSPN1_10090.1, SSPN1_10090.2, SSPN1_10090.3, SSPN1_10090.4, SSPN1_10090.5, SSPN1_10090.6	SHAE2_22400.1, SHAE2_22400.2, SHAE2_22400.6, SHAE2_22400.3, SHAE2_22400.4, SHAE2_22400.5
OG0000979	SSPN1_70820.1, SSPN1_70820.2	SHAE2_78110.1, SHAE2_78110.2, SHAE2_78110.3
OG0000980	SSPN1_50330.1	SHAE2_55340.1, SHAE2_55340.2
OG0000981	SSPN1_30910.1	SHAE2_43000.4, SHAE2_43000.1, SHAE2_43000.5, SHAE2_43000.3, SHAE2_43000.2, SHAE2_43000.6, SHAE2_43000.7
OG0000982	SSPN1_60220.1, SSPN1_60220.3, SSPN1_60220.2, SSPN1_60220.4	SHAE2_68570.1, SHAE2_68570.2, SHAE2_68570.4, SHAE2_68570.3
OG0000983	SSPN1_15060.1, SSPN1_15060.2, SSPN1_15060.3, SSPN1_15060.4	SHAE2_17620.1
OG0000984	SSPN1_36070.1, SSPN1_36070.2, SSPN1_36070.3	SHAE2_37630.1
OG0000985	SSPN1_14570.1	SHAE2_18180.2, SHAE2_18180.5, SHAE2_18180.1, SHAE2_18180.3, SHAE2_18180.4
OG0000986	SSPN1_69930.1, SSPN1_69930.2	SHAE2_77240.1
OG0000987	SSPN1_80240.1	SHAE2_88720.1
OG0000988	SSPN1_54910.1, SSPN1_54910.2	SHAE2_60400.4, SHAE2_60400.1, SHAE2_60400.2, SHAE2_60400.3
OG0000989	SSPN1_49670.1	SHAE2_54660.1, SHAE2_54660.8, SHAE2_54660.9, SHAE2_54660.3, SHAE2_54660.7, SHAE2_54660.5, SHAE2_54660.6, SHAE2_54660.2, SHAE2_54660.4
OG0000990	SSPN1_4620.1	SHAE2_5300.1, SHAE2_5300.2, SHAE2_5300.3
OG0000991	SSPN1_56860.1, SSPN1_56860.2, SSPN1_56860.3, SSPN1_56860.6, SSPN1_56860.4, SSPN1_56860.5	SHAE2_62780.1
OG0000992	SSPN1_42840.1, SSPN1_42840.2	SHAE2_47110.1
OG0000993	SSPN1_75200.3, SSPN1_75200.1, SSPN1_75200.2	SHAE2_82550.7, SHAE2_82550.6, SHAE2_82550.4, SHAE2_82550.5, SHAE2_82550.2, SHAE2_82550.1, SHAE2_82550.3
OG0000994	SSPN1_37020.4, SSPN1_37020.2, SSPN1_37020.1, SSPN1_37020.3	SHAE2_36710.2, SHAE2_36710.3, SHAE2_36710.1
OG0000995	SSPN1_77440.3, SSPN1_77440.1, SSPN1_77440.2, SSPN1_77460.1	SHAE2_84810.4, SHAE2_84810.1, SHAE2_84810.3, SHAE2_84810.2
OG0000996	SSPN1_60100.1, SSPN1_60100.2	SHAE2_68700.4, SHAE2_68700.2, SHAE2_68700.1, SHAE2_68700.3, SHAE2_68700.5
OG0000997	SSPN1_85610.1, SSPN1_85610.2	SHAE2_94160.1
OG0000998	SSPN1_53780.1	SHAE2_59230.1
OG0000999	SSPN1_33130.4, SSPN1_33130.5, SSPN1_33130.2, SSPN1_33130.1, SSPN1_33130.3	SHAE2_40800.1, SHAE2_40800.3, SHAE2_40800.4, SHAE2_40800.5, SHAE2_40800.6, SHAE2_40800.2
OG0001000	SSPN1_7070.2, SSPN1_7070.5, SSPN1_7070.1, SSPN1_7070.3, SSPN1_7070.4	SHAE2_7650.1, SHAE2_7650.2
OG0001003	SSPN1_38640.2, SSPN1_38640.4, SSPN1_38640.6, SSPN1_38640.5, SSPN1_38640.3, SSPN1_38640.7, SSPN1_38640.1	SHAE2_34510.3, SHAE2_34510.2, SHAE2_34510.4, SHAE2_34510.1, SHAE2_34510.5
OG0001004	SSPN1_14940.1	SHAE2_17750.1
OG0001005	SSPN1_4520.1, SSPN1_4520.2, SSPN1_4520.3	SHAE2_5200.1, SHAE2_5200.2, SHAE2_5200.3, SHAE2_5200.4
OG0001007	SSPN1_64790.4, SSPN1_64790.5, SSPN1_64790.1	SHAE2_63410.1
OG0001008	SSPN1_64800.4, SSPN1_64800.1, SSPN1_64800.3, SSPN1_64800.2, SSPN1_64800.7, SSPN1_64800.9, SSPN1_64800.8, SSPN1_64800.5, SSPN1_64800.6	SHAE2_63400.2, SHAE2_63400.4, SHAE2_63400.5, SHAE2_63400.1, SHAE2_63400.3
OG0001009	SSPN1_84820.1, SSPN1_84820.3, SSPN1_84820.4, SSPN1_84820.2, SSPN1_84820.5	SHAE2_93300.2, SHAE2_93300.1
OG0001010	SSPN1_63980.1	SHAE2_64310.1, SHAE2_64310.2, SHAE2_64310.3, SHAE2_64310.4, SHAE2_64310.5
OG0001011	SSPN1_31280.1	SHAE2_42640.1
OG0001012	SSPN1_5040.1, SSPN1_5040.3, SSPN1_5040.2	SHAE2_5680.1
OG0001013	SSPN1_18320.1	SHAE2_15640.4, SHAE2_15640.2
OG0001014	SSPN1_3950.1	SHAE2_4580.2, SHAE2_4580.1, SHAE2_4580.11, SHAE2_4580.3, SHAE2_4580.4, SHAE2_4580.6, SHAE2_4580.7, SHAE2_4580.8, SHAE2_4580.9, SHAE2_4580.5, SHAE2_4580.10
OG0001015	SSPN1_32620.1, SSPN1_32620.2	SHAE2_41270.1, SHAE2_41330.1, SHAE2_41300.1
OG0001016	SSPN1_33310.1	SHAE2_40610.1, SHAE2_40610.2, SHAE2_40610.4, SHAE2_40610.5, SHAE2_40610.3, SHAE2_40610.6, SHAE2_40610.7
OG0001017	SSPN1_15080.4, SSPN1_15080.5, SSPN1_15080.8, SSPN1_15080.2, SSPN1_15080.3, SSPN1_15080.6, SSPN1_15080.1, SSPN1_15080.7, SSPN1_15080.9	SHAE2_17600.4, SHAE2_17600.3, SHAE2_17600.5, SHAE2_17600.1, SHAE2_17600.2
OG0001018	SSPN1_28650.1, SSPN1_28650.2, SSPN1_28650.3, SSPN1_28650.4	SHAE2_32000.2, SHAE2_32000.1, SHAE2_32000.3, SHAE2_32000.4
OG0001019	SSPN1_40910.3, SSPN1_40910.1, SSPN1_40910.2	SHAE2_45070.1, SHAE2_45070.2, SHAE2_45070.3
OG0001020	SSPN1_19640.1, SSPN1_19640.9, SSPN1_19640.10, SSPN1_19640.4, SSPN1_19640.2, SSPN1_19640.5, SSPN1_19640.7, SSPN1_19640.3, SSPN1_19640.6, SSPN1_19640.8	SHAE2_12690.1, SHAE2_12690.4, SHAE2_12690.2, SHAE2_12690.3
OG0001021	SSPN1_28410.1, SSPN1_28410.5, SSPN1_28410.2, SSPN1_28410.4, SSPN1_28420.1, SSPN1_28410.3, SSPN1_28410.6	SHAE2_31930.2, SHAE2_31930.3, SHAE2_31930.4, SHAE2_31930.5, SHAE2_31930.7, SHAE2_31930.1, SHAE2_31930.6
OG0001022	SSPN1_9910.1, SSPN1_9910.5, SSPN1_9910.2, SSPN1_9910.4, SSPN1_9910.3, SSPN1_9910.8, SSPN1_9910.6, SSPN1_9910.7	SHAE2_22230.1, SHAE2_22230.2
OG0001023	SSPN1_61090.1, SSPN1_61090.2, SSPN1_61090.3, SSPN1_61090.6, SSPN1_61090.4, SSPN1_61090.5	SHAE2_67460.3, SHAE2_67460.4, SHAE2_67460.2, SHAE2_67460.5, SHAE2_67460.1
OG0001024	SSPN1_75330.1, SSPN1_75330.2, SSPN1_75330.3, SSPN1_75330.4	SHAE2_82690.1, SHAE2_82690.2, SHAE2_82690.3
OG0001025	SSPN1_85250.1, SSPN1_85250.2, SSPN1_85250.3, SSPN1_85250.4	SHAE2_93760.1, SHAE2_93760.2, SHAE2_93760.3, SHAE2_93760.4, SHAE2_93760.5, SHAE2_93760.6, SHAE2_93760.7
OG0001026	SSPN1_48000.1	SHAE2_52820.1
OG0001027	SSPN1_370.1, SSPN1_370.2, SSPN1_370.3, SSPN1_370.4, SSPN1_370.5	SHAE2_1280.1, SHAE2_1280.2, SHAE2_1280.3, SHAE2_1280.4
OG0001028	SSPN1_53680.2, SSPN1_53680.3, SSPN1_53680.1, SSPN1_53680.5, SSPN1_53680.4	SHAE2_58930.1, SHAE2_58930.2
OG0001029	SSPN1_48170.2	SHAE2_53040.1
OG0001030	SSPN1_27770.1	SHAE2_31130.1
OG0001031	SSPN1_67850.2, SSPN1_67850.1, SSPN1_67850.4, SSPN1_67850.3	SHAE2_75010.1, SHAE2_75010.2, SHAE2_75010.3
OG0001032	SSPN1_60080.1, SSPN1_60080.3, SSPN1_60080.2	SHAE2_68720.1, SHAE2_68720.2, SHAE2_68720.3, SHAE2_68720.4, SHAE2_68720.7, SHAE2_68720.5, SHAE2_68720.6, SHAE2_68720.8
OG0001033	SSPN1_69240.1, SSPN1_69240.2, SSPN1_69240.3	SHAE2_76430.1
OG0001034	SSPN1_52260.1, SSPN1_52260.2	SHAE2_57290.1, SHAE2_57290.2, SHAE2_57270.1
OG0001035	SSPN1_52820.1	SHAE2_57810.1, SHAE2_57810.2, SHAE2_57810.3, SHAE2_57810.4
OG0001036	SSPN1_13350.1	SHAE2_19630.1, SHAE2_19630.2, SHAE2_19630.3, SHAE2_19630.4, SHAE2_19630.5, SHAE2_19630.10, SHAE2_19630.6, SHAE2_19630.7, SHAE2_19630.11, SHAE2_19630.8, SHAE2_19630.9
OG0001037	SSPN1_9880.1, SSPN1_9880.2	SHAE2_22200.2, SHAE2_22200.1
OG0001038	SSPN1_1510.1	SHAE2_1870.1, SHAE2_1870.2, SHAE2_1870.3, SHAE2_1870.4, SHAE2_1870.5, SHAE2_1870.6
OG0001039	SSPN1_26250.1, SSPN1_26250.3, SSPN1_26250.4, SSPN1_26250.2	SHAE2_29610.1, SHAE2_29610.2
OG0001040	SSPN1_78800.3, SSPN1_78800.1, SSPN1_78800.2	SHAE2_86180.1, SHAE2_86180.2, SHAE2_86180.4, SHAE2_86180.3
OG0001041	SSPN1_90690.5, SSPN1_90690.6, SSPN1_90690.4, SSPN1_90690.1, SSPN1_90690.2, SSPN1_90690.3	SHAE2_99560.1, SHAE2_99560.3, SHAE2_99560.2
OG0001042	SSPN1_16500.1	SHAE2_102560.1
OG0001043	SSPN1_46830.3, SSPN1_46830.1, SSPN1_46830.2	SHAE2_51650.6, SHAE2_51650.2, SHAE2_51650.3, SHAE2_51650.4, SHAE2_51650.5, SHAE2_51650.1
OG0001044	SSPN1_57480.2, SSPN1_57480.4, SSPN1_57480.1, SSPN1_57480.3	SHAE2_71720.3, SHAE2_71720.4, SHAE2_71720.7, SHAE2_71720.2, SHAE2_71720.5, SHAE2_71720.6, SHAE2_71720.1
OG0001045	SSPN1_57890.2, SSPN1_57890.1, SSPN1_57890.7, SSPN1_57890.8, SSPN1_57890.12, SSPN1_57890.3, SSPN1_57890.13, SSPN1_57890.5, SSPN1_57890.10, SSPN1_57890.11, SSPN1_57890.14, SSPN1_57890.9, SSPN1_57890.4, SSPN1_57890.6	SHAE2_71190.1
OG0001046	SSPN1_49390.1	SHAE2_54320.2, SHAE2_54320.6, SHAE2_54320.3, SHAE2_54320.1, SHAE2_54320.4, SHAE2_54320.5, SHAE2_54320.7
OG0001047	SSPN1_92160.1, SSPN1_92160.3, SSPN1_92160.4, SSPN1_92160.2	SHAE2_101210.1, SHAE2_101210.2, SHAE2_101210.3
OG0001048	SSPN1_75260.1	SHAE2_82600.9, SHAE2_82600.10, SHAE2_82600.12, SHAE2_82600.7, SHAE2_82600.8, SHAE2_82600.11, SHAE2_82600.3, SHAE2_82600.4, SHAE2_82600.1, SHAE2_82600.2
OG0001049	SSPN1_53380.2, SSPN1_53380.3, SSPN1_53380.1, SSPN1_53380.4	SHAE2_58450.1
OG0001050	SSPN1_61860.1, SSPN1_61860.3, SSPN1_61860.2, SSPN1_61860.4	SHAE2_66450.1
OG0001051	SSPN1_84670.1, SSPN1_84670.2	SHAE2_93140.1, SHAE2_93140.3, SHAE2_93140.4, SHAE2_93140.5, SHAE2_93140.6, SHAE2_93140.7, SHAE2_93140.2
OG0001052	SSPN1_53350.3	SHAE2_58420.2
OG0001052	SSPN1_53350.2	SHAE2_58420.3
OG0001052	SSPN1_53350.1	SHAE2_58420.1
OG0001053	SSPN1_60650.1	SHAE2_67680.1
OG0001054	SSPN1_18880.1, SSPN1_18880.2, SSPN1_18880.3	SHAE2_13530.12, SHAE2_13530.2, SHAE2_13530.3, SHAE2_13530.6, SHAE2_13530.7, SHAE2_13530.8, SHAE2_13530.10, SHAE2_13530.5, SHAE2_13530.9, SHAE2_13530.11, SHAE2_13530.1, SHAE2_13530.4
OG0001055	SSPN1_32240.1	SHAE2_41710.1
OG0001056	SSPN1_55950.1	SHAE2_61810.1
OG0001057	SSPN1_84530.1, SSPN1_84530.7, SSPN1_84530.5, SSPN1_84530.6, SSPN1_84530.2, SSPN1_84530.3, SSPN1_84530.4	SHAE2_92920.1, SHAE2_92920.3, SHAE2_92920.2, SHAE2_92920.6, SHAE2_92920.5, SHAE2_92920.4
OG0001058	SSPN1_63300.1	SHAE2_65010.1, SHAE2_65000.2, SHAE2_65000.3
