Orthogroup	schistosoma_spindale	trichobilharzia_regenti
OG0000288	SSPN1_83680.1	TREG1_123340.1
OG0000289	SSPN1_13780.1, SSPN1_13780.2, SSPN1_13780.3, SSPN1_13780.7, SSPN1_13780.8, SSPN1_13780.5, SSPN1_13780.4, SSPN1_13780.6, SSPN1_13780.9	TREG1_9050.1
OG0000290	SSPN1_26300.1	TREG1_33280.1
OG0000290	SSPN1_20880.2, SSPN1_20880.1	TREG1_21650.1, TREG1_21650.2
OG0000291	SSPN1_10820.1, SSPN1_10820.5, SSPN1_10820.2, SSPN1_10820.3, SSPN1_10820.4	TREG1_15150.5, TREG1_15150.2, TREG1_15150.3, TREG1_15150.4, TREG1_15150.1, TREG1_15150.6
OG0000292	SSPN1_36570.2, SSPN1_36570.5, SSPN1_36570.6, SSPN1_36570.4, SSPN1_36570.3, SSPN1_36570.7, SSPN1_36570.1	TREG1_49730.1, TREG1_49730.2, TREG1_49730.3
OG0000293	SSPN1_26870.1	TREG1_38260.1
OG0000293	SSPN1_63570.1	TREG1_86930.1, TREG1_86930.2, TREG1_86930.3
OG0000293	SSPN1_45980.1, SSPN1_45980.2	TREG1_67350.1
OG0000294	SSPN1_3800.1	TREG1_960.1, TREG1_970.1
OG0000295	SSPN1_83410.1, SSPN1_83430.1, SSPN1_83380.1, SSPN1_83390.1, SSPN1_83400.1, SSPN1_83420.1, SSPN1_83440.1	TREG1_119870.1
OG0000296	SSPN1_9160.1	TREG1_20400.3, TREG1_20400.4, TREG1_20400.1, TREG1_20400.2
OG0000296	SSPN1_9170.1, SSPN1_9150.1	TREG1_20410.1, TREG1_20410.2, TREG1_20410.3, TREG1_20410.4, TREG1_20410.5, TREG1_20410.6, TREG1_20410.7, TREG1_20410.8
OG0000297	SSPN1_76500.3, SSPN1_76500.4, SSPN1_76500.1, SSPN1_76500.2	TREG1_101220.1
OG0000298	SSPN1_41930.1	TREG1_57610.1, TREG1_57610.2, TREG1_57610.3
OG0000298	SSPN1_43090.1	TREG1_30650.1
OG0000299	SSPN1_64150.1, SSPN1_64150.2, SSPN1_64150.3, SSPN1_64150.6, SSPN1_64150.5, SSPN1_64150.7, SSPN1_64150.4, SSPN1_64150.8	TREG1_79550.4, TREG1_79550.5, TREG1_79550.1, TREG1_79550.2, TREG1_79550.3
OG0000300	SSPN1_19240.12, SSPN1_19240.7, SSPN1_19240.8, SSPN1_19240.13, SSPN1_19240.14, SSPN1_19240.6, SSPN1_19240.2, SSPN1_19240.3, SSPN1_19240.4, SSPN1_19240.9, SSPN1_19240.1, SSPN1_19240.5, SSPN1_19240.10, SSPN1_19240.11, SSPN1_19240.15	TREG1_20710.3, TREG1_20710.1, TREG1_20710.2
OG0000301	SSPN1_74960.4, SSPN1_74960.3, SSPN1_74960.1, SSPN1_74960.2	TREG1_108580.1, TREG1_108580.2
OG0000302	SSPN1_57010.1	TREG1_86680.1
OG0000303	SSPN1_15860.1, SSPN1_15860.2	TREG1_25720.2, TREG1_25720.1, TREG1_25720.4, TREG1_25720.3, TREG1_25780.1
OG0000304	SSPN1_17260.1, SSPN1_17260.2, SSPN1_17260.3, SSPN1_17260.4, SSPN1_17260.5	TREG1_7890.1, TREG1_7890.2, TREG1_7890.3
OG0000305	SSPN1_49980.3, SSPN1_49980.6, SSPN1_49980.1, SSPN1_49980.5, SSPN1_49980.4, SSPN1_49980.2	TREG1_68930.5, TREG1_68930.2, TREG1_68930.3, TREG1_68930.1, TREG1_68930.4
OG0000306	SSPN1_7660.1	TREG1_19430.1, TREG1_19430.3, TREG1_19430.4, TREG1_19430.5, TREG1_19430.6, TREG1_19430.2
OG0000307	SSPN1_6570.1, SSPN1_6580.1	TREG1_9610.4, TREG1_9610.5, TREG1_9610.6, TREG1_9610.1, TREG1_9610.2, TREG1_9610.3
OG0000307	SSPN1_87770.1	TREG1_75020.1
OG0000308	SSPN1_29910.1, SSPN1_920.1, SSPN1_920.2, SSPN1_910.1, SSPN1_900.1	TREG1_43630.1, TREG1_43630.2, TREG1_43630.3
OG0000311	SSPN1_11650.1, SSPN1_11650.2, SSPN1_11650.5, SSPN1_11650.3, SSPN1_11650.6, SSPN1_11650.4, SSPN1_11650.7	TREG1_21350.1
OG0000312	SSPN1_38200.1	TREG1_47760.1
OG0000313	SSPN1_15800.1	TREG1_26420.1, TREG1_26420.2, TREG1_26420.3
OG0000314	SSPN1_33330.1	TREG1_40000.1, TREG1_40000.3, TREG1_40000.2, TREG1_40000.4
OG0000315	SSPN1_37610.1	TREG1_34420.1
OG0000315	SSPN1_59640.2, SSPN1_59640.1	TREG1_88900.1, TREG1_88900.2, TREG1_88900.3
OG0000316	SSPN1_11030.1	TREG1_23040.1, TREG1_23040.2, TREG1_23040.3, TREG1_23040.6, TREG1_23040.5, TREG1_23040.4
OG0000317	SSPN1_1300.1	TREG1_12830.1, TREG1_12830.3, TREG1_12830.2
OG0000318	SSPN1_47510.2, SSPN1_47510.1, SSPN1_47510.3, SSPN1_47510.4, SSPN1_47510.5	TREG1_69580.1
OG0000319	SSPN1_36540.3, SSPN1_36540.4, SSPN1_36540.1, SSPN1_36540.2, SSPN1_36540.5, SSPN1_36540.7, SSPN1_36540.8, SSPN1_36540.6	TREG1_50710.4, TREG1_50710.5, TREG1_50710.6, TREG1_50710.1, TREG1_50710.3, TREG1_50710.2
OG0000320	SSPN1_13040.1	TREG1_16150.1
OG0000320	SSPN1_28530.1	TREG1_46670.1, TREG1_46670.2
OG0000320	SSPN1_53540.2, SSPN1_53540.1	TREG1_73000.1
OG0000321	SSPN1_33610.3, SSPN1_33610.2, SSPN1_33610.5, SSPN1_33610.1, SSPN1_33610.4, SSPN1_33610.8, SSPN1_33610.6, SSPN1_33610.7	TREG1_51500.1
OG0000322	SSPN1_26740.1, SSPN1_26740.2, SSPN1_26740.3	TREG1_37740.1
OG0000323	SSPN1_1590.1	TREG1_4850.1, TREG1_4860.1, TREG1_4830.1, TREG1_4830.2
OG0000324	SSPN1_47850.1, SSPN1_47850.2	TREG1_71600.1
OG0000325	SSPN1_77580.1	TREG1_136530.1, TREG1_32460.1, TREG1_109280.1, TREG1_109280.2, TREG1_109280.5, TREG1_109280.3, TREG1_109280.4, TREG1_109280.7, TREG1_109280.6
OG0000326	SSPN1_64750.9, SSPN1_64750.3, SSPN1_64750.6, SSPN1_64750.7, SSPN1_64750.1, SSPN1_64750.2, SSPN1_64750.5, SSPN1_64750.4, SSPN1_64750.8	TREG1_84670.1, TREG1_84670.7, TREG1_84670.8, TREG1_84670.2, TREG1_84670.6, TREG1_84670.3, TREG1_84670.4
OG0000327	SSPN1_67760.1	TREG1_103080.1, TREG1_103080.2, TREG1_103080.4, TREG1_103080.6, TREG1_103080.7, TREG1_103080.3, TREG1_103080.5, TREG1_103110.1
OG0000328	SSPN1_27400.1, SSPN1_27400.2, SSPN1_27400.3	TREG1_48450.1, TREG1_48440.1
OG0000329	SSPN1_16160.10, SSPN1_16160.3, SSPN1_16160.2, SSPN1_16160.7, SSPN1_16160.1, SSPN1_16160.4, SSPN1_16160.5, SSPN1_16160.6, SSPN1_16160.8, SSPN1_16160.9	TREG1_29730.1, TREG1_71570.1
OG0000332	SSPN1_58610.7, SSPN1_58610.1, SSPN1_58610.2, SSPN1_58610.3, SSPN1_58610.5, SSPN1_58610.6, SSPN1_58610.4	TREG1_91160.7, TREG1_91160.2, TREG1_91160.3, TREG1_91160.5, TREG1_91160.6, TREG1_91160.1, TREG1_91160.4
OG0000333	SSPN1_6050.1, SSPN1_6050.2, SSPN1_6050.3, SSPN1_6050.5, SSPN1_6050.4, SSPN1_6050.7, SSPN1_6050.8, SSPN1_6050.6, SSPN1_6070.1	TREG1_4080.1
OG0000334	SSPN1_71710.1, SSPN1_71710.2, SSPN1_71700.2, SSPN1_71700.1, SSPN1_71700.3, SSPN1_71700.4	TREG1_98710.4, TREG1_98710.1, TREG1_98710.3, TREG1_98710.2, TREG1_98730.1, TREG1_98730.2, TREG1_98730.3, TREG1_98730.4
OG0000335	SSPN1_2360.2, SSPN1_2360.5, SSPN1_2360.3, SSPN1_2360.4, SSPN1_2360.1	TREG1_98160.1, TREG1_98160.2, TREG1_98160.3, TREG1_98160.4, TREG1_98160.5
OG0000336	SSPN1_4320.1	TREG1_18780.1, TREG1_18780.2
OG0000336	SSPN1_10700.1, SSPN1_10700.2, SSPN1_10700.3	TREG1_15850.1
OG0000337	SSPN1_51810.1	TREG1_67760.1
OG0000339	SSPN1_29440.3, SSPN1_29440.4, SSPN1_29440.5, SSPN1_29440.7, SSPN1_29440.1, SSPN1_29440.8, SSPN1_29440.2, SSPN1_29440.6	TREG1_52490.1
OG0000340	SSPN1_92400.4, SSPN1_92400.2, SSPN1_92400.5, SSPN1_92400.3, SSPN1_92400.1	TREG1_134680.4, TREG1_134680.5, TREG1_134680.6, TREG1_134680.7
OG0000342	SSPN1_11690.5, SSPN1_11690.1, SSPN1_11690.4, SSPN1_11690.2, SSPN1_11690.3	TREG1_21320.1
OG0000342	SSPN1_4590.1	TREG1_18640.3, TREG1_18640.2, TREG1_18640.4, TREG1_18640.1
OG0000343	SSPN1_38260.1, SSPN1_38250.1	TREG1_47810.1, TREG1_49530.1
OG0000344	SSPN1_5920.1, SSPN1_5920.2, SSPN1_5920.3	TREG1_18580.1, TREG1_18580.2, TREG1_18580.4, TREG1_18580.3
OG0000345	SSPN1_54450.5, SSPN1_54450.2, SSPN1_54450.3, SSPN1_54450.1, SSPN1_54450.4	TREG1_75800.1
OG0000346	SSPN1_27190.1	TREG1_48770.1
OG0000346	SSPN1_89040.1, SSPN1_89040.2, SSPN1_89040.3	TREG1_131810.1
OG0000347	SSPN1_29400.1	TREG1_52420.1, TREG1_52420.2, TREG1_52410.1
OG0000348	SSPN1_5570.1, SSPN1_5570.2	TREG1_11350.1, TREG1_11370.1, TREG1_11320.1, TREG1_11360.1, TREG1_11330.1, TREG1_11340.1
OG0000349	SSPN1_1140.1	TREG1_13460.1, TREG1_13460.2, TREG1_13460.3, TREG1_13460.4, TREG1_13460.5, TREG1_13460.6
OG0000350	SSPN1_32320.1	TREG1_39710.1, TREG1_39700.1
OG0000351	SSPN1_9140.1	TREG1_20310.10, TREG1_20380.1, TREG1_20310.11, TREG1_20310.8, TREG1_20310.7, TREG1_20310.9
OG0000352	SSPN1_35840.1	TREG1_36800.1, TREG1_36800.4, TREG1_36800.3, TREG1_36800.2
OG0000353	SSPN1_68080.3, SSPN1_68080.4, SSPN1_68080.5, SSPN1_68080.1, SSPN1_68080.2	TREG1_95410.1
OG0000354	SSPN1_2870.4, SSPN1_2870.7, SSPN1_2870.6, SSPN1_2870.9, SSPN1_2870.8, SSPN1_2870.3, SSPN1_2870.5, SSPN1_2870.1, SSPN1_2870.2, SSPN1_2870.10, SSPN1_2870.11, SSPN1_2870.12, SSPN1_2870.13	TREG1_20320.1, TREG1_20310.2, TREG1_20310.1, TREG1_20310.3
OG0000355	SSPN1_7770.1	TREG1_3480.1, TREG1_3480.2, TREG1_3480.3, TREG1_3480.4, TREG1_3480.5, TREG1_3480.6, TREG1_3480.7, TREG1_3480.8, TREG1_3480.9
OG0000356	SSPN1_6700.2, SSPN1_6700.3, SSPN1_6700.1, SSPN1_6700.5, SSPN1_6700.4, SSPN1_6700.6, SSPN1_6700.7, SSPN1_6700.8	TREG1_8390.3, TREG1_8390.4, TREG1_8390.1, TREG1_8390.2
OG0000357	SSPN1_41420.6, SSPN1_41420.2, SSPN1_41420.5, SSPN1_41420.1, SSPN1_41420.4, SSPN1_41420.3	TREG1_42310.2, TREG1_42310.3, TREG1_42310.5, TREG1_42310.1, TREG1_42310.4
OG0000358	SSPN1_59820.3, SSPN1_59820.4, SSPN1_59820.5, SSPN1_59820.1, SSPN1_59820.2, SSPN1_59830.5, SSPN1_59830.4, SSPN1_59830.1, SSPN1_59830.2, SSPN1_59830.3	TREG1_85840.1, TREG1_89150.1, TREG1_87450.1, TREG1_144940.1, TREG1_144930.1, TREG1_144940.2, TREG1_87430.1, TREG1_87440.1, TREG1_87440.2, TREG1_85830.7, TREG1_85830.6, TREG1_85830.4, TREG1_85830.1, TREG1_85830.2, TREG1_85830.3, TREG1_85850.1, TREG1_85850.2, TREG1_85830.5
OG0000359	SSPN1_14790.4, SSPN1_14790.2, SSPN1_14790.3, SSPN1_14790.1, SSPN1_14790.5	TREG1_16940.2, TREG1_16940.5, TREG1_16940.1, TREG1_16940.8, TREG1_16940.7, TREG1_16940.3, TREG1_16940.4, TREG1_16940.6
OG0000360	SSPN1_12560.3, SSPN1_12560.1, SSPN1_12560.2	TREG1_23420.1
OG0000361	SSPN1_47430.1	TREG1_75320.1, TREG1_75320.4, TREG1_75320.6, TREG1_75320.7, TREG1_75320.5, TREG1_75320.9, TREG1_75320.2, TREG1_75320.8, TREG1_75320.3
OG0000362	SSPN1_61870.2, SSPN1_61870.1, SSPN1_61870.3	TREG1_83110.2, TREG1_83110.3, TREG1_83110.4, TREG1_83110.1
OG0000363	SSPN1_41680.7, SSPN1_41680.1, SSPN1_41680.2, SSPN1_41680.5, SSPN1_41680.3, SSPN1_41680.6, SSPN1_41680.4	TREG1_42690.1
OG0000364	SSPN1_25060.1, SSPN1_25060.2, SSPN1_25060.3	TREG1_43540.1, TREG1_23020.1, TREG1_23010.1
OG0000365	SSPN1_56560.1, SSPN1_56570.2, SSPN1_56570.1, SSPN1_56570.3	TREG1_78670.1, TREG1_38430.1
OG0000366	SSPN1_47820.2, SSPN1_47820.1, SSPN1_47820.3	TREG1_71630.1
OG0000367	SSPN1_38990.4, SSPN1_38990.2, SSPN1_38990.1, SSPN1_38990.3, SSPN1_38990.5	TREG1_54120.1
OG0000368	SSPN1_11890.2, SSPN1_11890.3, SSPN1_11890.1	TREG1_16350.1
OG0000369	SSPN1_3590.1, SSPN1_3600.1, SSPN1_3600.2	TREG1_30930.1, TREG1_30930.3, TREG1_30930.6, TREG1_30930.4, TREG1_30930.5, TREG1_30930.2, TREG1_30940.3, TREG1_30940.1, TREG1_30940.4, TREG1_30940.5, TREG1_30940.2, TREG1_30940.6, TREG1_30940.7
OG0000370	SSPN1_31260.1	TREG1_136150.1, TREG1_41380.10, TREG1_41380.4, TREG1_41380.6, TREG1_41380.7, TREG1_41380.8, TREG1_41380.9, TREG1_41380.1, TREG1_41380.5, TREG1_41380.12, TREG1_41380.2, TREG1_41380.3, TREG1_41380.11
OG0000371	SSPN1_32440.1, SSPN1_32440.2, SSPN1_32440.5, SSPN1_32440.6, SSPN1_32440.7, SSPN1_32440.4, SSPN1_32440.3	TREG1_44720.1
OG0000372	SSPN1_20620.3, SSPN1_20620.1, SSPN1_20620.2	TREG1_119190.1
OG0000372	SSPN1_20630.1, SSPN1_20630.2, SSPN1_20630.3, SSPN1_20630.6, SSPN1_20630.4, SSPN1_20630.5	TREG1_3300.1, TREG1_3310.1, TREG1_3310.2
OG0000373	SSPN1_17420.10, SSPN1_17420.11, SSPN1_17420.12, SSPN1_17420.13, SSPN1_17420.4, SSPN1_17420.5, SSPN1_17420.6, SSPN1_17420.7, SSPN1_17420.8, SSPN1_17420.9, SSPN1_17420.2, SSPN1_17420.3, SSPN1_17420.1, SSPN1_17420.14	TREG1_76160.1, TREG1_76170.1
OG0000374	SSPN1_40260.2, SSPN1_40260.1, SSPN1_40260.4, SSPN1_40260.3, SSPN1_40260.5	TREG1_33890.1
OG0000375	SSPN1_4380.1	TREG1_4630.1
OG0000376	SSPN1_63550.1, SSPN1_63550.7, SSPN1_63550.3, SSPN1_63550.5, SSPN1_63550.6, SSPN1_63550.4, SSPN1_63550.2	TREG1_86950.1, TREG1_86950.3, TREG1_86950.2, TREG1_86950.4
OG0000377	SSPN1_50100.1, SSPN1_50100.2, SSPN1_50100.3, SSPN1_50100.4, SSPN1_50100.5, SSPN1_50100.6	TREG1_64670.1, TREG1_64670.2, TREG1_64670.3, TREG1_64670.4, TREG1_64670.6, TREG1_64670.5
OG0000378	SSPN1_23530.3, SSPN1_23530.1, SSPN1_23530.2	TREG1_60280.7, TREG1_60330.1, TREG1_60280.6, TREG1_60280.5, TREG1_60280.3, TREG1_60280.8, TREG1_60280.4
OG0000379	SSPN1_14070.1, SSPN1_1610.1, SSPN1_37310.1	TREG1_145270.1, TREG1_106510.1, TREG1_61170.1, TREG1_74960.1, TREG1_48500.1, TREG1_10670.1
OG0000380	SSPN1_9650.1	TREG1_28590.1
OG0000380	SSPN1_9670.1, SSPN1_9660.1, SSPN1_9680.1	TREG1_23690.1
OG0000381	SSPN1_51390.2, SSPN1_51390.1, SSPN1_51390.3, SSPN1_51390.4	TREG1_75450.1, TREG1_75450.2, TREG1_75450.4, TREG1_75450.3
OG0000381	SSPN1_51400.1	TREG1_75470.1, TREG1_75470.2
OG0000383	SSPN1_32840.1, SSPN1_32840.5, SSPN1_32840.2, SSPN1_32840.6, SSPN1_32840.3, SSPN1_32840.4	TREG1_38350.1, TREG1_45960.1
OG0000384	SSPN1_38920.1, SSPN1_38920.2, SSPN1_38920.3, SSPN1_38920.4, SSPN1_38900.1, SSPN1_38900.3, SSPN1_38900.2, SSPN1_38900.4, SSPN1_38900.5, SSPN1_38900.6, SSPN1_38900.7	TREG1_41840.5, TREG1_41840.6, TREG1_41840.7, TREG1_41840.8
OG0000385	SSPN1_61440.1, SSPN1_93260.1, SSPN1_21960.1, SSPN1_61450.1	TREG1_83150.1
OG0000386	SSPN1_9900.1	TREG1_29830.1
OG0000387	SSPN1_2790.2, SSPN1_2790.4, SSPN1_2790.1, SSPN1_2790.3	TREG1_19140.1
OG0000388	SSPN1_85970.4, SSPN1_85970.1, SSPN1_85970.3, SSPN1_85970.2	TREG1_125560.1
OG0000389	SSPN1_70690.3, SSPN1_70690.1, SSPN1_70690.2	TREG1_102530.1, TREG1_102550.1
OG0000390	SSPN1_80110.2, SSPN1_80110.3, SSPN1_80110.4, SSPN1_80110.1, SSPN1_80110.5, SSPN1_80110.6	TREG1_110350.1, TREG1_137190.3, TREG1_137190.1, TREG1_137190.2
OG0000391	SSPN1_18400.1	TREG1_15600.1
OG0000392	SSPN1_62470.1, SSPN1_62470.2	TREG1_84430.1, TREG1_84430.3, TREG1_84430.4, TREG1_84430.7, TREG1_84430.5, TREG1_84430.6, TREG1_84430.2
OG0000393	SSPN1_44220.1	TREG1_61530.13, TREG1_61530.10, TREG1_61530.15, TREG1_61530.12, TREG1_61530.6, TREG1_61530.1, TREG1_61530.11, TREG1_61530.3, TREG1_61530.5, TREG1_61530.4, TREG1_61530.9, TREG1_61530.7, TREG1_61530.8, TREG1_61530.14, TREG1_61530.2
OG0000394	SSPN1_63100.1, SSPN1_63100.2, SSPN1_63100.3, SSPN1_63100.4	TREG1_88460.1, TREG1_88460.2, TREG1_88460.3, TREG1_88460.5, TREG1_88460.6, TREG1_88460.7, TREG1_88460.4
OG0000395	SSPN1_76560.5, SSPN1_76560.2, SSPN1_76560.4, SSPN1_76560.1, SSPN1_76560.3	TREG1_101230.1
OG0000396	SSPN1_4340.2, SSPN1_4340.3, SSPN1_4340.1, SSPN1_4340.4	TREG1_12380.1, TREG1_12380.2, TREG1_12380.3, TREG1_12380.4
OG0000397	SSPN1_76330.1, SSPN1_76330.2, SSPN1_76330.3, SSPN1_76330.4, SSPN1_76330.5, SSPN1_76330.6	TREG1_109600.1
OG0000398	SSPN1_12650.1	TREG1_22530.2, TREG1_22530.3, TREG1_22530.4, TREG1_22530.1, TREG1_22530.5
OG0000398	SSPN1_21790.1, SSPN1_21740.1	TREG1_29320.1, TREG1_142440.1, TREG1_29330.2, TREG1_29330.3, TREG1_29330.1, TREG1_29330.4
OG0000399	SSPN1_27000.1	TREG1_37320.3, TREG1_37320.2, TREG1_37320.4, TREG1_37320.1
OG0000400	SSPN1_93170.1, SSPN1_93170.2	TREG1_31840.1, TREG1_31830.1, TREG1_31830.2
OG0000400	SSPN1_43190.1	TREG1_31310.1
OG0000401	SSPN1_91150.1, SSPN1_91150.2, SSPN1_91150.3	TREG1_134800.1, TREG1_134800.2, TREG1_134800.3, TREG1_134800.4, TREG1_134800.5
OG0000402	SSPN1_19230.2, SSPN1_19230.6, SSPN1_19230.1, SSPN1_19230.4, SSPN1_19230.3, SSPN1_19230.5	TREG1_20720.2, TREG1_20720.1, TREG1_20720.4, TREG1_20720.6, TREG1_20720.3, TREG1_20720.5
OG0000403	SSPN1_3130.1	TREG1_13050.1
OG0000404	SSPN1_78760.1	TREG1_115150.1, TREG1_115100.1, TREG1_115100.2
OG0000405	SSPN1_33240.1	TREG1_40120.1
OG0000406	SSPN1_32370.1	TREG1_43020.1, TREG1_43020.2, TREG1_43020.3, TREG1_43020.4
OG0000407	SSPN1_61840.1	TREG1_83080.1, TREG1_83080.2, TREG1_83080.5, TREG1_83080.6, TREG1_83080.4, TREG1_83080.8, TREG1_83080.3, TREG1_83080.7
OG0000408	SSPN1_25470.7, SSPN1_25470.6, SSPN1_25470.2, SSPN1_25470.8, SSPN1_25470.10, SSPN1_25470.12, SSPN1_25470.13, SSPN1_25470.4, SSPN1_25470.14, SSPN1_25470.15, SSPN1_25470.11, SSPN1_25470.9, SSPN1_25470.1, SSPN1_25470.3, SSPN1_25470.5	TREG1_38460.1
OG0000409	SSPN1_84960.1	TREG1_122350.3, TREG1_122350.5, TREG1_122350.7, TREG1_122350.2, TREG1_122350.4, TREG1_122350.1, TREG1_122350.6
OG0000410	SSPN1_66560.3, SSPN1_66560.4, SSPN1_66560.1, SSPN1_66560.2, SSPN1_66560.7, SSPN1_66560.6, SSPN1_66560.5	TREG1_142270.1, TREG1_144130.1, TREG1_144130.2, TREG1_144130.3, TREG1_144130.4, TREG1_144130.7, TREG1_144130.5, TREG1_144130.6, TREG1_144130.8, TREG1_94130.1, TREG1_58360.1, TREG1_94020.1, TREG1_94100.1, TREG1_94110.2, TREG1_94110.4, TREG1_94110.1, TREG1_94060.3, TREG1_143030.1, TREG1_94110.3
OG0000411	SSPN1_26100.1, SSPN1_26100.2, SSPN1_26100.5, SSPN1_26100.7, SSPN1_26100.3, SSPN1_26100.4, SSPN1_26100.6	TREG1_32870.1, TREG1_32870.2, TREG1_32870.3, TREG1_32880.1
OG0000412	SSPN1_69290.3, SSPN1_69290.6, SSPN1_69290.5, SSPN1_69290.7, SSPN1_69290.2, SSPN1_69290.1, SSPN1_69290.4	TREG1_102170.3, TREG1_102170.1, TREG1_102170.2
OG0000414	SSPN1_19750.1, SSPN1_19750.2, SSPN1_19750.4, SSPN1_19750.8, SSPN1_19750.7, SSPN1_19750.3, SSPN1_19750.5, SSPN1_19750.6	TREG1_101560.1, TREG1_101560.2, TREG1_101570.1, TREG1_101570.2, TREG1_101570.3, TREG1_101570.4
OG0000415	SSPN1_29670.2, SSPN1_29670.3, SSPN1_29670.4, SSPN1_29670.5, SSPN1_29670.1, SSPN1_29670.6	TREG1_50470.2, TREG1_50470.4, TREG1_50470.1, TREG1_50470.3, TREG1_50470.5
OG0000416	SSPN1_84360.1, SSPN1_84360.2	TREG1_121240.1, TREG1_121240.2
OG0000416	SSPN1_87920.1	TREG1_124920.1
OG0000416	SSPN1_84350.1	TREG1_121250.1
OG0000417	SSPN1_50440.4, SSPN1_50440.2, SSPN1_50440.3, SSPN1_50440.6, SSPN1_50440.1, SSPN1_50440.5, SSPN1_50440.7, SSPN1_50440.8	TREG1_70100.1, TREG1_70210.4, TREG1_70210.1, TREG1_70210.2, TREG1_70210.3
OG0000418	SSPN1_90790.7, SSPN1_90790.6, SSPN1_90790.1, SSPN1_90790.5, SSPN1_90790.4, SSPN1_90790.3, SSPN1_90790.2	TREG1_136250.1, TREG1_136260.1
OG0000419	SSPN1_5970.6, SSPN1_5970.2, SSPN1_5970.1, SSPN1_5970.5, SSPN1_5970.3, SSPN1_5970.4	TREG1_8370.4, TREG1_8370.1, TREG1_8370.2, TREG1_8370.3
OG0000420	SSPN1_44120.1	TREG1_61410.1, TREG1_61420.1
OG0000421	SSPN1_57620.1, SSPN1_57620.4, SSPN1_57620.5, SSPN1_57620.2, SSPN1_57620.3	TREG1_91560.1
OG0000422	SSPN1_48400.1, SSPN1_48400.3, SSPN1_48400.6, SSPN1_48400.4, SSPN1_48400.7, SSPN1_48400.2, SSPN1_48400.8, SSPN1_48400.5	TREG1_69830.4, TREG1_69830.5, TREG1_69830.6, TREG1_69830.1, TREG1_69830.2, TREG1_69830.3
OG0000423	SSPN1_33050.1, SSPN1_33050.2, SSPN1_33050.3, SSPN1_33050.5, SSPN1_33050.6, SSPN1_33050.7, SSPN1_33050.4, SSPN1_33050.8	TREG1_34270.6, TREG1_34270.2, TREG1_34270.3, TREG1_34270.4, TREG1_34270.1, TREG1_34270.5
OG0000425	SSPN1_28400.1, SSPN1_28400.2	TREG1_26130.2, TREG1_26070.2, TREG1_26070.12, TREG1_26070.8, TREG1_26070.13, TREG1_26120.1, TREG1_26130.6, TREG1_26130.7, TREG1_26130.8, TREG1_26130.1, TREG1_26070.10, TREG1_26070.11, TREG1_26070.14, TREG1_26070.15, TREG1_3080.1, TREG1_28760.1, TREG1_138110.5, TREG1_138110.4, TREG1_138110.3, TREG1_26070.4, TREG1_26130.9, TREG1_138110.2, TREG1_138110.1, TREG1_26050.1, TREG1_26070.9, TREG1_26080.1, TREG1_26070.1, TREG1_26070.3
OG0000426	SSPN1_52630.1	TREG1_71170.5, TREG1_71170.1, TREG1_71130.1, TREG1_71140.1, TREG1_71150.1, TREG1_71170.3, TREG1_71170.4, TREG1_71170.2, TREG1_71180.1, TREG1_71190.1, TREG1_71190.2
OG0000427	SSPN1_51490.4, SSPN1_51490.2, SSPN1_51490.1, SSPN1_51490.3	TREG1_73850.4, TREG1_73850.7, TREG1_73850.2, TREG1_73850.3, TREG1_73850.1, TREG1_73850.5, TREG1_73850.6
OG0000428	SSPN1_40830.3, SSPN1_40830.4, SSPN1_40830.5, SSPN1_40830.1, SSPN1_40830.2, SSPN1_40830.6, SSPN1_40830.7	TREG1_56160.1
OG0000429	SSPN1_89380.1	TREG1_131460.1, TREG1_131460.2
OG0000429	SSPN1_43640.1, SSPN1_43640.2	TREG1_36080.1
OG0000430	SSPN1_38530.1	TREG1_44550.1, TREG1_44550.2
OG0000431	SSPN1_47410.3, SSPN1_47410.7, SSPN1_47410.1, SSPN1_47410.5, SSPN1_47410.6, SSPN1_47410.4, SSPN1_47410.8, SSPN1_47410.9, SSPN1_47410.2	TREG1_75340.3, TREG1_75340.6, TREG1_75340.1, TREG1_75340.2, TREG1_75340.4, TREG1_75340.5
OG0000432	SSPN1_90460.4, SSPN1_90460.7, SSPN1_90460.1, SSPN1_90460.2, SSPN1_90460.5, SSPN1_90460.3, SSPN1_90460.6	TREG1_133890.1, TREG1_133890.2, TREG1_133890.3
OG0000433	SSPN1_30740.4, SSPN1_30740.5, SSPN1_30740.1, SSPN1_30740.2, SSPN1_30740.3	TREG1_40710.2, TREG1_40710.3, TREG1_40710.4, TREG1_40720.1
OG0000434	SSPN1_89960.3, SSPN1_89960.5, SSPN1_89960.1, SSPN1_89960.4, SSPN1_89960.2, SSPN1_89960.6	TREG1_130170.2, TREG1_130170.4, TREG1_130170.1, TREG1_130170.3, TREG1_130170.5, TREG1_130170.6
OG0000435	SSPN1_52870.3, SSPN1_52870.4, SSPN1_52870.2, SSPN1_52870.1, SSPN1_52870.5	TREG1_75120.1
OG0000436	SSPN1_24580.4, SSPN1_24580.6, SSPN1_24580.9, SSPN1_24580.3, SSPN1_24580.5, SSPN1_24580.1, SSPN1_24580.7, SSPN1_24580.2, SSPN1_24580.8	TREG1_31530.1
OG0000437	SSPN1_3030.1, SSPN1_3030.2, SSPN1_3030.3	TREG1_18440.1
