Orthogroup	schistosoma_spindale	schistosoma_japonicum
OG0001418	SSPN1_550.1, SSPN1_550.2, SSPN1_550.3, SSPN1_550.4	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5
OG0001420	SSPN1_79380.1, SSPN1_79380.2, SSPN1_79380.3	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3
OG0001421	SSPN1_34170.1, SSPN1_34170.2	EWB00_004354
OG0001422	SSPN1_72190.1	EWB00_001374.1, EWB00_001374.2
OG0001423	SSPN1_19330.1, SSPN1_19330.2	EWB00_003255
OG0001424	SSPN1_21460.1	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4
OG0001425	SSPN1_24450.5	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4
OG0001426	SSPN1_6120.1, SSPN1_6120.3, SSPN1_6120.2, SSPN1_6120.5, SSPN1_6120.8, SSPN1_6120.10, SSPN1_6120.6, SSPN1_6120.9, SSPN1_6120.4, SSPN1_6120.7	EWB00_011239.2, EWB00_011239.1, EWB00_011239.3
OG0001427	SSPN1_25010.6, SSPN1_25010.5, SSPN1_25010.4, SSPN1_25010.1, SSPN1_25010.2, SSPN1_25010.3	EWB00_004103
OG0001428	SSPN1_2490.1	EWB00_004240
OG0001429	SSPN1_51300.1, SSPN1_51300.2	EWB00_010670.1, EWB00_010670.2
OG0001430	SSPN1_53330.1, SSPN1_53320.1	EWB00_002215
OG0001431	SSPN1_59260.1	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2
OG0001432	SSPN1_20960.1	EWB00_002429.1, EWB00_002429.2
OG0001433	SSPN1_10210.1, SSPN1_10210.3, SSPN1_10210.2	EWB00_006443
OG0001434	SSPN1_91600.1, SSPN1_91580.1, SSPN1_91580.2	EWB00_003352, EWB00_003353
OG0001435	SSPN1_74430.1, SSPN1_74430.3, SSPN1_74430.2	EWB00_001419, EWB00_001418
OG0001436	SSPN1_74810.1, SSPN1_74810.2, SSPN1_74810.3	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4
OG0001437	SSPN1_48420.1	EWB00_005353
OG0001437	SSPN1_52790.1, SSPN1_52800.1	EWB00_002165
OG0001438	SSPN1_11790.1	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2
OG0001439	SSPN1_72860.1	EWB00_007162.1, EWB00_007162.2
OG0001440	SSPN1_33650.1	EWB00_001292
OG0001441	SSPN1_86040.1	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1
OG0001442	SSPN1_61780.1, SSPN1_61780.2	EWB00_007731
OG0001443	SSPN1_12290.1, SSPN1_12290.2, SSPN1_12290.3, SSPN1_12290.4	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3
OG0001444	SSPN1_69830.1, SSPN1_69830.2	EWB00_004974.1, EWB00_004974.3, EWB00_004974.2, EWB00_004974.4
OG0001445	SSPN1_70830.1, SSPN1_70830.2	EWB00_003448.1, EWB00_003448.2
OG0001446	SSPN1_43250.1, SSPN1_43260.1, SSPN1_43270.1	EWB00_010796
OG0001447	SSPN1_76850.1, SSPN1_76850.2	EWB00_010576.1, EWB00_010576.2
OG0001447	SSPN1_76840.1	EWB00_010579
OG0001448	SSPN1_76830.1	EWB00_010570
OG0001448	SSPN1_76930.1	EWB00_010574.1, EWB00_010574.2, EWB00_010573.1, EWB00_010573.2
OG0001449	SSPN1_37840.1	EWB00_002956
OG0001450	SSPN1_13600.1	EWB00_000063.4, EWB00_000063.6, EWB00_000063.1, EWB00_000063.2, EWB00_000063.3, EWB00_000063.5
OG0001454	SSPN1_79600.1	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5
OG0001455	SSPN1_92760.1, SSPN1_92760.2, SSPN1_92760.3	EWB00_006672
OG0001456	SSPN1_66150.1	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3
OG0001457	SSPN1_5160.3, SSPN1_5160.1, SSPN1_5160.2, SSPN1_5160.4	EWB00_006287
OG0001458	SSPN1_29110.2, SSPN1_29110.5, SSPN1_29110.3, SSPN1_29110.4, SSPN1_29110.1, SSPN1_29110.6, SSPN1_29110.8, SSPN1_29110.7	EWB00_005995
OG0001459	SSPN1_55200.1, SSPN1_55190.1	EWB00_003190
OG0001460	SSPN1_34850.1, SSPN1_34850.2	EWB00_004279
OG0001461	SSPN1_27150.1	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4
OG0001462	SSPN1_55620.2, SSPN1_55620.3, SSPN1_55620.1	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5
OG0001463	SSPN1_64680.1	EWB00_003859
OG0001464	SSPN1_51550.1, SSPN1_51550.3, SSPN1_51550.2	EWB00_005411
OG0001465	SSPN1_72410.1	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3
OG0001466	SSPN1_4900.1, SSPN1_4900.2, SSPN1_4900.3	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4
OG0001467	SSPN1_61230.1	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3
OG0001468	SSPN1_4510.4, SSPN1_4510.3, SSPN1_4510.1, SSPN1_4510.2	EWB00_000106
OG0001469	SSPN1_79200.4, SSPN1_79200.2, SSPN1_79200.3, SSPN1_79200.1	EWB00_001504
OG0001470	SSPN1_59950.1, SSPN1_59950.2, SSPN1_59950.3, SSPN1_59950.5, SSPN1_59950.4	EWB00_009880.1, EWB00_009880.2
OG0001471	SSPN1_63650.1, SSPN1_63690.1, SSPN1_55050.3, SSPN1_63720.1, SSPN1_63710.1, SSPN1_81090.1, SSPN1_55050.2, SSPN1_55050.1, SSPN1_21180.1, SSPN1_63700.1	EWB00_000232, EWB00_000231, EWB00_000235
OG0001472	SSPN1_60060.3, SSPN1_60060.4, SSPN1_60060.1, SSPN1_60060.2	EWB00_004700
OG0001473	SSPN1_71160.1, SSPN1_71160.2	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2
OG0001474	SSPN1_39250.1	EWB00_003899
OG0001475	SSPN1_52730.1, SSPN1_52730.3, SSPN1_52730.2	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3
OG0001476	SSPN1_8350.5, SSPN1_8350.3, SSPN1_8350.1, SSPN1_8350.2, SSPN1_8350.4	EWB00_009089, EWB00_009090
OG0001477	SSPN1_53880.1	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4
OG0001478	SSPN1_21000.1	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3
OG0001479	SSPN1_21580.1, SSPN1_21580.2, SSPN1_21580.3, SSPN1_21580.4, SSPN1_21580.5	EWB00_010375.1, EWB00_010375.2
OG0001480	SSPN1_19700.1, SSPN1_19700.3, SSPN1_19700.2	EWB00_004676
OG0001481	SSPN1_46060.1, SSPN1_46050.1, SSPN1_46050.2, SSPN1_46060.2	EWB00_010804
OG0001482	SSPN1_88790.1	EWB00_000369
OG0001483	SSPN1_68870.1	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3
OG0001484	SSPN1_22010.1, SSPN1_22010.2	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4
OG0001485	SSPN1_37050.1	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5
OG0001486	SSPN1_51120.1, SSPN1_51120.2, SSPN1_51120.4, SSPN1_51120.3, SSPN1_51130.2, SSPN1_51130.1	EWB00_010654
OG0001487	SSPN1_23650.1, SSPN1_23650.2	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3
OG0001488	SSPN1_34980.1	EWB00_004266
OG0001488	SSPN1_91920.1	EWB00_004796
OG0001489	SSPN1_24370.1	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3
OG0001490	SSPN1_30450.2, SSPN1_30450.7, SSPN1_30450.3, SSPN1_30450.4, SSPN1_30450.6, SSPN1_30450.1, SSPN1_30450.5, SSPN1_30450.10, SSPN1_30450.8, SSPN1_30450.9	EWB00_002584
OG0001491	SSPN1_5510.1, SSPN1_5510.2, SSPN1_5510.3, SSPN1_5510.4	EWB00_006325.1, EWB00_006325.2
OG0001492	SSPN1_46910.1, SSPN1_47090.1	EWB00_010698
OG0001493	SSPN1_44480.1	EWB00_000174
OG0001494	SSPN1_25380.3, SSPN1_25380.4, SSPN1_25380.1, SSPN1_25380.2	EWB00_008039.1, EWB00_008039.2
OG0001495	SSPN1_7550.1, SSPN1_7550.2, SSPN1_7550.4, SSPN1_7550.3	EWB00_008592.1, EWB00_008592.2
OG0001496	SSPN1_72940.1	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3
OG0001497	SSPN1_36480.1, SSPN1_36480.2, SSPN1_36480.3	EWB00_003402
OG0001498	SSPN1_43850.1	EWB00_009904
OG0001499	SSPN1_60180.1	EWB00_005585
OG0001500	SSPN1_58350.2, SSPN1_58350.8, SSPN1_58350.3, SSPN1_58350.12, SSPN1_58350.11, SSPN1_58350.10, SSPN1_58350.4, SSPN1_58350.6, SSPN1_58350.5, SSPN1_58350.9, SSPN1_58350.7, SSPN1_58350.1	EWB00_003991.3, EWB00_003991.1, EWB00_003991.2
OG0001501	SSPN1_89320.1	EWB00_007411
OG0001502	SSPN1_990.1, SSPN1_980.1	EWB00_010230
OG0001503	SSPN1_49970.3, SSPN1_49970.1, SSPN1_49970.2	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5
OG0001504	SSPN1_60710.1	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1
OG0001505	SSPN1_89830.1, SSPN1_89840.1	EWB00_005893
OG0001505	SSPN1_89820.1	EWB00_005891
OG0001506	SSPN1_16330.1	EWB00_009392.1, EWB00_009392.2
OG0001507	SSPN1_50450.4, SSPN1_50450.8, SSPN1_50450.5, SSPN1_50450.3, SSPN1_50450.6, SSPN1_50450.1, SSPN1_50450.2, SSPN1_50450.7	EWB00_006823
OG0001508	SSPN1_32160.1	EWB00_009523
OG0001509	SSPN1_73200.1	EWB00_010948
OG0001510	SSPN1_40490.4, SSPN1_40490.6, SSPN1_40490.7, SSPN1_40490.3, SSPN1_40490.2, SSPN1_40490.1, SSPN1_40490.5	EWB00_008757.1, EWB00_008757.3, EWB00_008757.4, EWB00_008757.2
OG0001511	SSPN1_39070.1	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4
OG0001512	SSPN1_68770.1, SSPN1_68770.3, SSPN1_68770.4, SSPN1_68770.2	EWB00_007373
OG0001513	SSPN1_16130.1, SSPN1_16120.1	EWB00_009356.1, EWB00_009356.2
OG0001514	SSPN1_1650.1, SSPN1_1650.2	EWB00_003846.1, EWB00_003846.2
OG0001515	SSPN1_2280.1, SSPN1_9100.1	EWB00_009461
OG0001516	SSPN1_12660.1	EWB00_010316.1, EWB00_010316.2
OG0001516	SSPN1_12640.1	EWB00_010314.3, EWB00_010314.4, EWB00_010314.2
OG0001517	SSPN1_26430.1, SSPN1_26430.2, SSPN1_26430.3	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4
OG0001518	SSPN1_73000.1	EWB00_007187
OG0001519	SSPN1_72820.3, SSPN1_72820.4, SSPN1_72820.5, SSPN1_72820.1, SSPN1_72820.2, SSPN1_72820.6	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3
OG0001520	SSPN1_8490.1	EWB00_008664.1, EWB00_008664.4, EWB00_008664.2, EWB00_008664.3
OG0001521	SSPN1_53100.1	EWB00_011168.1, EWB00_011168.2
OG0001522	SSPN1_20550.1, SSPN1_20560.1	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2
OG0001523	SSPN1_47000.1	EWB00_008071
OG0001524	SSPN1_78910.2, SSPN1_78910.1, SSPN1_78910.3	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3
OG0001525	SSPN1_37150.1, SSPN1_37150.2	EWB00_001725
OG0001527	SSPN1_86700.1, SSPN1_86700.2	EWB00_000712, EWB00_004948
OG0001528	SSPN1_41560.1	EWB00_006389
OG0001529	SSPN1_56980.1	EWB00_011254.1, EWB00_011254.2
OG0001530	SSPN1_45110.1	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3
OG0001531	SSPN1_14100.1, SSPN1_14100.2, SSPN1_14100.3	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4, EWB00_002439.1
OG0001532	SSPN1_2880.1, SSPN1_2880.2, SSPN1_2880.3	EWB00_007573.1, EWB00_007573.2
OG0001533	SSPN1_56790.1, SSPN1_56790.2, SSPN1_56790.3	EWB00_010521
OG0001534	SSPN1_71540.1, SSPN1_71540.5, SSPN1_71540.3, SSPN1_71540.4, SSPN1_71540.2	EWB00_011036.1, EWB00_011036.2
OG0001535	SSPN1_84100.1	EWB00_006942
OG0001536	SSPN1_10200.1, SSPN1_10200.2	EWB00_006442
OG0001537	SSPN1_1370.1, SSPN1_1370.2, SSPN1_1370.3, SSPN1_1370.4, SSPN1_1380.2, SSPN1_1380.1	EWB00_005648
OG0001538	SSPN1_84830.1, SSPN1_84830.2, SSPN1_84830.3, SSPN1_84830.4	EWB00_000322
OG0001539	SSPN1_1520.1, SSPN1_1520.2, SSPN1_1520.3, SSPN1_1520.5, SSPN1_1520.4	EWB00_005624.2, EWB00_005624.1
OG0001540	SSPN1_31920.1	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4
OG0001541	SSPN1_81000.1	EWB00_010178.1, EWB00_010178.2, EWB00_010179
OG0001543	SSPN1_80880.1, SSPN1_80880.4, SSPN1_80880.5, SSPN1_80880.2, SSPN1_80880.3	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2
OG0001544	SSPN1_17250.2, SSPN1_17250.5, SSPN1_17250.1, SSPN1_17250.3, SSPN1_17250.4	EWB00_009740.1, EWB00_009740.2
OG0001545	SSPN1_45450.2, SSPN1_45450.1, SSPN1_45450.3, SSPN1_45450.5, SSPN1_45450.6, SSPN1_45450.7, SSPN1_45450.4	EWB00_002078.1, EWB00_002078.2
OG0001546	SSPN1_34640.4, SSPN1_34640.2, SSPN1_34640.5, SSPN1_34640.6, SSPN1_34640.3, SSPN1_34640.1	EWB00_004303
OG0001547	SSPN1_43460.1, SSPN1_43460.2	EWB00_004888.1, EWB00_004888.2, EWB00_004888.3
OG0001548	SSPN1_86560.1	EWB00_005068.3, EWB00_005068.1, EWB00_005068.2
OG0001549	SSPN1_43960.1, SSPN1_43960.2	EWB00_004742.3, EWB00_004742.1, EWB00_004742.2
OG0001554	SSPN1_29630.1	EWB00_002893
OG0001555	SSPN1_72980.1, SSPN1_72960.1	EWB00_007184
OG0001556	SSPN1_38580.1	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2
OG0001557	SSPN1_39810.1	EWB00_001587
OG0001558	SSPN1_77640.1	EWB00_004824, EWB00_009609.2, EWB00_009609.1
OG0001559	SSPN1_49150.1, SSPN1_49140.1	EWB00_003678
OG0001560	SSPN1_60980.1, SSPN1_60980.3, SSPN1_60980.2, SSPN1_60980.4	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3
OG0001562	SSPN1_71930.1	EWB00_001403, EWB00_001401
OG0001563	SSPN1_42320.1, SSPN1_42320.2	EWB00_001576
OG0001564	SSPN1_47330.1, SSPN1_47330.2, SSPN1_47330.3	EWB00_008720, EWB00_008721
OG0001565	SSPN1_59680.1	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2
OG0001566	SSPN1_61120.1, SSPN1_61120.2	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3
OG0001567	SSPN1_74690.1	EWB00_008254.1, EWB00_008254.2
OG0001568	SSPN1_77290.1	EWB00_009895, EWB00_010378
OG0001569	SSPN1_21160.1, SSPN1_21160.2	EWB00_002399, EWB00_002400
OG0001570	SSPN1_68100.1	EWB00_000946.4, EWB00_000946.1, EWB00_000946.3, EWB00_000946.2
OG0001571	SSPN1_1030.1	EWB00_010226
OG0001571	SSPN1_6360.1	EWB00_008986
OG0001572	SSPN1_61100.1, SSPN1_61100.2	EWB00_003961
OG0001573	SSPN1_25460.1	EWB00_005049.1, EWB00_005049.2, EWB00_005049.3
OG0001574	SSPN1_35600.1, SSPN1_35600.5, SSPN1_35600.4, SSPN1_35600.3, SSPN1_35600.6, SSPN1_35600.2	EWB00_001475.1, EWB00_001475.2, EWB00_001475.3
OG0001575	SSPN1_18840.1	EWB00_008443, EWB00_009866, EWB00_009867, EWB00_009869, EWB00_009868, EWB00_008442
OG0001576	SSPN1_85290.3, SSPN1_85290.1, SSPN1_85290.2	EWB00_004468
OG0001577	SSPN1_27930.1, SSPN1_27930.2	EWB00_000631
OG0001578	SSPN1_54490.6, SSPN1_54490.5, SSPN1_54490.1, SSPN1_54490.2, SSPN1_54490.7, SSPN1_54490.3, SSPN1_54490.4	EWB00_003565
OG0001579	SSPN1_13800.1, SSPN1_13800.2	EWB00_000084
OG0001580	SSPN1_40730.1	EWB00_003247
OG0001581	SSPN1_75690.1	EWB00_001247.1, EWB00_001247.2, EWB00_001247.6, EWB00_001247.4, EWB00_001247.3, EWB00_001247.5, EWB00_001247.7
OG0001582	SSPN1_54100.1, SSPN1_54100.2, SSPN1_54100.3	EWB00_007839.2, EWB00_007839.3, EWB00_007839.4, EWB00_007839.5, EWB00_007839.6, EWB00_007839.7, EWB00_007839.8, EWB00_007839.10, EWB00_007839.11, EWB00_007839.12, EWB00_007839.13, EWB00_007839.14, EWB00_007839.9, EWB00_007839.1
OG0001583	SSPN1_40620.2, SSPN1_40620.3, SSPN1_40620.1	EWB00_008305
OG0001584	SSPN1_36180.1	EWB00_003372.1, EWB00_003372.2
OG0001585	SSPN1_30790.1, SSPN1_30790.2, SSPN1_30790.3	EWB00_003931
OG0001586	SSPN1_10680.1, SSPN1_10680.3, SSPN1_10680.5, SSPN1_10680.2, SSPN1_10680.4	EWB00_000604
OG0001587	SSPN1_11670.1	EWB00_001056.2, EWB00_001056.4, EWB00_001056.1, EWB00_001056.3
OG0001588	SSPN1_61360.1	EWB00_000393.4, EWB00_000393.3, EWB00_000393.2, EWB00_000393.1, EWB00_000393.5
OG0001589	SSPN1_36900.4, SSPN1_36900.5, SSPN1_36900.3, SSPN1_36900.1, SSPN1_36900.2	EWB00_001764, EWB00_001763
OG0001590	SSPN1_66920.1, SSPN1_66920.3, SSPN1_66920.2, SSPN1_66920.4	EWB00_000529.1, EWB00_000529.2
OG0001591	SSPN1_92940.3, SSPN1_92940.4, SSPN1_92940.1, SSPN1_92940.2	EWB00_001817, EWB00_001818
OG0001592	SSPN1_11500.1, SSPN1_11500.2, SSPN1_11500.3, SSPN1_11500.4	EWB00_005480.1, EWB00_005480.2, EWB00_005480.3
OG0001593	SSPN1_62850.1, SSPN1_62850.2	EWB00_011133.1, EWB00_011133.2
OG0001594	SSPN1_34590.2, SSPN1_34590.1, SSPN1_34590.3	EWB00_004309.1, EWB00_004309.2
OG0001595	SSPN1_59080.3, SSPN1_59080.1, SSPN1_59080.2	EWB00_010479
OG0001596	SSPN1_77120.3, SSPN1_77120.4, SSPN1_77120.1, SSPN1_77120.2, SSPN1_77120.5	EWB00_007492
OG0001597	SSPN1_70440.1, SSPN1_70440.2	EWB00_004539.1, EWB00_004539.2
OG0001598	SSPN1_44070.1, SSPN1_44070.2, SSPN1_44070.3	EWB00_004044.2, EWB00_004044.3, EWB00_004044.4, EWB00_004044.6, EWB00_004044.5, EWB00_004044.1
OG0001599	SSPN1_67350.1	EWB00_003665
OG0001600	SSPN1_29010.1, SSPN1_29010.2	EWB00_006003.1, EWB00_006003.2, EWB00_006003.3, EWB00_006003.5, EWB00_006003.4
OG0001601	SSPN1_58500.3, SSPN1_58500.2, SSPN1_58500.5, SSPN1_58500.6, SSPN1_58500.4, SSPN1_58500.1	EWB00_000474
OG0001602	SSPN1_17980.1	EWB00_002672.1, EWB00_002672.2
OG0001604	SSPN1_23690.1	EWB00_001111
OG0001605	SSPN1_15070.1, SSPN1_15070.2	EWB00_004822
OG0001606	SSPN1_22240.1, SSPN1_22240.2	EWB00_007547.1, EWB00_007547.2, EWB00_007547.3, EWB00_007547.4
OG0001607	SSPN1_66880.1, SSPN1_66880.2	EWB00_003884.1, EWB00_003884.3, EWB00_003884.2, EWB00_003884.4, EWB00_003884.5
OG0001608	SSPN1_49880.3, SSPN1_49880.1, SSPN1_49880.2, SSPN1_49880.4	EWB00_006512
OG0001609	SSPN1_68830.1, SSPN1_68830.2, SSPN1_68830.3, SSPN1_68830.4, SSPN1_68830.5, SSPN1_68830.6	EWB00_007367.7, EWB00_007367.5, EWB00_007367.2, EWB00_007367.3, EWB00_007367.4, EWB00_007367.1, EWB00_007367.6
OG0001610	SSPN1_34030.1	EWB00_004368
OG0001611	SSPN1_63840.2, SSPN1_63840.3, SSPN1_63840.5, SSPN1_63840.7, SSPN1_63840.6, SSPN1_63840.8, SSPN1_63840.1, SSPN1_63840.4	EWB00_011295
OG0001612	SSPN1_1450.1, SSPN1_1450.2, SSPN1_1450.3	EWB00_005638.1, EWB00_005638.2
OG0001613	SSPN1_71250.1	EWB00_011053.1, EWB00_011053.2, EWB00_011053.3
OG0001614	SSPN1_30940.1	EWB00_003941
OG0001615	SSPN1_30930.1	EWB00_003940
OG0001616	SSPN1_20020.1	EWB00_009486
OG0001617	SSPN1_52500.1	EWB00_009311.1, EWB00_009311.2
OG0001618	SSPN1_31840.2, SSPN1_31840.1	EWB00_006198.1, EWB00_006198.2
OG0001619	SSPN1_52390.1	EWB00_008116.1, EWB00_008116.2
OG0001620	SSPN1_37120.1, SSPN1_37120.5, SSPN1_37120.6, SSPN1_37120.2, SSPN1_37120.3, SSPN1_37120.4	EWB00_001728
OG0001621	SSPN1_1090.1, SSPN1_1090.2, SSPN1_1090.3	EWB00_010220
OG0001622	SSPN1_81620.1	EWB00_004499.1, EWB00_004499.2
OG0001623	SSPN1_7450.1	EWB00_008598.2, EWB00_008598.1, EWB00_008598.3
OG0001624	SSPN1_39790.1, SSPN1_39790.3, SSPN1_39790.5, SSPN1_39790.8, SSPN1_39790.10, SSPN1_39790.7, SSPN1_39790.4, SSPN1_39790.9, SSPN1_39790.2, SSPN1_39790.6	EWB00_001583.1, EWB00_001583.2, EWB00_001583.3
OG0001625	SSPN1_61470.1	EWB00_003330
OG0001626	SSPN1_38510.1	EWB00_003418.1, EWB00_003418.2
OG0001627	SSPN1_69890.1	EWB00_006592.1, EWB00_006592.2, EWB00_006592.3
OG0001628	SSPN1_14440.1, SSPN1_14440.2	EWB00_003126.2, EWB00_003126.1, EWB00_003126.3, EWB00_003126.5, EWB00_003126.4, EWB00_003126.6
OG0001629	SSPN1_1950.3, SSPN1_1950.1, SSPN1_1950.2	EWB00_004656.1, EWB00_004656.2, EWB00_004656.4, EWB00_004656.5, EWB00_004656.6, EWB00_004656.3
OG0001631	SSPN1_86130.9, SSPN1_86130.2, SSPN1_86130.4, SSPN1_86130.5, SSPN1_86130.7, SSPN1_86130.1, SSPN1_86130.3, SSPN1_86130.6, SSPN1_86130.8	EWB00_001898.1, EWB00_001898.2
OG0001632	SSPN1_57680.1, SSPN1_57680.3, SSPN1_57680.4, SSPN1_57680.2	EWB00_005797
OG0001633	SSPN1_91230.1	EWB00_004781.3, EWB00_004781.1, EWB00_004781.2
OG0001634	SSPN1_84210.1, SSPN1_84210.2, SSPN1_84210.3	EWB00_007518
OG0001635	SSPN1_4930.1	EWB00_006335
OG0001636	SSPN1_72040.1, SSPN1_72040.3, SSPN1_72040.2	EWB00_001392.2, EWB00_001392.3, EWB00_001392.1, EWB00_001392.4
OG0001637	SSPN1_56150.2, SSPN1_56150.1, SSPN1_56150.3	EWB00_003455.3, EWB00_003455.1, EWB00_003455.2
OG0001639	SSPN1_14180.1	EWB00_002443
OG0001639	SSPN1_14140.1	EWB00_002442
OG0001640	SSPN1_13180.1	EWB00_002491.1, EWB00_002491.2
OG0001641	SSPN1_85670.2, SSPN1_85670.1, SSPN1_85670.3, SSPN1_85670.4	EWB00_001978.1, EWB00_001978.2
OG0001642	SSPN1_44250.2, SSPN1_44250.1, SSPN1_44250.3, SSPN1_44250.4, SSPN1_66850.1	EWB00_009266
OG0001643	SSPN1_64530.1	EWB00_003874
OG0001644	SSPN1_47500.1	EWB00_008738.1, EWB00_008738.2, EWB00_008738.3, EWB00_008738.4, EWB00_008738.5, EWB00_008738.6, EWB00_008738.7
OG0001645	SSPN1_91650.1	EWB00_005858
OG0001646	SSPN1_53760.1	EWB00_007841.1, EWB00_007841.2
OG0001647	SSPN1_40520.3, SSPN1_40520.4, SSPN1_40520.1, SSPN1_40520.2, SSPN1_40520.5	EWB00_008760.3, EWB00_008760.1, EWB00_008760.2
OG0001648	SSPN1_77070.2, SSPN1_77070.1, SSPN1_77070.3	EWB00_007501
OG0001649	SSPN1_18430.1	EWB00_003693, EWB00_005061
OG0001650	SSPN1_70210.1	EWB00_001193
OG0001651	SSPN1_2040.1	EWB00_004648
OG0001652	SSPN1_68730.1, SSPN1_68730.2, SSPN1_68730.3	EWB00_007374.1, EWB00_007374.2
OG0001653	SSPN1_19790.1, SSPN1_19790.2, SSPN1_19790.3	EWB00_004667.1, EWB00_004667.2
OG0001654	SSPN1_87390.1	EWB00_003253
OG0001655	SSPN1_64950.2, SSPN1_64950.1, SSPN1_64950.3	EWB00_006237.1, EWB00_006237.2, EWB00_006237.3, EWB00_006237.4
OG0001656	SSPN1_84730.2, SSPN1_84730.1, SSPN1_84730.4, SSPN1_84730.3, SSPN1_84730.5, SSPN1_84730.6	EWB00_000311
OG0001657	SSPN1_37440.1, SSPN1_37440.2	EWB00_002910
OG0001659	SSPN1_35990.1	EWB00_008176.1, EWB00_008176.2, EWB00_008358.1, EWB00_008358.2, EWB00_008358.3, EWB00_009727.2, EWB00_009727.1
OG0001661	SSPN1_49760.1, SSPN1_49760.2, SSPN1_49760.3, SSPN1_49760.4, SSPN1_49760.5, SSPN1_49760.6, SSPN1_49760.7	EWB00_007215
OG0001662	SSPN1_5400.1, SSPN1_5400.2	EWB00_006313
OG0001665	SSPN1_91610.10, SSPN1_91610.11, SSPN1_91610.8, SSPN1_91610.9	EWB00_004447
OG0001668	SSPN1_27280.1, SSPN1_27280.3, SSPN1_27280.4, SSPN1_27280.2, SSPN1_27280.5	EWB00_000091.1, EWB00_000091.3, EWB00_000091.5, EWB00_000091.4, EWB00_000091.2, EWB00_000091.6, EWB00_000091.7
OG0001669	SSPN1_38830.1	EWB00_011212.1, EWB00_011212.2
OG0001670	SSPN1_34210.1	EWB00_004351.1, EWB00_004351.2, EWB00_004351.3, EWB00_004351.4
OG0001671	SSPN1_29200.1	EWB00_005987.1, EWB00_005987.2
OG0001672	SSPN1_28360.1, SSPN1_28360.2, SSPN1_28360.3	EWB00_007942.1, EWB00_007942.2
OG0001673	SSPN1_62990.1, SSPN1_62990.2	EWB00_011109.1, EWB00_011109.2
