Orthogroup	schistosoma_spindale	opisthorchis_viverrini
OG0000799	SSPN1_58000.1, SSPN1_58000.2, SSPN1_58000.3, SSPN1_58000.4, SSPN1_58000.5, SSPN1_58000.6, SSPN1_58000.7, SSPN1_58000.8	T265_01805
OG0000800	SSPN1_20440.1	T265_10271, T265_16198
OG0000801	SSPN1_15010.1, SSPN1_15010.3, SSPN1_15010.2, SSPN1_15010.4, SSPN1_15010.5	T265_05496
OG0000802	SSPN1_70450.1	T265_12896
OG0000802	SSPN1_56670.1	T265_06568
OG0000803	SSPN1_76200.1, SSPN1_76200.2, SSPN1_76200.3	T265_00805
OG0000804	SSPN1_40040.1, SSPN1_40040.2	T265_08025
OG0000805	SSPN1_34560.3, SSPN1_34560.1, SSPN1_34560.2, SSPN1_34560.4	T265_13484
OG0000806	SSPN1_70840.4, SSPN1_70840.1, SSPN1_70840.2, SSPN1_70840.3	T265_09116
OG0000807	SSPN1_20670.1, SSPN1_20670.2, SSPN1_20670.3	T265_06277
OG0000808	SSPN1_89970.1	T265_09441
OG0000808	SSPN1_89980.1, SSPN1_89980.2	T265_09443
OG0000809	SSPN1_87550.1	T265_05763
OG0000810	SSPN1_24060.1	T265_11471
OG0000811	SSPN1_19520.5, SSPN1_19520.1, SSPN1_19520.2, SSPN1_19520.3, SSPN1_19520.4	T265_14828
OG0000812	SSPN1_16630.1	T265_15805
OG0000813	SSPN1_83370.5, SSPN1_83370.2, SSPN1_83370.4, SSPN1_83370.6, SSPN1_83370.1, SSPN1_83370.10, SSPN1_83370.9, SSPN1_83370.7, SSPN1_83370.8, SSPN1_83370.3	T265_10364
OG0000814	SSPN1_60680.3, SSPN1_60680.4, SSPN1_60680.1, SSPN1_60680.2	T265_15846, T265_11631
OG0000815	SSPN1_64640.2, SSPN1_64640.1	T265_14139, T265_14138
OG0000816	SSPN1_80820.2, SSPN1_80820.3, SSPN1_80820.5, SSPN1_80820.1, SSPN1_80820.6, SSPN1_80820.4	T265_10520, T265_15172
OG0000817	SSPN1_85270.1, SSPN1_85270.4, SSPN1_85270.5, SSPN1_85270.6, SSPN1_85270.7, SSPN1_85270.2, SSPN1_85270.3, SSPN1_85270.8	T265_03538
OG0000818	SSPN1_19060.4, SSPN1_19060.5, SSPN1_19060.6, SSPN1_19060.3, SSPN1_19060.1, SSPN1_19060.2	T265_12681
OG0000819	SSPN1_59200.1, SSPN1_59200.2	T265_02518
OG0000822	SSPN1_71620.1	T265_03848
OG0000823	SSPN1_51600.2, SSPN1_51600.1	T265_00829
OG0000823	SSPN1_89360.1	T265_11555
OG0000824	SSPN1_3010.5, SSPN1_3010.8, SSPN1_3010.1, SSPN1_3010.2, SSPN1_3010.6, SSPN1_3010.3, SSPN1_3010.4, SSPN1_3010.7	T265_07875
OG0000826	SSPN1_53440.1	T265_06114
OG0000827	SSPN1_72560.1, SSPN1_72560.2	T265_04215, T265_13453, T265_08146, T265_00316
OG0000830	SSPN1_47300.3, SSPN1_47300.1, SSPN1_47300.2	T265_03604
OG0000831	SSPN1_41160.2, SSPN1_41160.1, SSPN1_41160.3	T265_11740
OG0000832	SSPN1_63890.1	T265_06731
OG0000833	SSPN1_37650.1, SSPN1_37650.2, SSPN1_37650.3, SSPN1_37650.7, SSPN1_37650.4, SSPN1_37650.5, SSPN1_37650.6, SSPN1_37650.8	T265_15296
OG0000834	SSPN1_47160.2, SSPN1_47160.3, SSPN1_47160.1, SSPN1_47160.5, SSPN1_47160.4	T265_08688
OG0000835	SSPN1_32910.1	T265_05875
OG0000836	SSPN1_33600.5, SSPN1_33600.2, SSPN1_33600.1, SSPN1_33600.4, SSPN1_33600.3, SSPN1_33600.6	T265_07620, T265_16203
OG0000837	SSPN1_38520.1	T265_08390
OG0000838	SSPN1_31870.1	T265_02612
OG0000839	SSPN1_32510.1, SSPN1_32510.2	T265_03005
OG0000840	SSPN1_67650.1	T265_12899
OG0000841	SSPN1_13010.2, SSPN1_13010.3, SSPN1_13010.1	T265_06170
OG0000842	SSPN1_57570.1, SSPN1_57840.3, SSPN1_57840.4, SSPN1_57840.1, SSPN1_57840.5, SSPN1_57840.2	T265_14136
OG0000843	SSPN1_79270.2, SSPN1_79270.3, SSPN1_79270.1, SSPN1_79270.4	T265_02386
OG0000844	SSPN1_5130.1	T265_00279
OG0000845	SSPN1_86230.2, SSPN1_86230.3, SSPN1_86230.1	T265_12579
OG0000846	SSPN1_13880.5, SSPN1_13880.6, SSPN1_13880.1, SSPN1_13880.2, SSPN1_13880.3, SSPN1_13880.4, SSPN1_13880.7	T265_05703
OG0000847	SSPN1_220.1	T265_07827, T265_09008, T265_01575, T265_07199
OG0000848	SSPN1_36090.1	T265_00764
OG0000849	SSPN1_31820.1	T265_12610
OG0000850	SSPN1_26230.1	T265_10398
OG0000851	SSPN1_87560.1	T265_04154
OG0000852	SSPN1_19650.2, SSPN1_19650.3, SSPN1_19650.1, SSPN1_19650.4, SSPN1_19650.6, SSPN1_19650.7, SSPN1_19650.5	T265_08766
OG0000853	SSPN1_79780.2, SSPN1_79780.1	T265_06027
OG0000854	SSPN1_33580.3, SSPN1_33580.2, SSPN1_33590.1, SSPN1_33590.2, SSPN1_33590.5, SSPN1_33590.6, SSPN1_33590.3, SSPN1_33590.4, SSPN1_33580.4, SSPN1_33580.1	T265_15559, T265_14260, T265_15560
OG0000855	SSPN1_52750.4, SSPN1_52750.2, SSPN1_52750.3, SSPN1_52750.1	T265_13837, T265_15500
OG0000856	SSPN1_2910.4, SSPN1_2910.1, SSPN1_2910.5, SSPN1_2910.6, SSPN1_2910.2, SSPN1_2910.3	T265_14822
OG0000857	SSPN1_4090.2, SSPN1_4090.4, SSPN1_4090.5, SSPN1_4090.3, SSPN1_4090.1, SSPN1_4090.6	T265_14322
OG0000858	SSPN1_4440.1, SSPN1_4440.3, SSPN1_4440.2	T265_15000
OG0000860	SSPN1_64390.1	T265_06072
OG0000860	SSPN1_61710.1	T265_05631
OG0000861	SSPN1_18860.1, SSPN1_18860.5, SSPN1_18860.2, SSPN1_18860.4, SSPN1_18860.3	T265_04574
OG0000862	SSPN1_28930.1, SSPN1_28930.2	T265_09368, T265_09366, T265_09369
OG0000863	SSPN1_7310.1	T265_05435
OG0000864	SSPN1_30630.1, SSPN1_30630.4, SSPN1_30630.2, SSPN1_30630.3	T265_05363
OG0000865	SSPN1_37710.2, SSPN1_37710.3, SSPN1_37710.1, SSPN1_37710.4, SSPN1_37710.5, SSPN1_37710.6	T265_05335
OG0000866	SSPN1_1010.1	T265_09230
OG0000867	SSPN1_7200.1	T265_03080
OG0000869	SSPN1_86690.1, SSPN1_86690.2	T265_14256
OG0000870	SSPN1_500.1	T265_06698
OG0000872	SSPN1_3970.1	T265_16288, T265_12059
OG0000873	SSPN1_83240.1	T265_15131
OG0000874	SSPN1_41690.1	T265_04488, T265_09986, T265_09985
OG0000876	SSPN1_93390.1, SSPN1_22700.1, SSPN1_93230.1, SSPN1_22690.1, SSPN1_22710.1	T265_03229
OG0000877	SSPN1_7240.1, SSPN1_7240.2, SSPN1_7240.3	T265_14662
OG0000879	SSPN1_56420.1	T265_08209
OG0000881	SSPN1_87410.1	T265_09970
OG0000882	SSPN1_21280.1	T265_15327, T265_15326
OG0000882	SSPN1_30850.1, SSPN1_30850.2	T265_00439, T265_08858
OG0000883	SSPN1_30860.1	T265_08857
OG0000884	SSPN1_31600.1	T265_10076, T265_15490
OG0000885	SSPN1_1220.1	T265_12962, T265_02246
OG0000886	SSPN1_67740.5, SSPN1_67740.3, SSPN1_67740.4, SSPN1_67740.2, SSPN1_67740.1	T265_01994
OG0000887	SSPN1_12460.3, SSPN1_12460.4, SSPN1_12460.5, SSPN1_12460.6, SSPN1_12460.7, SSPN1_12460.1, SSPN1_12460.2	T265_15509
OG0000888	SSPN1_75770.1, SSPN1_75770.2, SSPN1_75770.5, SSPN1_75770.3, SSPN1_75770.4	T265_14777, T265_14776
OG0000889	SSPN1_26660.1, SSPN1_26660.2	T265_10291, T265_03241
OG0000890	SSPN1_39640.10, SSPN1_39640.1, SSPN1_39640.4, SSPN1_39640.5, SSPN1_39640.6, SSPN1_39640.7, SSPN1_39640.8, SSPN1_39640.2, SSPN1_39640.3, SSPN1_39640.9	T265_04042, T265_05866
OG0000891	SSPN1_33720.1	T265_13383, T265_13385
OG0000892	SSPN1_50250.4, SSPN1_50250.1, SSPN1_50250.2, SSPN1_50250.3	T265_13465, T265_04286
OG0000894	SSPN1_84600.1	T265_14564, T265_08709
OG0000895	SSPN1_42610.3, SSPN1_42610.1, SSPN1_42610.5, SSPN1_42610.6, SSPN1_42610.4, SSPN1_42610.2	T265_08916
OG0000896	SSPN1_9940.1, SSPN1_9950.2, SSPN1_9950.1, SSPN1_9950.3	T265_11745, T265_15524
OG0000897	SSPN1_20380.1, SSPN1_20380.2	T265_09054
OG0000898	SSPN1_69210.2, SSPN1_69210.3, SSPN1_69210.1, SSPN1_69210.4, SSPN1_69210.5	T265_03575
OG0000899	SSPN1_16200.1, SSPN1_16200.2	T265_00966
OG0000900	SSPN1_3530.1, SSPN1_3550.1, SSPN1_3550.2	T265_15960
OG0000901	SSPN1_61610.1	T265_03340
OG0000902	SSPN1_53300.1	T265_03522
OG0000903	SSPN1_15220.1	T265_02094
OG0000904	SSPN1_4990.1, SSPN1_4990.2, SSPN1_4990.3	T265_06409
OG0000905	SSPN1_75930.1, SSPN1_75930.2, SSPN1_75930.3	T265_08905
OG0000906	SSPN1_65460.1	T265_09792
OG0000907	SSPN1_71750.1	T265_00831
OG0000908	SSPN1_25580.1	T265_13306
OG0000910	SSPN1_8090.1, SSPN1_8090.2	T265_10833
OG0000911	SSPN1_56200.1	T265_11627, T265_11628
OG0000912	SSPN1_6370.1	T265_06227
OG0000913	SSPN1_30350.1, SSPN1_30350.2	T265_10377, T265_05795, T265_15140
OG0000914	SSPN1_32460.1	T265_06456
OG0000915	SSPN1_28470.1	T265_00756
OG0000916	SSPN1_31340.1	T265_11901
OG0000917	SSPN1_81110.1	T265_02425
OG0000918	SSPN1_25660.1, SSPN1_25660.2, SSPN1_25660.3, SSPN1_25660.4	T265_13665
OG0000919	SSPN1_81260.1, SSPN1_81260.2, SSPN1_81260.3	T265_11299
OG0000920	SSPN1_91420.1	T265_04838
OG0000921	SSPN1_42050.1	T265_10843
OG0000922	SSPN1_6860.1	T265_14804, T265_09307
OG0000923	SSPN1_40240.3, SSPN1_40240.1, SSPN1_40240.2	T265_03493
OG0000923	SSPN1_89620.2, SSPN1_89620.1	T265_05658
OG0000925	SSPN1_14330.2, SSPN1_14330.7, SSPN1_14330.6, SSPN1_14330.5, SSPN1_14330.9, SSPN1_14330.1, SSPN1_14330.11, SSPN1_14330.13, SSPN1_14330.3, SSPN1_14330.10, SSPN1_14330.12, SSPN1_14330.4, SSPN1_14330.8	T265_07999
OG0000926	SSPN1_25930.3, SSPN1_25930.1, SSPN1_25930.2, SSPN1_25930.4, SSPN1_25940.1	T265_15584
OG0000927	SSPN1_12530.1	T265_13966
OG0000928	SSPN1_38570.1, SSPN1_38570.2	T265_02989
OG0000929	SSPN1_59660.1, SSPN1_59660.2	T265_11846
OG0000930	SSPN1_41090.1, SSPN1_41090.3, SSPN1_41090.4, SSPN1_41090.2, SSPN1_41090.5, SSPN1_41090.6	T265_13266
OG0000931	SSPN1_68650.1	T265_10692
OG0000932	SSPN1_330.1, SSPN1_330.2, SSPN1_330.3	T265_09389
OG0000933	SSPN1_31240.1	T265_10768
OG0000934	SSPN1_20310.1, SSPN1_20310.3, SSPN1_20310.2, SSPN1_20310.4, SSPN1_20310.5	T265_09239
OG0000935	SSPN1_65080.10, SSPN1_65080.3, SSPN1_65080.6, SSPN1_65080.5, SSPN1_65080.1, SSPN1_65080.7, SSPN1_65080.8, SSPN1_65080.9, SSPN1_65080.2, SSPN1_65080.4	T265_09761
OG0000936	SSPN1_90470.1	T265_08979
OG0000937	SSPN1_52480.1, SSPN1_52480.2, SSPN1_52480.3	T265_04033
OG0000938	SSPN1_64480.1	T265_08657, T265_08656
OG0000939	SSPN1_83550.1, SSPN1_83550.2	T265_05437
OG0000940	SSPN1_5660.1, SSPN1_5660.6, SSPN1_5660.4, SSPN1_5660.5, SSPN1_5660.3, SSPN1_5660.2	T265_08942, T265_16338
OG0000941	SSPN1_38760.1	T265_08808
OG0000942	SSPN1_14710.1, SSPN1_14710.2	T265_10456
OG0000943	SSPN1_27630.3, SSPN1_27630.4, SSPN1_27630.1, SSPN1_27630.2	T265_03814
OG0000944	SSPN1_55980.1, SSPN1_55990.1, SSPN1_55990.2, SSPN1_55990.3	T265_00614
OG0000945	SSPN1_19190.1	T265_01854
OG0000946	SSPN1_8620.1, SSPN1_8620.2	T265_06499
OG0000947	SSPN1_32140.1	T265_13430
OG0000948	SSPN1_78680.1	T265_04663
OG0000949	SSPN1_14550.1	T265_09047, T265_09046, T265_09045
OG0000950	SSPN1_51570.2, SSPN1_51570.5, SSPN1_51570.3, SSPN1_51570.6, SSPN1_51570.4, SSPN1_51570.1	T265_04298
OG0000952	SSPN1_28430.4, SSPN1_28430.1, SSPN1_28430.3, SSPN1_28430.2	T265_00749
OG0000953	SSPN1_61510.1	T265_13448
OG0000954	SSPN1_77590.2, SSPN1_77590.3, SSPN1_77590.1, SSPN1_77590.4	T265_05290
OG0000955	SSPN1_17140.1, SSPN1_17140.2, SSPN1_17140.4, SSPN1_17140.5, SSPN1_17140.6, SSPN1_17140.3	T265_03085
OG0000958	SSPN1_18190.1	T265_07251
OG0000960	SSPN1_21940.1, SSPN1_21940.2	T265_13744
OG0000962	SSPN1_71730.5, SSPN1_71730.1, SSPN1_71730.2, SSPN1_71730.3, SSPN1_71730.4	T265_00111
OG0000963	SSPN1_2410.1, SSPN1_2410.2	T265_13178
OG0000964	SSPN1_39420.1, SSPN1_39420.3, SSPN1_39420.4, SSPN1_39420.2, SSPN1_39420.5, SSPN1_39420.7, SSPN1_39420.6	T265_10312
OG0000965	SSPN1_60720.1	T265_03351
OG0000966	SSPN1_34730.1	T265_04985
OG0000966	SSPN1_47450.1	T265_15072
OG0000967	SSPN1_35490.4, SSPN1_35490.3, SSPN1_35490.1, SSPN1_35490.2	T265_16351
OG0000968	SSPN1_2770.1, SSPN1_2770.2, SSPN1_2770.4, SSPN1_2770.3, SSPN1_2770.5, SSPN1_2770.6	T265_03039
OG0000969	SSPN1_78560.1	T265_09844, T265_10897, T265_14509, T265_14974
OG0000969	SSPN1_78570.1, SSPN1_78570.2	T265_01639
OG0000970	SSPN1_66910.1	T265_05786
OG0000971	SSPN1_1860.1	T265_14454
OG0000972	SSPN1_6000.1, SSPN1_6000.4, SSPN1_6000.3, SSPN1_6000.2	T265_04367
OG0000973	SSPN1_23180.1	T265_07516
OG0000974	SSPN1_53610.3, SSPN1_53610.5, SSPN1_53610.2, SSPN1_53610.1, SSPN1_53610.4	T265_12463
OG0000975	SSPN1_5820.1, SSPN1_5820.2	T265_02924, T265_09700
OG0000976	SSPN1_20200.1, SSPN1_20200.2, SSPN1_20200.3, SSPN1_20200.4, SSPN1_20200.5, SSPN1_20200.6	T265_00947
OG0000977	SSPN1_16610.1	T265_04434
OG0000978	SSPN1_10090.1, SSPN1_10090.2, SSPN1_10090.3, SSPN1_10090.4, SSPN1_10090.5, SSPN1_10090.6	T265_05507
OG0000979	SSPN1_70820.1, SSPN1_70820.2	T265_00786
OG0000980	SSPN1_50330.1	T265_03583
OG0000981	SSPN1_30910.1	T265_04343
OG0000982	SSPN1_60220.1, SSPN1_60220.3, SSPN1_60220.2, SSPN1_60220.4	T265_03904
OG0000983	SSPN1_15060.1, SSPN1_15060.2, SSPN1_15060.3, SSPN1_15060.4	T265_09860
OG0000984	SSPN1_36070.1, SSPN1_36070.2, SSPN1_36070.3	T265_10372, T265_07582
OG0000985	SSPN1_14570.1	T265_11572
OG0000986	SSPN1_69930.1, SSPN1_69930.2	T265_02193, T265_12946
OG0000987	SSPN1_80240.1	T265_02383
OG0000989	SSPN1_49670.1	T265_04299
OG0000990	SSPN1_4620.1	T265_08682
OG0000991	SSPN1_56860.1, SSPN1_56860.2, SSPN1_56860.3, SSPN1_56860.6, SSPN1_56860.4, SSPN1_56860.5	T265_13030
OG0000992	SSPN1_42840.1, SSPN1_42840.2	T265_01516
OG0000993	SSPN1_75200.3, SSPN1_75200.1, SSPN1_75200.2	T265_14754
OG0000994	SSPN1_37020.4, SSPN1_37020.2, SSPN1_37020.1, SSPN1_37020.3	T265_02553
OG0000995	SSPN1_77440.3, SSPN1_77440.1, SSPN1_77440.2, SSPN1_77460.1	T265_13745
OG0000996	SSPN1_60100.1, SSPN1_60100.2	T265_00610
OG0000997	SSPN1_85610.1, SSPN1_85610.2	T265_13758
OG0000998	SSPN1_53780.1	T265_02907
OG0000999	SSPN1_33130.4, SSPN1_33130.5, SSPN1_33130.2, SSPN1_33130.1, SSPN1_33130.3	T265_02983
OG0001000	SSPN1_7070.2, SSPN1_7070.5, SSPN1_7070.1, SSPN1_7070.3, SSPN1_7070.4	T265_02450
OG0001003	SSPN1_38640.2, SSPN1_38640.4, SSPN1_38640.6, SSPN1_38640.5, SSPN1_38640.3, SSPN1_38640.7, SSPN1_38640.1	T265_02803
OG0001004	SSPN1_14940.1	T265_15034
OG0001009	SSPN1_84820.1, SSPN1_84820.3, SSPN1_84820.4, SSPN1_84820.2, SSPN1_84820.5	T265_08731
OG0001010	SSPN1_63980.1	T265_06725
OG0001011	SSPN1_31280.1, SSPN1_31280.4, SSPN1_31280.3, SSPN1_31280.2	T265_13048
OG0001012	SSPN1_5040.1, SSPN1_5040.3, SSPN1_5040.2	T265_06918
OG0001013	SSPN1_18320.1	T265_10272, T265_16022
OG0001014	SSPN1_3950.1	T265_12060, T265_16314
OG0001015	SSPN1_32620.1, SSPN1_32620.2	T265_11538, T265_15411, T265_10528, T265_15958
OG0001016	SSPN1_33310.1	T265_01892
OG0001017	SSPN1_15080.4, SSPN1_15080.5, SSPN1_15080.8, SSPN1_15080.2, SSPN1_15080.3, SSPN1_15080.6, SSPN1_15080.1, SSPN1_15080.7, SSPN1_15080.9	T265_03456
OG0001018	SSPN1_28650.1, SSPN1_28650.2, SSPN1_28650.3, SSPN1_28650.4	T265_11985
OG0001019	SSPN1_40910.3, SSPN1_40910.1, SSPN1_40910.2	T265_06404, T265_12347
OG0001020	SSPN1_19640.1, SSPN1_19640.9, SSPN1_19640.10, SSPN1_19640.4, SSPN1_19640.2, SSPN1_19640.5, SSPN1_19640.7, SSPN1_19640.3, SSPN1_19640.6, SSPN1_19640.8	T265_14664
OG0001021	SSPN1_28410.1, SSPN1_28410.5, SSPN1_28410.2, SSPN1_28410.4, SSPN1_28420.1, SSPN1_28410.3, SSPN1_28410.6	T265_05434
OG0001022	SSPN1_9910.1, SSPN1_9910.5, SSPN1_9910.2, SSPN1_9910.4, SSPN1_9910.3, SSPN1_9910.8, SSPN1_9910.6, SSPN1_9910.7	T265_08582
OG0001023	SSPN1_61090.1, SSPN1_61090.2, SSPN1_61090.3, SSPN1_61090.6, SSPN1_61090.4, SSPN1_61090.5	T265_14386
OG0001024	SSPN1_75330.1, SSPN1_75330.2, SSPN1_75330.3, SSPN1_75330.4	T265_15215
OG0001026	SSPN1_48000.1	T265_08689
OG0001027	SSPN1_370.1, SSPN1_370.2, SSPN1_370.3, SSPN1_370.4, SSPN1_370.5	T265_05249
OG0001028	SSPN1_53680.2, SSPN1_53680.3, SSPN1_53680.1, SSPN1_53680.5, SSPN1_53680.4	T265_02150
OG0001029	SSPN1_48170.2, SSPN1_48170.1	T265_06784
OG0001030	SSPN1_27770.1	T265_03534
OG0001031	SSPN1_67850.2, SSPN1_67850.1, SSPN1_67850.4, SSPN1_67850.3	T265_02198
OG0001032	SSPN1_60080.1, SSPN1_60080.3, SSPN1_60080.2	T265_07791
OG0001033	SSPN1_69240.1, SSPN1_69240.2, SSPN1_69240.3	T265_12072
OG0001034	SSPN1_52260.1, SSPN1_52260.2	T265_00015
OG0001035	SSPN1_52820.1	T265_07899, T265_11146, T265_07897, T265_11147
OG0001036	SSPN1_13350.1	T265_15152
OG0001038	SSPN1_1510.1	T265_06836
OG0001039	SSPN1_26250.1, SSPN1_26250.3, SSPN1_26250.4, SSPN1_26250.2	T265_13311
OG0001040	SSPN1_78800.3, SSPN1_78800.1, SSPN1_78800.2	T265_08277
OG0001041	SSPN1_90690.5, SSPN1_90690.6, SSPN1_90690.4, SSPN1_90690.1, SSPN1_90690.2, SSPN1_90690.3	T265_02769, T265_02770
OG0001042	SSPN1_16500.1	T265_09868, T265_16047
OG0001043	SSPN1_46830.3, SSPN1_46830.1, SSPN1_46830.2	T265_04066
OG0001045	SSPN1_57890.2, SSPN1_57890.1, SSPN1_57890.7, SSPN1_57890.8, SSPN1_57890.12, SSPN1_57890.3, SSPN1_57890.13, SSPN1_57890.5, SSPN1_57890.10, SSPN1_57890.11, SSPN1_57890.14, SSPN1_57890.9, SSPN1_57890.4, SSPN1_57890.6	T265_14190
OG0001046	SSPN1_49390.1	T265_00122
OG0001047	SSPN1_92160.1, SSPN1_92160.3, SSPN1_92160.4, SSPN1_92160.2	T265_14657, T265_15967
OG0001048	SSPN1_75260.1	T265_05921
OG0001049	SSPN1_53380.2, SSPN1_53380.3, SSPN1_53380.1, SSPN1_53380.4	T265_01366
OG0001050	SSPN1_61860.1, SSPN1_61860.3, SSPN1_61860.2, SSPN1_61860.4	T265_06070
OG0001051	SSPN1_84670.1, SSPN1_84670.2	T265_08900
OG0001052	SSPN1_53350.3, SSPN1_53350.2, SSPN1_53350.1	T265_03515, T265_03514
OG0001053	SSPN1_60650.1	T265_10644
OG0001054	SSPN1_18880.1, SSPN1_18880.2, SSPN1_18880.3	T265_07774
OG0001056	SSPN1_55950.1	T265_06907
OG0001057	SSPN1_84530.1, SSPN1_84530.7, SSPN1_84530.5, SSPN1_84530.6, SSPN1_84530.2, SSPN1_84530.3, SSPN1_84530.4	T265_08393
OG0001058	SSPN1_63300.1, SSPN1_63310.1, SSPN1_63310.2, SSPN1_63310.3	T265_09765, T265_07871
OG0001059	SSPN1_13750.2, SSPN1_13750.3, SSPN1_13750.4, SSPN1_13750.1	T265_09693
OG0001060	SSPN1_65520.1, SSPN1_65520.2, SSPN1_65520.3	T265_08792, T265_05830, T265_12211
OG0001061	SSPN1_19490.1, SSPN1_19490.2	T265_10435
OG0001062	SSPN1_47260.10, SSPN1_47260.8, SSPN1_47260.7, SSPN1_47260.9, SSPN1_47260.3, SSPN1_47260.6, SSPN1_47260.2, SSPN1_47260.5, SSPN1_47260.1, SSPN1_47260.4	T265_10952
OG0001068	SSPN1_73020.1	T265_05783
OG0001070	SSPN1_61020.1, SSPN1_61020.2, SSPN1_61020.3	T265_01150
OG0001070	SSPN1_73450.1	T265_03875
OG0001071	SSPN1_59460.1, SSPN1_59460.2	T265_01413, T265_01414
OG0001072	SSPN1_40950.1, SSPN1_40950.2	T265_11095
OG0001073	SSPN1_13920.1	T265_06687
OG0001074	SSPN1_26440.2, SSPN1_26440.3, SSPN1_26440.4, SSPN1_26440.1	T265_07051
OG0001075	SSPN1_62290.1	T265_00485
OG0001076	SSPN1_44890.1, SSPN1_44890.3, SSPN1_44890.2, SSPN1_44890.4	T265_04766
OG0001077	SSPN1_48470.1	T265_03589
OG0001078	SSPN1_62940.1	T265_01377
OG0001079	SSPN1_72520.1, SSPN1_72510.1	T265_01997
OG0001080	SSPN1_70950.4, SSPN1_70950.1, SSPN1_70950.3, SSPN1_70950.2, SSPN1_70950.5	T265_03280, T265_06062
OG0001081	SSPN1_36990.1	T265_02594
OG0001082	SSPN1_47080.1, SSPN1_47080.2, SSPN1_47080.3	T265_14341
OG0001083	SSPN1_90830.2, SSPN1_90830.3, SSPN1_90830.1, SSPN1_90830.4	T265_05304
OG0001084	SSPN1_10240.6, SSPN1_10240.7, SSPN1_10240.1, SSPN1_10240.4, SSPN1_10240.8, SSPN1_10240.9, SSPN1_10240.5, SSPN1_10240.2, SSPN1_10240.3	T265_03430
OG0001085	SSPN1_91810.1, SSPN1_91810.2	T265_05309
OG0001086	SSPN1_68970.1	T265_00332
OG0001087	SSPN1_49580.1	T265_02349, T265_02348, T265_04933
OG0001087	SSPN1_34600.1	T265_13295
OG0001088	SSPN1_23640.1, SSPN1_23640.2, SSPN1_23640.3	T265_14908
OG0001089	SSPN1_59480.1	T265_04203
OG0001090	SSPN1_92530.1	T265_05314
OG0001091	SSPN1_46970.1	T265_08694
OG0001092	SSPN1_67080.1, SSPN1_67080.2, SSPN1_67080.3, SSPN1_67080.4, SSPN1_67080.5	T265_05477
OG0001094	SSPN1_34310.1, SSPN1_34310.2, SSPN1_34310.3	T265_01493
OG0001095	SSPN1_49300.1	T265_12507, T265_12509
OG0001096	SSPN1_12310.1, SSPN1_12310.2	T265_02087
OG0001097	SSPN1_66810.2, SSPN1_66810.3, SSPN1_66810.1, SSPN1_66810.4	T265_12596, T265_12597
OG0001098	SSPN1_38930.1, SSPN1_38930.5, SSPN1_38930.6, SSPN1_38930.3, SSPN1_38930.2, SSPN1_38930.4	T265_03530
OG0001099	SSPN1_88880.1, SSPN1_88880.2	T265_09134
OG0001100	SSPN1_60390.6, SSPN1_60390.2, SSPN1_60390.1, SSPN1_60390.3, SSPN1_60390.4, SSPN1_60390.5	T265_12718
OG0001101	SSPN1_44370.1	T265_01277
OG0001102	SSPN1_61720.1	T265_07011
OG0001103	SSPN1_90710.1	T265_11524, T265_11526
OG0001105	SSPN1_38860.1	T265_00108
OG0001106	SSPN1_66010.2, SSPN1_66010.1, SSPN1_66010.3	T265_03131
OG0001107	SSPN1_49710.1	T265_01259
OG0001108	SSPN1_27500.5, SSPN1_27500.1, SSPN1_27500.2, SSPN1_27500.3, SSPN1_27500.7, SSPN1_27500.4, SSPN1_27500.6	T265_04027
OG0001109	SSPN1_36930.1	T265_15651
OG0001110	SSPN1_3840.1	T265_03630
OG0001111	SSPN1_47400.2, SSPN1_47400.3, SSPN1_47400.5, SSPN1_47400.6, SSPN1_47400.4, SSPN1_47400.1	T265_15867
OG0001112	SSPN1_91980.1, SSPN1_91970.2, SSPN1_91960.1, SSPN1_91970.1	T265_07938
OG0001113	SSPN1_7720.1	T265_01569
OG0001114	SSPN1_6590.3, SSPN1_6590.4, SSPN1_6590.1, SSPN1_6590.2	T265_10355
OG0001115	SSPN1_90800.1, SSPN1_90800.2	T265_14281
OG0001116	SSPN1_78840.1, SSPN1_78840.2	T265_04971
OG0001117	SSPN1_15410.1	T265_09895, T265_16078
OG0001118	SSPN1_68630.1, SSPN1_68630.2, SSPN1_68630.3, SSPN1_68620.1	T265_15682
OG0001119	SSPN1_59500.1	T265_00531
OG0001120	SSPN1_30500.1	T265_14589, T265_14590
OG0001121	SSPN1_54770.4, SSPN1_54770.2, SSPN1_54770.1, SSPN1_54770.3	T265_02829
OG0001122	SSPN1_76450.1, SSPN1_76450.2, SSPN1_76450.3	T265_01758
OG0001123	SSPN1_87200.1, SSPN1_87200.2, SSPN1_87200.3	T265_01870
OG0001124	SSPN1_33080.1	T265_12781
OG0001125	SSPN1_18290.1, SSPN1_18260.2, SSPN1_18260.1, SSPN1_18260.3	T265_11059, T265_11060, T265_05778
OG0001129	SSPN1_33420.1, SSPN1_33410.1, SSPN1_33410.4, SSPN1_33410.6, SSPN1_33410.7, SSPN1_33410.8, SSPN1_33410.2, SSPN1_33410.3, SSPN1_33410.5	T265_03641
OG0001130	SSPN1_16590.1	T265_02467
OG0001131	SSPN1_71120.1, SSPN1_71110.1	T265_08223
OG0001132	SSPN1_80070.1, SSPN1_80070.2	T265_02407
OG0001133	SSPN1_92540.1	T265_03046
