Orthogroup	schistosoma_spindale	schistosoma_bovis
OG0000252	SSPN1_31830.3, SSPN1_31830.4, SSPN1_31830.2, SSPN1_31830.1, SSPN1_31830.5, SSPN1_31830.6, SSPN1_26360.1	SBOV2_28610.1, SBOV2_28610.2, SBOV2_28610.5, SBOV2_28610.3, SBOV2_28610.4
OG0000253	SSPN1_10720.1	SBOV2_17410.5, SBOV2_96880.3, SBOV2_96880.8, SBOV2_17410.1, SBOV2_96880.4, SBOV2_17410.2, SBOV2_17410.6, SBOV2_96880.5, SBOV2_17410.4, SBOV2_17410.3, SBOV2_96880.2, SBOV2_96880.7, SBOV2_96880.1, SBOV2_96880.11, SBOV2_96880.6, SBOV2_17410.10, SBOV2_17410.7, SBOV2_17410.8, SBOV2_17410.9, SBOV2_96880.10, SBOV2_96880.9
OG0000254	SSPN1_9080.5, SSPN1_9080.4, SSPN1_9080.1, SSPN1_9080.2, SSPN1_9080.3, SSPN1_9080.6, SSPN1_9080.7	SBOV2_9020.5, SBOV2_9020.8, SBOV2_9020.3, SBOV2_9020.2, SBOV2_9020.1, SBOV2_9020.4, SBOV2_9020.6, SBOV2_9020.7
OG0000255	SSPN1_27580.1, SSPN1_27580.2	SBOV2_38920.1
OG0000256	SSPN1_43770.1, SSPN1_43770.2	SBOV2_44460.1
OG0000257	SSPN1_25070.1, SSPN1_25070.10, SSPN1_25070.2, SSPN1_25070.3, SSPN1_25070.4, SSPN1_25070.5, SSPN1_25070.6, SSPN1_25070.7, SSPN1_25070.11, SSPN1_25070.8, SSPN1_25070.9	SBOV2_41450.4, SBOV2_41450.12, SBOV2_41450.13, SBOV2_41450.1, SBOV2_41450.10, SBOV2_41450.2, SBOV2_41450.3, SBOV2_41450.5, SBOV2_41450.6, SBOV2_41450.7, SBOV2_41450.8, SBOV2_41450.9, SBOV2_41450.11
OG0000258	SSPN1_17060.1	SBOV2_12240.2, SBOV2_12240.4, SBOV2_12240.3, SBOV2_12240.1, SBOV2_12240.6, SBOV2_12240.7, SBOV2_12240.5
OG0000259	SSPN1_25030.5, SSPN1_25030.1, SSPN1_25030.4, SSPN1_25030.9, SSPN1_25030.3, SSPN1_25030.6, SSPN1_25030.7, SSPN1_25030.8, SSPN1_25030.10, SSPN1_25030.2	SBOV2_25560.1
OG0000260	SSPN1_21030.3, SSPN1_21030.2, SSPN1_21030.1, SSPN1_21030.4	SBOV2_21310.1
OG0000261	SSPN1_67600.1, SSPN1_67600.3, SSPN1_67600.6, SSPN1_67600.2, SSPN1_67600.5, SSPN1_67600.7, SSPN1_67600.8, SSPN1_67600.9, SSPN1_67600.10, SSPN1_67600.11, SSPN1_67600.4	SBOV2_69720.3, SBOV2_69720.5, SBOV2_69720.6, SBOV2_69720.4, SBOV2_69720.1, SBOV2_69720.2, SBOV2_69720.7, SBOV2_96620.1
OG0000262	SSPN1_29850.1	SBOV2_36660.5, SBOV2_36660.2, SBOV2_36660.7, SBOV2_36660.6
OG0000263	SSPN1_60130.1	SBOV2_63940.4, SBOV2_63940.2, SBOV2_63940.5, SBOV2_63940.3, SBOV2_63940.1
OG0000264	SSPN1_81800.1, SSPN1_81750.1	SBOV2_84090.1
OG0000264	SSPN1_81760.1, SSPN1_81760.2	SBOV2_84100.1
OG0000264	SSPN1_4770.1	SBOV2_4920.3, SBOV2_4920.2, SBOV2_4920.1
OG0000265	SSPN1_38880.1, SSPN1_9310.1, SSPN1_40180.1, SSPN1_2210.1, SSPN1_8380.1, SSPN1_89650.1, SSPN1_57130.1	SBOV2_11350.1, SBOV2_23920.1, SBOV2_23780.1, SBOV2_19730.1, SBOV2_60640.1, SBOV2_47920.1, SBOV2_42390.1, SBOV2_37490.1, SBOV2_23790.1, SBOV2_84630.1
OG0000266	SSPN1_79030.1, SSPN1_79030.2, SSPN1_79030.4, SSPN1_79030.5, SSPN1_79030.3	SBOV2_81230.4, SBOV2_81230.3, SBOV2_81230.6
OG0000267	SSPN1_78120.2, SSPN1_78120.4, SSPN1_78120.1, SSPN1_78120.3, SSPN1_78120.6, SSPN1_78120.5	SBOV2_80490.1, SBOV2_80490.4, SBOV2_80490.5, SBOV2_80490.2, SBOV2_80490.3
OG0000268	SSPN1_69030.1	SBOV2_71160.1
OG0000268	SSPN1_7920.1	SBOV2_7440.1, SBOV2_7440.2
OG0000269	SSPN1_3850.1	SBOV2_3960.1, SBOV2_3960.13, SBOV2_3960.2, SBOV2_3960.4, SBOV2_3960.5, SBOV2_3960.6, SBOV2_3960.7, SBOV2_3960.8, SBOV2_3960.9, SBOV2_3960.12, SBOV2_3960.14, SBOV2_3960.10, SBOV2_3960.3, SBOV2_3960.11, SBOV2_95900.3, SBOV2_95900.1, SBOV2_95900.4, SBOV2_95900.2, SBOV2_95900.5, SBOV2_95900.6
OG0000270	SSPN1_25770.5, SSPN1_25770.2, SSPN1_25770.4, SSPN1_25770.3, SSPN1_25770.1	SBOV2_40700.2, SBOV2_40700.4, SBOV2_40700.3, SBOV2_40700.6, SBOV2_40700.7, SBOV2_40700.9, SBOV2_40700.5, SBOV2_40700.1, SBOV2_40700.8
OG0000271	SSPN1_49260.1	SBOV2_54570.1
OG0000272	SSPN1_15760.10, SSPN1_15760.6, SSPN1_15760.7	SBOV2_14530.3
OG0000272	SSPN1_15760.12	SBOV2_14530.1
OG0000272	SSPN1_15760.5	SBOV2_14530.1
OG0000272	SSPN1_15760.12	SBOV2_14530.2
OG0000272	SSPN1_15760.5	SBOV2_14530.2
OG0000273	SSPN1_7230.1, SSPN1_7230.2, SSPN1_7230.3, SSPN1_7230.4, SSPN1_7230.6, SSPN1_7230.5, SSPN1_7230.7	SBOV2_8180.1, SBOV2_8180.6, SBOV2_8180.15, SBOV2_8180.16, SBOV2_8180.2, SBOV2_8180.20, SBOV2_8180.12, SBOV2_8180.10, SBOV2_8180.14, SBOV2_8180.13, SBOV2_8180.7, SBOV2_8180.3, SBOV2_8180.11, SBOV2_8180.18, SBOV2_8180.19, SBOV2_8180.4, SBOV2_8180.5, SBOV2_8180.8, SBOV2_8180.9, SBOV2_8180.17
OG0000274	SSPN1_76970.1, SSPN1_76970.4, SSPN1_76970.5, SSPN1_76970.2, SSPN1_76970.3	SBOV2_78990.6, SBOV2_78990.7, SBOV2_78990.2, SBOV2_78990.4, SBOV2_78990.3, SBOV2_78990.8, SBOV2_78990.1, SBOV2_78990.5, SBOV2_78990.9
OG0000275	SSPN1_33490.1, SSPN1_33490.2	SBOV2_30200.11, SBOV2_30200.12, SBOV2_30200.9, SBOV2_30200.4, SBOV2_30200.1, SBOV2_30200.10, SBOV2_30200.7, SBOV2_30200.3, SBOV2_30200.2, SBOV2_30200.5, SBOV2_30200.6, SBOV2_30200.8
OG0000276	SSPN1_70290.2, SSPN1_70290.1, SSPN1_70290.3	SBOV2_72350.3, SBOV2_72350.2, SBOV2_72350.1, SBOV2_72350.4
OG0000277	SSPN1_88980.1	SBOV2_91430.10, SBOV2_91430.11, SBOV2_91430.6, SBOV2_91430.1, SBOV2_91430.2, SBOV2_91430.5, SBOV2_91430.4, SBOV2_91430.7, SBOV2_91430.8, SBOV2_91430.12, SBOV2_91430.9, SBOV2_91430.3
OG0000278	SSPN1_83560.1, SSPN1_70650.1, SSPN1_77550.1	SBOV2_82940.1
OG0000281	SSPN1_80860.1, SSPN1_80860.2	SBOV2_83140.1, SBOV2_83140.2
OG0000281	SSPN1_14780.1, SSPN1_14780.2, SSPN1_14780.3, SSPN1_14780.4, SSPN1_14780.5	SBOV2_15520.1
OG0000281	SSPN1_4370.1, SSPN1_4370.2	SBOV2_4510.1
OG0000282	SSPN1_52970.3, SSPN1_52970.8, SSPN1_52970.2, SSPN1_52970.4, SSPN1_52970.5, SSPN1_52970.7, SSPN1_52970.1, SSPN1_52970.6	SBOV2_50850.1
OG0000283	SSPN1_62930.7, SSPN1_62930.2, SSPN1_62930.4, SSPN1_62930.5, SSPN1_62930.3, SSPN1_62930.1, SSPN1_62930.6	SBOV2_60870.1
OG0000284	SSPN1_40960.7, SSPN1_40960.8, SSPN1_40960.9, SSPN1_40960.6, SSPN1_40960.1, SSPN1_40960.10, SSPN1_40960.11, SSPN1_40960.12, SSPN1_40960.2, SSPN1_40960.3, SSPN1_40960.4, SSPN1_40960.5	SBOV2_25640.12, SBOV2_25640.11, SBOV2_25640.1, SBOV2_25640.2, SBOV2_25640.3, SBOV2_25640.4, SBOV2_25640.5, SBOV2_25640.7, SBOV2_25640.8, SBOV2_25640.9, SBOV2_25640.10, SBOV2_25640.6
OG0000285	SSPN1_34710.4, SSPN1_34710.1, SSPN1_34710.5, SSPN1_34710.6, SSPN1_34710.2, SSPN1_34710.3, SSPN1_34710.7	SBOV2_31440.1, SBOV2_31440.2, SBOV2_31440.3, SBOV2_31440.4, SBOV2_31440.5
OG0000286	SSPN1_41380.1	SBOV2_41850.1, SBOV2_41850.2, SBOV2_41850.3, SBOV2_41860.1
OG0000286	SSPN1_41350.1	SBOV2_41820.1, SBOV2_41820.2
OG0000287	SSPN1_70250.9, SSPN1_70250.7, SSPN1_70250.8	SBOV2_72310.4, SBOV2_72310.5, SBOV2_72310.1, SBOV2_72310.2, SBOV2_72310.3
OG0000288	SSPN1_83680.1	SBOV2_86010.11, SBOV2_86010.9, SBOV2_86010.5, SBOV2_86010.6, SBOV2_86010.7, SBOV2_86010.10, SBOV2_86010.1, SBOV2_86010.2, SBOV2_86010.3, SBOV2_86010.4, SBOV2_86010.8
OG0000289	SSPN1_13780.1, SSPN1_13780.2, SSPN1_13780.3, SSPN1_13780.7, SSPN1_13780.8, SSPN1_13780.5, SSPN1_13780.4, SSPN1_13780.6, SSPN1_13780.9	SBOV2_16470.1
OG0000290	SSPN1_26300.1	SBOV2_40180.1
OG0000290	SSPN1_20880.2, SSPN1_20880.1	SBOV2_21760.4, SBOV2_21760.1, SBOV2_21760.3, SBOV2_21760.2
OG0000291	SSPN1_10820.1, SSPN1_10820.5, SSPN1_10820.2, SSPN1_10820.3, SSPN1_10820.4	SBOV2_17500.6, SBOV2_17500.1, SBOV2_17500.3, SBOV2_17500.5, SBOV2_17500.7, SBOV2_17500.2, SBOV2_17500.4, SBOV2_17500.8
OG0000292	SSPN1_36570.2, SSPN1_36570.5, SSPN1_36570.6, SSPN1_36570.4, SSPN1_36570.3, SSPN1_36570.7, SSPN1_36570.1	SBOV2_33310.1
OG0000293	SSPN1_26870.1	SBOV2_39630.1
OG0000293	SSPN1_63570.1	SBOV2_60200.1
OG0000294	SSPN1_3800.1	SBOV2_3910.7, SBOV2_3910.5, SBOV2_3910.6, SBOV2_3910.1, SBOV2_3910.3, SBOV2_3910.8, SBOV2_3910.9, SBOV2_3910.2, SBOV2_3910.4
OG0000295	SSPN1_83410.1, SSPN1_83430.1, SSPN1_83380.1	SBOV2_85700.1
OG0000295	SSPN1_83390.1, SSPN1_83400.1, SSPN1_83420.1	SBOV2_85690.1, SBOV2_85680.1, SBOV2_85660.1, SBOV2_85670.1
OG0000295	SSPN1_83440.1	SBOV2_85710.1
OG0000296	SSPN1_9160.1	SBOV2_96850.3, SBOV2_96850.1, SBOV2_96860.1, SBOV2_96850.2
OG0000296	SSPN1_9150.1	SBOV2_96840.1
OG0000297	SSPN1_76500.3, SSPN1_76500.4, SSPN1_76500.1, SSPN1_76500.2	SBOV2_78530.1
OG0000298	SSPN1_41930.1	SBOV2_42540.1, SBOV2_42540.2
OG0000298	SSPN1_43090.1	SBOV2_43790.1, SBOV2_43800.1
OG0000299	SSPN1_64150.1, SSPN1_64150.2, SSPN1_64150.3, SSPN1_64150.6, SSPN1_64150.5, SSPN1_64150.7, SSPN1_64150.4, SSPN1_64150.8	SBOV2_59670.1
OG0000300	SSPN1_19240.12, SSPN1_19240.7, SSPN1_19240.8, SSPN1_19240.13, SSPN1_19240.14, SSPN1_19240.6, SSPN1_19240.2, SSPN1_19240.3, SSPN1_19240.4, SSPN1_19240.9, SSPN1_19240.1, SSPN1_19240.5, SSPN1_19240.10, SSPN1_19240.11, SSPN1_19240.15	SBOV2_11080.1, SBOV2_11080.2, SBOV2_11080.3, SBOV2_11080.4, SBOV2_11080.5
OG0000302	SSPN1_57010.1	SBOV2_58560.7, SBOV2_58560.3, SBOV2_58560.2, SBOV2_58560.5, SBOV2_58560.6, SBOV2_58560.8, SBOV2_58560.9, SBOV2_58560.1, SBOV2_58560.4
OG0000303	SSPN1_15860.1, SSPN1_15860.2	SBOV2_14450.7, SBOV2_14450.9, SBOV2_14450.6, SBOV2_14450.1, SBOV2_14450.8, SBOV2_14450.4, SBOV2_14450.5, SBOV2_14450.2, SBOV2_14450.3
OG0000304	SSPN1_17260.1, SSPN1_17260.2, SSPN1_17260.3, SSPN1_17260.4, SSPN1_17260.5	SBOV2_12430.1
OG0000305	SSPN1_49980.3, SSPN1_49980.6, SSPN1_49980.1, SSPN1_49980.5, SSPN1_49980.4, SSPN1_49980.2	SBOV2_53840.2, SBOV2_53840.1
OG0000306	SSPN1_7660.1	SBOV2_7710.1
OG0000307	SSPN1_87770.1	SBOV2_90170.1
OG0000308	SSPN1_29910.1	SBOV2_36580.1
OG0000308	SSPN1_920.1, SSPN1_920.2, SSPN1_910.1, SSPN1_900.1	SBOV2_630.1, SBOV2_620.1, SBOV2_620.2, SBOV2_610.1, SBOV2_610.2, SBOV2_610.3, SBOV2_610.4, SBOV2_610.5, SBOV2_610.6
OG0000310	SSPN1_32610.1	SBOV2_29320.1, SBOV2_29340.1, SBOV2_29330.3, SBOV2_29330.2, SBOV2_29330.4, SBOV2_29330.1, SBOV2_29330.5
OG0000311	SSPN1_11650.1, SSPN1_11650.2, SSPN1_11650.5, SSPN1_11650.3, SSPN1_11650.6, SSPN1_11650.4, SSPN1_11650.7	SBOV2_18260.2, SBOV2_18260.4, SBOV2_18260.1, SBOV2_18260.3, SBOV2_18260.5
OG0000312	SSPN1_38200.1	SBOV2_34940.10, SBOV2_34940.2, SBOV2_34940.8, SBOV2_34940.3, SBOV2_34940.4, SBOV2_34940.6, SBOV2_34940.7, SBOV2_34940.1, SBOV2_34940.11, SBOV2_34940.5, SBOV2_34940.9
OG0000313	SSPN1_15800.1	SBOV2_14500.1, SBOV2_14500.3, SBOV2_14500.4, SBOV2_14500.5, SBOV2_14500.7, SBOV2_14500.8, SBOV2_14500.9, SBOV2_14500.2, SBOV2_14500.6
OG0000314	SSPN1_33330.1	SBOV2_30030.1, SBOV2_30030.2
OG0000315	SSPN1_37610.1	SBOV2_34340.1
OG0000315	SSPN1_59640.2	SBOV2_64490.1
OG0000315	SSPN1_59640.1	SBOV2_64490.2
OG0000316	SSPN1_11030.1	SBOV2_17660.1
OG0000317	SSPN1_1300.1	SBOV2_1370.2, SBOV2_1370.3, SBOV2_1370.5, SBOV2_1370.1, SBOV2_1370.4, SBOV2_1370.6, SBOV2_1370.7, SBOV2_1370.8
OG0000318	SSPN1_47510.2, SSPN1_47510.1, SSPN1_47510.3, SSPN1_47510.4, SSPN1_47510.5	SBOV2_48490.1
OG0000319	SSPN1_36540.3, SSPN1_36540.4, SSPN1_36540.1, SSPN1_36540.2, SSPN1_36540.5, SSPN1_36540.7, SSPN1_36540.8, SSPN1_36540.6	SBOV2_33280.7, SBOV2_33280.1, SBOV2_33280.3, SBOV2_33280.2, SBOV2_33280.4, SBOV2_33280.5, SBOV2_33280.6, SBOV2_33280.8
OG0000320	SSPN1_13040.1	SBOV2_19820.1
OG0000320	SSPN1_28530.1	SBOV2_38020.1
OG0000320	SSPN1_53540.2, SSPN1_53540.1	SBOV2_50160.1, SBOV2_50150.1
OG0000321	SSPN1_33610.3, SSPN1_33610.2, SSPN1_33610.5, SSPN1_33610.1, SSPN1_33610.4, SSPN1_33610.8, SSPN1_33610.6, SSPN1_33610.7	SBOV2_30310.2, SBOV2_30310.3, SBOV2_30310.1, SBOV2_30310.4
OG0000322	SSPN1_26740.1, SSPN1_26740.2, SSPN1_26740.3	SBOV2_39740.2, SBOV2_39740.1, SBOV2_39740.4, SBOV2_39740.5, SBOV2_39740.7, SBOV2_39740.8, SBOV2_39740.3, SBOV2_39740.6
OG0000323	SSPN1_1590.1	SBOV2_1680.1, SBOV2_1680.2, SBOV2_1680.3
OG0000324	SSPN1_47850.1, SSPN1_47850.2	SBOV2_48810.10, SBOV2_48810.7, SBOV2_48810.11, SBOV2_48810.9, SBOV2_48810.2, SBOV2_48810.8, SBOV2_48810.3, SBOV2_48810.1, SBOV2_48810.4, SBOV2_48810.5, SBOV2_48810.6, SBOV2_48810.12, SBOV2_48810.13, SBOV2_48810.14, SBOV2_48810.15
OG0000325	SSPN1_77580.1	SBOV2_79610.7, SBOV2_79610.4, SBOV2_79610.6, SBOV2_79610.3, SBOV2_79610.5, SBOV2_79610.2, SBOV2_79610.1
OG0000326	SSPN1_64750.3, SSPN1_64750.6, SSPN1_64750.7, SSPN1_64750.1, SSPN1_64750.2, SSPN1_64750.5, SSPN1_64750.4, SSPN1_64750.8	SBOV2_59020.1, SBOV2_59020.4, SBOV2_59020.3, SBOV2_59020.7, SBOV2_59020.2, SBOV2_59020.5, SBOV2_59020.6
OG0000327	SSPN1_67760.1	SBOV2_69860.2, SBOV2_69860.3, SBOV2_69870.1, SBOV2_69870.2, SBOV2_69870.5, SBOV2_69870.6, SBOV2_69870.3, SBOV2_69870.4, SBOV2_69860.1
OG0000328	SSPN1_27400.1, SSPN1_27400.2, SSPN1_27400.3	SBOV2_39100.1
OG0000329	SSPN1_16160.10, SSPN1_16160.3, SSPN1_16160.2	SBOV2_14150.7, SBOV2_14150.6, SBOV2_14150.4
OG0000332	SSPN1_58610.7, SSPN1_58610.1, SSPN1_58610.2, SSPN1_58610.3, SSPN1_58610.5, SSPN1_58610.6, SSPN1_58610.4	SBOV2_65730.1
OG0000333	SSPN1_6070.1	SBOV2_6170.4, SBOV2_6170.3, SBOV2_6170.6, SBOV2_6170.1, SBOV2_6170.2, SBOV2_6170.5
OG0000334	SSPN1_71710.1, SSPN1_71710.2	SBOV2_73650.1
OG0000335	SSPN1_2360.2, SSPN1_2360.5, SSPN1_2360.3, SSPN1_2360.4, SSPN1_2360.1	SBOV2_2440.4, SBOV2_2440.6, SBOV2_2440.3, SBOV2_2440.2, SBOV2_2440.1, SBOV2_2440.5, SBOV2_2440.7, SBOV2_2440.8
OG0000336	SSPN1_4320.1	SBOV2_4460.1
OG0000336	SSPN1_10700.1, SSPN1_10700.2, SSPN1_10700.3	SBOV2_17400.1
OG0000337	SSPN1_51810.1	SBOV2_52000.1
OG0000337	SSPN1_35070.4, SSPN1_35070.3, SSPN1_35070.1, SSPN1_35070.2, SSPN1_35070.5	SBOV2_31830.4, SBOV2_31830.3, SBOV2_31830.1
OG0000339	SSPN1_29440.3, SSPN1_29440.4, SSPN1_29440.5, SSPN1_29440.7, SSPN1_29440.1, SSPN1_29440.8, SSPN1_29440.2, SSPN1_29440.6	SBOV2_37090.1, SBOV2_37090.2, SBOV2_37100.1
OG0000340	SSPN1_92400.2	SBOV2_94970.5, SBOV2_94970.6
OG0000340	SSPN1_92400.5	SBOV2_94970.4
OG0000340	SSPN1_92400.1	SBOV2_94970.2
OG0000342	SSPN1_11690.1	SBOV2_18300.1
OG0000342	SSPN1_11690.4	SBOV2_18300.1
OG0000342	SSPN1_4590.1	SBOV2_4730.1
OG0000343	SSPN1_38250.1	SBOV2_35000.6, SBOV2_35000.7, SBOV2_35000.3, SBOV2_35000.4, SBOV2_35000.5
OG0000344	SSPN1_5920.1, SSPN1_5920.2, SSPN1_5920.3	SBOV2_5990.1, SBOV2_5990.2, SBOV2_5990.3, SBOV2_5990.4
OG0000345	SSPN1_54450.5, SSPN1_54450.2, SSPN1_54450.3, SSPN1_54450.1, SSPN1_54450.4	SBOV2_55690.2, SBOV2_55690.1
OG0000346	SSPN1_27190.1	SBOV2_39290.1
OG0000346	SSPN1_89040.1, SSPN1_89040.2, SSPN1_89040.3	SBOV2_91740.1, SBOV2_91740.2, SBOV2_91740.3
OG0000347	SSPN1_29400.1	SBOV2_37150.3, SBOV2_37150.1, SBOV2_37150.4, SBOV2_37150.5, SBOV2_37150.6, SBOV2_37150.2
OG0000348	SSPN1_5570.1, SSPN1_5570.2	SBOV2_5660.4, SBOV2_5660.3, SBOV2_5660.5, SBOV2_5660.8, SBOV2_5660.1, SBOV2_5660.6
OG0000349	SSPN1_1140.1	SBOV2_890.13, SBOV2_890.15, SBOV2_890.10, SBOV2_890.14, SBOV2_890.11, SBOV2_890.12, SBOV2_890.1, SBOV2_890.17, SBOV2_890.8, SBOV2_890.2, SBOV2_890.7, SBOV2_890.6, SBOV2_890.5, SBOV2_890.9, SBOV2_890.16, SBOV2_890.3, SBOV2_890.4
OG0000350	SSPN1_32320.1	SBOV2_29060.12, SBOV2_29060.13, SBOV2_29060.16, SBOV2_29060.17, SBOV2_29060.1, SBOV2_29060.6, SBOV2_29060.9, SBOV2_29060.2, SBOV2_29060.3, SBOV2_29060.8, SBOV2_29060.7, SBOV2_29060.5, SBOV2_29060.11, SBOV2_29060.4, SBOV2_29060.18, SBOV2_29060.14, SBOV2_29060.10, SBOV2_29060.15
OG0000352	SSPN1_35840.1	SBOV2_32600.6, SBOV2_32600.5, SBOV2_32600.7, SBOV2_32600.8, SBOV2_32600.1, SBOV2_32600.2, SBOV2_32600.3, SBOV2_32600.4, SBOV2_32600.9
OG0000353	SSPN1_68080.3, SSPN1_68080.4, SSPN1_68080.5, SSPN1_68080.1, SSPN1_68080.2	SBOV2_70190.1
OG0000354	SSPN1_2870.4, SSPN1_2870.7, SSPN1_2870.6, SSPN1_2870.9, SSPN1_2870.8, SSPN1_2870.3, SSPN1_2870.5, SSPN1_2870.1, SSPN1_2870.2, SSPN1_2870.10, SSPN1_2870.11, SSPN1_2870.12, SSPN1_2870.13	SBOV2_3000.1
OG0000355	SSPN1_7770.1	SBOV2_7560.4, SBOV2_7600.1, SBOV2_7560.2, SBOV2_7560.3, SBOV2_7560.1, SBOV2_7560.6, SBOV2_7560.7, SBOV2_7560.9, SBOV2_7560.5, SBOV2_7560.8, SBOV2_54750.1
OG0000356	SSPN1_6700.2, SSPN1_6700.3, SSPN1_6700.1, SSPN1_6700.5, SSPN1_6700.4, SSPN1_6700.6, SSPN1_6700.7, SSPN1_6700.8	SBOV2_6680.2, SBOV2_6680.1, SBOV2_6680.4, SBOV2_6680.7, SBOV2_6680.8, SBOV2_6680.10, SBOV2_6680.3, SBOV2_6680.6, SBOV2_6680.9
OG0000357	SSPN1_41420.3	SBOV2_41910.8, SBOV2_41910.7
OG0000358	SSPN1_59820.3, SSPN1_59820.4, SSPN1_59820.5, SSPN1_59820.1, SSPN1_59820.2	SBOV2_64300.1
OG0000358	SSPN1_59830.5, SSPN1_59830.4, SSPN1_59830.1, SSPN1_59830.2, SSPN1_59830.3	SBOV2_64290.1
OG0000359	SSPN1_14790.4, SSPN1_14790.2, SSPN1_14790.3, SSPN1_14790.1, SSPN1_14790.5	SBOV2_15500.9, SBOV2_15500.4, SBOV2_15500.3, SBOV2_15500.5, SBOV2_15500.1, SBOV2_15500.2, SBOV2_15500.7, SBOV2_15500.8, SBOV2_15500.6
OG0000360	SSPN1_12560.3, SSPN1_12560.1, SSPN1_12560.2	SBOV2_19210.1, SBOV2_19210.6, SBOV2_19210.3, SBOV2_19210.5, SBOV2_19210.4, SBOV2_19210.2
OG0000361	SSPN1_47430.1	SBOV2_48400.2, SBOV2_48400.3, SBOV2_48400.4, SBOV2_48400.5, SBOV2_48400.1, SBOV2_48400.6, SBOV2_48400.7, SBOV2_48400.8
OG0000362	SSPN1_61870.2, SSPN1_61870.1, SSPN1_61870.3	SBOV2_61850.2, SBOV2_61850.1, SBOV2_61850.5, SBOV2_61850.3, SBOV2_61850.4, SBOV2_61850.6
OG0000363	SSPN1_41680.7, SSPN1_41680.1, SSPN1_41680.2, SSPN1_41680.5, SSPN1_41680.3, SSPN1_41680.6, SSPN1_41680.4	SBOV2_42250.3, SBOV2_42250.7, SBOV2_42250.2, SBOV2_42250.4, SBOV2_42250.6, SBOV2_42250.1, SBOV2_42250.5
OG0000364	SSPN1_25060.1, SSPN1_25060.2, SSPN1_25060.3	SBOV2_25590.3, SBOV2_25590.5, SBOV2_25590.1, SBOV2_25590.2, SBOV2_25590.4
OG0000365	SSPN1_56560.1	SBOV2_57990.1
OG0000365	SSPN1_56570.2	SBOV2_58000.5, SBOV2_58000.7, SBOV2_58000.6
OG0000365	SSPN1_56570.1, SSPN1_56570.3	SBOV2_58000.1, SBOV2_58000.3, SBOV2_58000.4, SBOV2_58000.2
OG0000366	SSPN1_47820.2, SSPN1_47820.1, SSPN1_47820.3	SBOV2_48780.6, SBOV2_48780.7, SBOV2_48780.12, SBOV2_48780.1, SBOV2_48780.10, SBOV2_48780.8, SBOV2_48780.3, SBOV2_48780.4, SBOV2_48780.9, SBOV2_48780.2, SBOV2_48780.11, SBOV2_48780.5, SBOV2_48780.13, SBOV2_48780.14, SBOV2_48780.15
OG0000367	SSPN1_38990.4, SSPN1_38990.2, SSPN1_38990.1, SSPN1_38990.3, SSPN1_38990.5	SBOV2_35770.8, SBOV2_35770.10, SBOV2_35770.7, SBOV2_35770.5, SBOV2_35770.4, SBOV2_35770.1, SBOV2_35770.3, SBOV2_35770.2, SBOV2_35770.6, SBOV2_35770.11, SBOV2_35770.9, SBOV2_35770.12, SBOV2_35770.13
OG0000368	SSPN1_11890.2, SSPN1_11890.3, SSPN1_11890.1	SBOV2_18520.14, SBOV2_18520.2, SBOV2_18520.3, SBOV2_18520.12, SBOV2_18520.8, SBOV2_18520.5, SBOV2_18520.13, SBOV2_18520.11, SBOV2_18520.7, SBOV2_18520.9, SBOV2_18520.1, SBOV2_18520.6, SBOV2_18520.10, SBOV2_18520.4
OG0000369	SSPN1_3590.1, SSPN1_3600.1, SSPN1_3600.2	SBOV2_3720.1, SBOV2_3720.11, SBOV2_3720.3, SBOV2_3720.14, SBOV2_3720.5, SBOV2_3720.7, SBOV2_3720.2, SBOV2_3720.10, SBOV2_3720.12, SBOV2_3720.13, SBOV2_3720.4, SBOV2_3720.8, SBOV2_3720.9, SBOV2_3720.6
OG0000370	SSPN1_31260.1	SBOV2_28060.1
OG0000371	SSPN1_32440.1, SSPN1_32440.2, SSPN1_32440.5, SSPN1_32440.6, SSPN1_32440.7, SSPN1_32440.4, SSPN1_32440.3	SBOV2_29170.2, SBOV2_29170.1, SBOV2_29170.3
OG0000372	SSPN1_20620.3, SSPN1_20620.1, SSPN1_20620.2	SBOV2_9640.1, SBOV2_9640.2
OG0000372	SSPN1_20630.1, SSPN1_20630.2, SSPN1_20630.3, SSPN1_20630.6, SSPN1_20630.4, SSPN1_20630.5	SBOV2_9620.1, SBOV2_9620.2, SBOV2_9620.3
OG0000373	SSPN1_17420.14	SBOV2_12600.8, SBOV2_12600.2, SBOV2_12600.7, SBOV2_12600.1
OG0000374	SSPN1_40260.2, SSPN1_40260.1, SSPN1_40260.4, SSPN1_40260.3, SSPN1_40260.5	SBOV2_26320.4, SBOV2_26320.1, SBOV2_26320.5, SBOV2_26320.6, SBOV2_26320.2, SBOV2_26320.3
OG0000375	SSPN1_4380.1	SBOV2_4520.10, SBOV2_4520.9, SBOV2_4520.2, SBOV2_4520.8, SBOV2_4520.3, SBOV2_4520.6, SBOV2_4520.4, SBOV2_4520.1, SBOV2_4520.5, SBOV2_4520.7
OG0000376	SSPN1_63550.1, SSPN1_63550.7, SSPN1_63550.3, SSPN1_63550.5, SSPN1_63550.6, SSPN1_63550.4, SSPN1_63550.2	SBOV2_60220.3, SBOV2_60220.1, SBOV2_60220.2, SBOV2_60220.4
