Orthogroup	trichobilharzia_regenti	schistosoma_turkestanicum
OG0001610	TREG1_135970.1, TREG1_135970.2	STRK1_93100.2
OG0001610	TREG1_143490.1, TREG1_52820.1	STRK1_28140.1
OG0001611	TREG1_85300.1	STRK1_61480.1
OG0001612	TREG1_12550.5, TREG1_12550.1, TREG1_12550.2, TREG1_12550.3, TREG1_12550.4, TREG1_12550.6	STRK1_910.1
OG0001613	TREG1_104660.1	STRK1_75410.1, STRK1_75410.2
OG0001614	TREG1_40980.1	STRK1_38380.1, STRK1_38380.2
OG0001615	TREG1_40960.1, TREG1_40960.2	STRK1_38390.1
OG0001616	TREG1_111720.1	STRK1_9810.1, STRK1_9810.2, STRK1_10310.3, STRK1_10310.1, STRK1_10310.2
OG0001617	TREG1_71330.1	STRK1_47960.1, STRK1_47960.2
OG0001618	TREG1_58330.1	STRK1_41270.1
OG0001619	TREG1_72810.1	STRK1_45970.1
OG0001620	TREG1_55350.1, TREG1_55350.2	STRK1_35020.1, STRK1_35020.2
OG0001621	TREG1_14330.15, TREG1_14330.17, TREG1_14330.18, TREG1_14330.2, TREG1_14330.3, TREG1_14330.12, TREG1_14330.11, TREG1_14330.19, TREG1_14330.20, TREG1_14330.4, TREG1_14330.6, TREG1_14330.7, TREG1_14330.1, TREG1_14330.10, TREG1_14330.13, TREG1_14330.14, TREG1_14330.8, TREG1_14330.16, TREG1_14330.5, TREG1_14330.9	STRK1_250.1
OG0001622	TREG1_118380.1, TREG1_114510.1, TREG1_114510.2	STRK1_53040.1, STRK1_107340.1, STRK1_53060.1, STRK1_81900.1, STRK1_81930.1, STRK1_81950.1, STRK1_81950.2, STRK1_81950.3
OG0001623	TREG1_8210.7, TREG1_8210.5, TREG1_8210.6, TREG1_8210.4, TREG1_8210.1, TREG1_8210.2, TREG1_8210.3	STRK1_7290.1
OG0001624	TREG1_57770.1, TREG1_57770.3, TREG1_57770.4, TREG1_57770.5, TREG1_57770.2	STRK1_39210.1
OG0001625	TREG1_139310.1, TREG1_139310.2, TREG1_144540.1, TREG1_144540.2	STRK1_96750.1, STRK1_88870.1
OG0001626	TREG1_51760.1	STRK1_31440.1
OG0001627	TREG1_105810.1, TREG1_105810.2, TREG1_105810.3, TREG1_105810.4	STRK1_70580.1, STRK1_70580.2
OG0001628	TREG1_27180.2, TREG1_27180.1, TREG1_27180.3	STRK1_14770.1, STRK1_14770.2
OG0001629	TREG1_10090.1, TREG1_10090.3, TREG1_10090.4, TREG1_10090.5, TREG1_10090.6, TREG1_10090.2	STRK1_1590.1
OG0001630	TREG1_11860.1, TREG1_11860.2	STRK1_8650.1, STRK1_8650.2
OG0001631	TREG1_125450.1, TREG1_125480.1	STRK1_86880.1
OG0001632	TREG1_91640.1	STRK1_65030.1
OG0001633	TREG1_134400.1, TREG1_134400.2, TREG1_134400.6, TREG1_134400.7, TREG1_134400.3, TREG1_134400.4, TREG1_134400.5	STRK1_101650.1, STRK1_97200.1, STRK1_107820.1, STRK1_90810.1
OG0001634	TREG1_125200.1	STRK1_85060.1
OG0001635	TREG1_3090.1	STRK1_6760.3, STRK1_6760.2, STRK1_6760.1
OG0001636	TREG1_107480.1, TREG1_107480.3, TREG1_107480.2	STRK1_74280.1, STRK1_74270.1
OG0001637	TREG1_78870.2, TREG1_78870.1, TREG1_78870.3, TREG1_78870.4	STRK1_55760.1
OG0001638	TREG1_8380.1	STRK1_102600.1, STRK1_102600.2
OG0001639	TREG1_17470.1	STRK1_14490.1
OG0001640	TREG1_24890.1, TREG1_24890.2	STRK1_18840.1, STRK1_108140.1, STRK1_18850.1
OG0001641	TREG1_119450.1, TREG1_119450.2, TREG1_119450.3	STRK1_85320.1
OG0001642	TREG1_61600.6, TREG1_61600.1, TREG1_61600.3, TREG1_61600.4, TREG1_61600.2, TREG1_61600.5	STRK1_43650.1, STRK1_43650.2
OG0001643	TREG1_87320.3, TREG1_87320.1, TREG1_87320.2	STRK1_57690.1, STRK1_95450.1
OG0001644	TREG1_67570.1, TREG1_67570.2, TREG1_67570.3, TREG1_67570.4, TREG1_67570.5	STRK1_50170.1, STRK1_50170.2, STRK1_50170.3
OG0001645	TREG1_132350.1	STRK1_93300.1
OG0001646	TREG1_74150.2, TREG1_74150.1, TREG1_74150.3, TREG1_74150.4	STRK1_53570.1, STRK1_53570.2
OG0001647	TREG1_40440.1, TREG1_40440.2	STRK1_98150.1, STRK1_41820.1
OG0001648	TREG1_97840.1	STRK1_77890.1
OG0001649	TREG1_27190.3, TREG1_27190.1, TREG1_27190.2	STRK1_11310.1, STRK1_11310.2
OG0001650	TREG1_101880.1, TREG1_101880.2, TREG1_101880.3	STRK1_71760.1, STRK1_71760.2, STRK1_71760.3, STRK1_71760.4, STRK1_71760.5
OG0001651	TREG1_210.1, TREG1_220.1	STRK1_1530.1
OG0001652	TREG1_103560.1, TREG1_103560.2, TREG1_103560.3, TREG1_103560.4	STRK1_69400.1, STRK1_69400.2, STRK1_69400.5, STRK1_69400.6, STRK1_69400.7, STRK1_69400.3, STRK1_69400.4
OG0001653	TREG1_9730.4, TREG1_9730.2, TREG1_9730.1, TREG1_9730.3	STRK1_10030.1, STRK1_10030.4, STRK1_10030.2, STRK1_10030.3
OG0001654	TREG1_126190.14, TREG1_126190.15, TREG1_126230.1	STRK1_88320.1
OG0001654	TREG1_126190.5, TREG1_126190.4, TREG1_126220.1, TREG1_126220.4, TREG1_126220.9, TREG1_126220.5, TREG1_126220.7, TREG1_126220.8, TREG1_126220.2, TREG1_126220.3, TREG1_126220.6	STRK1_88250.1, STRK1_88260.1
OG0001655	TREG1_91970.1	STRK1_66140.1
OG0001656	TREG1_121230.1	STRK1_84730.1
OG0001657	TREG1_44570.1, TREG1_44570.2, TREG1_44570.3	STRK1_34770.1
OG0001659	TREG1_40250.1, TREG1_40250.2	STRK1_35880.1
OG0001661	TREG1_64560.1	STRK1_100780.1, STRK1_52790.1
OG0001662	TREG1_3280.1, TREG1_3290.1	STRK1_3110.1, STRK1_3110.2
OG0001663	TREG1_24650.1	STRK1_10960.5, STRK1_10960.4, STRK1_10960.6, STRK1_10960.1, STRK1_10960.2, STRK1_10960.3
OG0001668	TREG1_48590.1, TREG1_48590.2, TREG1_48590.3	STRK1_27040.1
OG0001670	TREG1_51010.1	STRK1_28310.1
OG0001671	TREG1_49110.2, TREG1_49110.3, TREG1_49110.1	STRK1_29740.1, STRK1_29740.2
OG0001672	TREG1_46520.1, TREG1_46520.2, TREG1_46520.3, TREG1_46520.4, TREG1_46520.5	STRK1_36500.1, STRK1_36500.2
OG0001673	TREG1_85050.6, TREG1_85050.7, TREG1_85050.1, TREG1_85050.2, TREG1_85050.3, TREG1_85050.4, TREG1_85050.5	STRK1_60910.1
OG0001675	TREG1_82930.1	STRK1_64620.1
OG0001676	TREG1_6120.1	STRK1_10170.1
OG0001677	TREG1_125940.1	STRK1_85500.1
OG0001678	TREG1_78190.1, TREG1_78160.3, TREG1_78160.4, TREG1_78200.1, TREG1_78160.5	STRK1_55950.1, STRK1_55950.2
OG0001679	TREG1_16660.1	STRK1_18010.1
OG0001680	TREG1_48390.1	STRK1_27080.1, STRK1_27080.2
OG0001681	TREG1_22710.1	STRK1_3720.3, STRK1_3720.1, STRK1_3720.2
OG0001682	TREG1_19820.1, TREG1_19820.2, TREG1_19820.3	STRK1_14060.1
OG0001683	TREG1_139930.1, TREG1_35510.1	STRK1_22770.1, STRK1_22780.1, STRK1_80400.1, STRK1_106070.1, STRK1_22750.1, STRK1_106080.1
OG0001684	TREG1_46130.1, TREG1_46120.1, TREG1_144370.1, TREG1_33000.1	STRK1_36590.1, STRK1_36600.1
OG0001685	TREG1_19860.1	STRK1_4390.1
OG0001685	TREG1_19870.1, TREG1_19900.1	STRK1_4410.1
OG0001686	TREG1_110840.1, TREG1_110840.2, TREG1_110840.3	STRK1_80170.1, STRK1_90850.1
OG0001687	TREG1_74170.1	STRK1_53610.1, STRK1_53510.1, STRK1_53550.1, STRK1_53560.1
OG0001688	TREG1_24150.2, TREG1_24150.3, TREG1_24150.7, TREG1_24150.8, TREG1_24150.5, TREG1_24150.6, TREG1_24150.4, TREG1_24150.9, TREG1_24150.1	STRK1_20700.1
OG0001689	TREG1_28940.1	STRK1_97950.1, STRK1_20290.1, STRK1_89600.1
OG0001689	TREG1_28950.1	STRK1_19880.1
OG0001690	TREG1_53430.1	STRK1_35130.1
OG0001691	TREG1_28000.1, TREG1_28000.2, TREG1_28000.3, TREG1_28000.4	STRK1_8440.1
OG0001692	TREG1_106600.1	STRK1_76090.1, STRK1_76090.2, STRK1_76090.3, STRK1_76090.4, STRK1_76090.5
OG0001693	TREG1_118690.1, TREG1_118690.2, TREG1_118690.3	STRK1_107890.1
OG0001694	TREG1_118720.1, TREG1_118720.2, TREG1_118720.3	STRK1_80330.1, STRK1_80330.2
OG0001695	TREG1_58550.1, TREG1_58550.2	STRK1_31910.1
OG0001696	TREG1_42620.1	STRK1_40910.1
OG0001697	TREG1_136230.4, TREG1_136230.1, TREG1_136230.3, TREG1_136230.2, TREG1_136230.5	STRK1_90200.1
OG0001698	TREG1_98090.1	STRK1_72410.1
OG0001699	TREG1_85860.1, TREG1_85860.2	STRK1_60870.1, STRK1_60870.2
OG0001701	TREG1_110690.1	STRK1_105400.1, STRK1_81410.6, STRK1_81410.7, STRK1_81400.2, STRK1_81410.2, STRK1_81410.3, STRK1_81410.5, STRK1_81410.1, STRK1_81420.1, STRK1_81420.2, STRK1_81410.4
OG0001702	TREG1_31100.1	STRK1_42350.1
OG0001703	TREG1_52610.1	STRK1_36200.1, STRK1_36210.1
OG0001704	TREG1_24770.1	STRK1_2740.1, STRK1_2740.2
OG0001705	TREG1_58630.1, TREG1_58630.2, TREG1_58630.3, TREG1_58630.4, TREG1_58630.5	STRK1_25780.1
OG0001706	TREG1_41810.1	STRK1_31780.1
OG0001707	TREG1_88710.1, TREG1_88710.2, TREG1_88710.3	STRK1_62220.1
OG0001708	TREG1_131360.1, TREG1_131360.2, TREG1_131360.3, TREG1_131360.4	STRK1_102710.1, STRK1_91130.1, STRK1_97450.1
OG0001709	TREG1_46740.1	STRK1_30310.1
OG0001710	TREG1_122180.1	STRK1_83750.1
OG0001711	TREG1_130210.1, TREG1_130220.1	STRK1_91840.1
OG0001712	TREG1_40400.2, TREG1_40400.5, TREG1_40400.9, TREG1_40400.4, TREG1_40400.8, TREG1_40400.3, TREG1_40400.7, TREG1_40400.1, TREG1_40400.6	STRK1_39710.1
OG0001713	TREG1_80100.1	STRK1_55610.1
OG0001714	TREG1_80110.1, TREG1_80120.1, TREG1_80130.1, TREG1_80120.2	STRK1_98130.1, STRK1_55600.1, STRK1_55600.2, STRK1_55600.3, STRK1_101760.1, STRK1_55590.1, STRK1_110810.1, STRK1_98120.1, STRK1_110800.1, STRK1_55620.1, STRK1_98950.1
OG0001715	TREG1_9480.1, TREG1_60020.1, TREG1_59980.9, TREG1_59980.6, TREG1_59980.5, TREG1_59980.7, TREG1_59980.8	STRK1_22240.1
OG0001716	TREG1_96380.1, TREG1_96380.3, TREG1_96380.6, TREG1_96380.2, TREG1_96380.5, TREG1_96380.4	STRK1_68210.1, STRK1_110710.1, STRK1_68220.1
OG0001717	TREG1_50130.1, TREG1_50130.2	STRK1_37040.1
OG0001718	TREG1_21050.4, TREG1_21050.5, TREG1_21050.1, TREG1_21050.3, TREG1_21050.2	STRK1_4610.1
OG0001719	TREG1_39560.1, TREG1_39560.2	STRK1_40370.1, STRK1_40370.2
OG0001720	TREG1_13900.1, TREG1_13900.2, TREG1_13900.3, TREG1_13900.6, TREG1_13900.4, TREG1_13900.5	STRK1_11010.1
OG0001721	TREG1_76040.1	STRK1_53200.1
OG0001721	TREG1_76020.1	STRK1_97580.1
OG0001722	TREG1_30370.1	STRK1_10450.1, STRK1_10450.2, STRK1_10440.1, STRK1_10430.1
OG0001723	TREG1_8030.1	STRK1_10230.1, STRK1_10230.2
OG0001724	TREG1_104060.4, TREG1_104060.3, TREG1_104060.1, TREG1_104060.2	STRK1_70340.1
OG0001725	TREG1_95500.1	STRK1_68850.1
OG0001726	TREG1_43950.1	STRK1_30590.1
OG0001726	TREG1_111960.1	STRK1_80000.1
OG0001727	TREG1_119500.1, TREG1_119490.1	STRK1_85340.1
OG0001728	TREG1_82270.1, TREG1_82260.1	STRK1_58570.1, STRK1_58570.2, STRK1_58570.3
OG0001729	TREG1_9710.1	STRK1_10050.1
OG0001730	TREG1_19330.1, TREG1_19330.2, TREG1_19330.3, TREG1_19330.4, TREG1_19330.5, TREG1_19330.6, TREG1_19330.7	STRK1_2680.2, STRK1_2680.5, STRK1_2680.1, STRK1_2680.4, STRK1_2680.3
OG0001731	TREG1_45300.1	STRK1_29200.1
OG0001732	TREG1_68370.1	STRK1_50910.1
OG0001733	TREG1_84780.4, TREG1_84780.1, TREG1_84780.2, TREG1_84780.3	STRK1_57830.1, STRK1_104790.1
OG0001734	TREG1_122340.1, TREG1_122340.2	STRK1_89730.2, STRK1_89730.1, STRK1_89730.3, STRK1_89730.4, STRK1_102590.1
OG0001735	TREG1_3960.1, TREG1_38830.5, TREG1_38830.1, TREG1_38830.4, TREG1_38830.2, TREG1_38830.3, TREG1_3950.1	STRK1_26430.1
OG0001736	TREG1_19770.4, TREG1_19770.2, TREG1_19770.3, TREG1_19770.1	STRK1_14100.1
OG0001737	TREG1_128500.1	STRK1_98320.1, STRK1_89130.1, STRK1_102570.1, STRK1_89140.1
OG0001738	TREG1_40380.2, TREG1_40380.1, TREG1_40380.3	STRK1_39740.1
OG0001739	TREG1_33210.2, TREG1_33210.1	STRK1_39280.1
OG0001740	TREG1_77030.1, TREG1_77030.2, TREG1_77030.3	STRK1_48640.1
OG0001741	TREG1_4640.1, TREG1_4640.2	STRK1_15700.3, STRK1_15700.1, STRK1_15700.5, STRK1_15700.6, STRK1_15700.4, STRK1_15700.2
OG0001742	TREG1_71340.1	STRK1_47970.1
OG0001743	TREG1_123710.1	STRK1_85850.1
OG0001744	TREG1_90490.1, TREG1_90490.2	STRK1_66340.1
OG0001745	TREG1_45380.1, TREG1_45370.1, TREG1_45400.2, TREG1_45400.1	STRK1_97790.1, STRK1_27430.1, STRK1_27430.2
OG0001746	TREG1_29980.1, TREG1_29980.2, TREG1_30170.1, TREG1_30170.2, TREG1_30170.5, TREG1_30170.4, TREG1_30170.3, TREG1_117280.1, TREG1_117280.2, TREG1_117280.3, TREG1_117280.4, TREG1_117280.6, TREG1_117280.5	STRK1_80370.1, STRK1_80370.2
OG0001747	TREG1_18550.2, TREG1_18550.1, TREG1_18550.3	STRK1_3580.1
OG0001748	TREG1_78430.3, TREG1_78430.4, TREG1_78430.8, TREG1_78430.1, TREG1_78430.5, TREG1_78430.6, TREG1_78430.7, TREG1_78430.2, TREG1_78430.9	STRK1_56440.1
OG0001749	TREG1_38680.1	STRK1_26340.1
OG0001750	TREG1_5200.1, TREG1_5200.3, TREG1_5200.2	STRK1_16080.1, STRK1_16080.2, STRK1_16070.2, STRK1_16070.1, STRK1_16070.3
OG0001751	TREG1_38420.1	STRK1_26220.1
OG0001752	TREG1_3530.1	STRK1_9630.1, STRK1_9630.2
OG0001753	TREG1_26820.1	STRK1_10680.4, STRK1_10680.2, STRK1_10680.3, STRK1_10680.1
OG0001754	TREG1_80760.1, TREG1_80750.1	STRK1_57620.1
OG0001755	TREG1_3750.1, TREG1_3750.2, TREG1_3760.1, TREG1_3760.2	STRK1_16170.1, STRK1_16170.2, STRK1_16170.3, STRK1_16170.4
OG0001756	TREG1_67880.1, TREG1_67880.2, TREG1_67880.3, TREG1_67880.4	STRK1_49060.1, STRK1_49060.2
OG0001757	TREG1_68780.1	STRK1_50420.2, STRK1_50420.1, STRK1_50420.3
OG0001758	TREG1_116870.1	STRK1_82650.1
OG0001759	TREG1_94380.4, TREG1_94380.1, TREG1_94380.2, TREG1_94380.3, TREG1_93480.2, TREG1_93480.1, TREG1_93480.3	STRK1_65980.1
OG0001760	TREG1_91310.1	STRK1_61210.1
OG0001761	TREG1_110140.1	STRK1_79240.1, STRK1_79260.1, STRK1_79230.1, STRK1_79220.1
OG0001762	TREG1_134140.1, TREG1_134130.1	STRK1_90460.1
OG0001763	TREG1_49810.1, TREG1_49810.2	STRK1_32630.1
OG0001764	TREG1_30440.5, TREG1_30440.2, TREG1_30440.3, TREG1_30440.1, TREG1_30440.4, TREG1_30440.6	STRK1_14990.1
OG0001765	TREG1_93330.1, TREG1_93330.2, TREG1_93330.3	STRK1_65860.1
OG0001766	TREG1_52140.4, TREG1_52140.3, TREG1_52140.5, TREG1_52140.1, TREG1_52140.2	STRK1_35430.1, STRK1_35430.2
OG0001767	TREG1_3900.1	STRK1_16230.1
OG0001768	TREG1_122190.6, TREG1_122190.3, TREG1_122190.1, TREG1_122190.2, TREG1_122190.5, TREG1_122190.4	STRK1_83760.1, STRK1_83760.2, STRK1_110440.1, STRK1_90860.1, STRK1_83770.1
OG0001769	TREG1_12880.1	STRK1_17500.1
OG0001770	TREG1_54370.2, TREG1_54370.4, TREG1_54370.5, TREG1_54370.1, TREG1_54370.3, TREG1_54370.6	STRK1_34820.1
OG0001771	TREG1_70260.1	STRK1_47100.1
OG0001772	TREG1_125690.1	STRK1_86290.1
OG0001773	TREG1_89900.1, TREG1_89900.2	STRK1_64050.1, STRK1_64050.2
OG0001774	TREG1_6180.1, TREG1_6180.3, TREG1_6180.4, TREG1_6180.5, TREG1_6180.6, TREG1_6180.2	STRK1_6360.1
OG0001775	TREG1_129470.1, TREG1_19360.1	STRK1_2700.1
OG0001776	TREG1_136200.1, TREG1_136200.2, TREG1_136200.3, TREG1_136200.4, TREG1_136200.5, TREG1_136200.6, TREG1_136200.7, TREG1_136200.8, TREG1_136200.9	STRK1_93390.1
OG0001777	TREG1_18980.1, TREG1_18980.2	STRK1_15300.1
OG0001778	TREG1_125770.1, TREG1_125770.3, TREG1_125770.4, TREG1_125770.2, TREG1_125770.5	STRK1_86620.1, STRK1_86620.2, STRK1_109070.1
OG0001779	TREG1_59900.1, TREG1_59900.2	STRK1_22220.1
OG0001780	TREG1_48790.1, TREG1_48780.1	STRK1_26980.1
OG0001781	TREG1_135840.2, TREG1_135840.1, TREG1_135840.3, TREG1_135840.4	STRK1_93160.1, STRK1_93160.2
OG0001782	TREG1_89750.1, TREG1_89770.1	STRK1_63020.1, STRK1_63020.2, STRK1_63020.4, STRK1_63020.5, STRK1_63020.3
OG0001783	TREG1_50340.1, TREG1_50340.2	STRK1_29320.1, STRK1_29320.2
OG0001784	TREG1_55940.1	STRK1_37370.5, STRK1_37370.4, STRK1_37370.2, STRK1_37370.1, STRK1_37370.3
OG0001785	TREG1_60960.8, TREG1_60960.10, TREG1_60960.4, TREG1_60960.2, TREG1_60960.9, TREG1_60960.7, TREG1_60960.3, TREG1_60960.6, TREG1_60960.1, TREG1_60960.5	STRK1_105890.2, STRK1_105890.1, STRK1_106430.1, STRK1_21420.1, STRK1_21410.1, STRK1_21410.2, STRK1_21410.3, STRK1_21410.4
OG0001786	TREG1_85270.1	STRK1_63570.1, STRK1_63570.2
OG0001787	TREG1_60930.1	STRK1_21400.1, STRK1_21400.2, STRK1_102650.1
OG0001789	TREG1_21600.4, TREG1_21600.1, TREG1_21600.2, TREG1_21600.3, TREG1_21600.5, TREG1_21600.6, TREG1_21600.7, TREG1_21600.8	STRK1_20850.1, STRK1_20860.1, STRK1_20860.2
OG0001790	TREG1_54850.1	STRK1_38530.1, STRK1_38530.2
OG0001791	TREG1_128230.1, TREG1_128210.1, TREG1_128220.1	STRK1_89370.1, STRK1_89500.1
OG0001792	TREG1_104310.1	STRK1_73220.1
OG0001793	TREG1_124440.1, TREG1_124440.2	STRK1_87500.1, STRK1_87500.2
OG0001794	TREG1_93370.1	STRK1_65870.1, STRK1_65870.2
OG0001795	TREG1_65370.1, TREG1_65370.3	STRK1_49000.1, STRK1_48990.1
OG0001800	TREG1_74780.1	STRK1_53850.1
OG0001801	TREG1_17610.4, TREG1_17610.5, TREG1_17610.3, TREG1_17610.1, TREG1_17610.2, TREG1_17610.6, TREG1_17610.7	STRK1_5320.1
OG0001802	TREG1_56870.1	STRK1_31380.2, STRK1_31380.1, STRK1_31380.3, STRK1_31380.4
OG0001803	TREG1_45860.1, TREG1_45860.2, TREG1_45860.3, TREG1_45860.4	STRK1_38700.1
OG0001804	TREG1_51370.1, TREG1_51370.4, TREG1_51370.2, TREG1_51370.3, TREG1_51370.5	STRK1_34180.1
OG0001805	TREG1_34610.2, TREG1_34620.1, TREG1_34610.1, TREG1_34610.4, TREG1_34610.3	STRK1_40060.1, STRK1_108740.1
OG0001806	TREG1_135040.1, TREG1_135070.1	STRK1_92370.1
OG0001807	TREG1_17570.3, TREG1_17550.1, TREG1_17570.2, TREG1_17570.1, TREG1_17570.4, TREG1_17570.5	STRK1_5310.1
OG0001808	TREG1_16470.1	STRK1_3840.1
OG0001809	TREG1_53370.1	STRK1_34400.1
OG0001810	TREG1_132180.1	STRK1_90340.1
OG0001811	TREG1_93690.1	STRK1_66980.1
OG0001811	TREG1_11270.1	STRK1_12210.1
OG0001812	TREG1_107560.1	STRK1_74210.1, STRK1_74210.2, STRK1_74210.3, STRK1_74210.4
OG0001813	TREG1_27020.1	STRK1_10900.1, STRK1_10910.1
OG0001814	TREG1_99070.2, TREG1_99070.1, TREG1_99070.3	STRK1_108280.1
OG0001815	TREG1_67170.2, TREG1_67170.1, TREG1_67170.3	STRK1_45430.1
OG0001816	TREG1_67260.1, TREG1_67260.2, TREG1_67260.3, TREG1_67260.4, TREG1_67260.5	STRK1_45240.1, STRK1_45250.1
OG0001817	TREG1_41590.1, TREG1_140.1, TREG1_150.1, TREG1_139600.1, TREG1_140920.1, TREG1_140920.2, TREG1_140920.3, TREG1_41590.2, TREG1_41630.1, TREG1_41560.1	STRK1_28470.1
OG0001818	TREG1_65210.1, TREG1_65210.2	STRK1_49720.1, STRK1_49720.2
OG0001819	TREG1_16650.1, TREG1_16650.2, TREG1_16650.3, TREG1_16650.4, TREG1_16650.5	STRK1_18000.1, STRK1_18000.2, STRK1_18000.3
OG0001820	TREG1_83930.1, TREG1_83880.1	STRK1_55380.1
OG0001821	TREG1_77630.1	STRK1_56560.1
OG0001822	TREG1_132420.1, TREG1_132440.1	STRK1_92000.1, STRK1_77350.1
OG0001823	TREG1_23490.3, TREG1_23490.7, TREG1_23490.1, TREG1_23490.2, TREG1_23490.4, TREG1_23490.6, TREG1_23490.5	STRK1_19350.1
OG0001824	TREG1_141790.1, TREG1_19930.3, TREG1_19930.1, TREG1_19930.2, TREG1_141750.1, TREG1_19920.1, TREG1_19920.2, TREG1_19920.3, TREG1_137400.1	STRK1_4420.1
OG0001825	TREG1_64240.1	STRK1_52600.1
OG0001826	TREG1_4990.1, TREG1_4990.3, TREG1_4990.2	STRK1_15420.1
OG0001827	TREG1_108640.1, TREG1_108630.1	STRK1_74950.1
OG0001828	TREG1_63410.1	STRK1_47230.2, STRK1_47230.4, STRK1_47230.1, STRK1_47230.3
OG0001829	TREG1_37730.1	STRK1_23790.1
OG0001830	TREG1_78010.1	STRK1_55870.1, STRK1_103100.1
OG0001831	TREG1_90380.1	STRK1_58970.3, STRK1_58970.1, STRK1_58970.2
OG0001833	TREG1_113510.1	STRK1_78870.1, STRK1_78870.2
OG0001834	TREG1_98310.1, TREG1_98310.3, TREG1_98310.2, TREG1_98310.4	STRK1_75710.1
OG0001835	TREG1_17700.1, TREG1_17700.2	STRK1_14430.1
OG0001836	TREG1_19120.1	STRK1_17280.1
OG0001837	TREG1_113130.1, TREG1_113130.2, TREG1_113130.3, TREG1_113130.4, TREG1_113130.5, TREG1_113130.6	STRK1_79550.1
OG0001838	TREG1_59380.1, TREG1_59380.2	STRK1_26200.1, STRK1_26200.2
OG0001839	TREG1_67680.1	STRK1_51460.1
OG0001840	TREG1_45980.1, TREG1_45980.2, TREG1_45980.3, TREG1_45980.4	STRK1_32930.1, STRK1_32930.2, STRK1_32930.3
OG0001841	TREG1_26340.1	STRK1_14750.1, STRK1_14750.2
OG0001842	TREG1_131570.1, TREG1_131580.1	STRK1_90950.1
OG0001843	TREG1_40330.1	STRK1_106240.1, STRK1_39750.1
OG0001845	TREG1_135800.1, TREG1_135800.2	STRK1_94510.1
OG0001846	TREG1_33610.1	STRK1_25870.1
OG0001847	TREG1_64110.3, TREG1_64110.4, TREG1_64110.1, TREG1_64110.2	STRK1_6440.1
OG0001848	TREG1_18490.4, TREG1_18490.3, TREG1_18490.2, TREG1_18490.1	STRK1_3270.1
OG0001849	TREG1_85670.1	STRK1_61800.1
OG0001850	TREG1_107860.1	STRK1_71550.1
OG0001851	TREG1_63400.1	STRK1_47220.1
OG0001852	TREG1_46090.3, TREG1_46090.1, TREG1_46090.4, TREG1_46090.2	STRK1_36550.1, STRK1_36550.2
OG0001853	TREG1_4940.1	STRK1_16650.1, STRK1_16650.2
OG0001854	TREG1_136480.1, TREG1_136470.1	STRK1_90730.1
OG0001855	TREG1_103530.1, TREG1_103530.2	STRK1_69380.1, STRK1_69380.2, STRK1_69380.3, STRK1_69380.4, STRK1_69380.5
OG0001856	TREG1_98570.1	STRK1_73400.1
OG0001857	TREG1_104820.6, TREG1_104820.8, TREG1_104820.1, TREG1_104820.2, TREG1_104820.3, TREG1_104820.4, TREG1_104820.5, TREG1_104820.9, TREG1_104820.7	STRK1_72820.1
OG0001858	TREG1_31130.1	STRK1_42380.1, STRK1_42380.2, STRK1_42380.3
OG0001859	TREG1_6810.1	STRK1_12430.1, STRK1_108870.1, STRK1_12420.1
OG0001860	TREG1_34080.1	STRK1_25660.3, STRK1_25660.1, STRK1_25660.2
OG0001861	TREG1_103730.5, TREG1_103730.4, TREG1_103730.3, TREG1_103730.2, TREG1_103730.1	STRK1_71910.1
OG0001862	TREG1_18760.1, TREG1_18760.3, TREG1_18760.2	STRK1_15850.1, STRK1_15850.2
OG0001863	TREG1_34020.1, TREG1_34030.1, TREG1_34010.1, TREG1_34000.1	STRK1_25710.1
OG0001863	TREG1_40190.1	STRK1_35840.1
OG0001864	TREG1_100120.1	STRK1_72100.1, STRK1_72100.2
OG0001865	TREG1_25040.4, TREG1_25040.3, TREG1_25040.1, TREG1_25040.2	STRK1_15550.1, STRK1_15550.2, STRK1_15550.3, STRK1_15550.4
OG0001866	TREG1_127360.2, TREG1_127360.1, TREG1_127360.3	STRK1_86440.1
OG0001867	TREG1_68200.3, TREG1_68200.7, TREG1_68200.4, TREG1_68200.5, TREG1_68200.1, TREG1_68200.6, TREG1_68200.2	STRK1_49680.1
OG0001868	TREG1_10240.1, TREG1_10240.2	STRK1_17460.1
OG0001869	TREG1_24860.1	STRK1_18800.1, STRK1_18750.1
OG0001870	TREG1_70550.1, TREG1_70530.1	STRK1_52460.1
OG0001871	TREG1_42540.1, TREG1_42540.2, TREG1_42540.3	STRK1_40960.1, STRK1_97480.1
OG0001872	TREG1_111020.2, TREG1_111020.1, TREG1_111020.3	STRK1_80020.1
OG0001873	TREG1_54060.1, TREG1_54060.2	STRK1_34810.1
OG0001874	TREG1_32330.1	STRK1_21780.1, STRK1_21780.2, STRK1_21780.3
OG0001875	TREG1_124620.1, TREG1_124610.1	STRK1_88070.1
OG0001877	TREG1_14460.4, TREG1_14460.3, TREG1_14460.1, TREG1_14460.2	STRK1_13680.1
OG0001878	TREG1_76220.1	STRK1_98740.1, STRK1_53250.1, STRK1_109430.1, STRK1_98730.1
OG0001879	TREG1_38690.1, TREG1_38690.2, TREG1_38690.3, TREG1_38690.4	STRK1_26350.1
OG0001880	TREG1_14870.1, TREG1_14870.2	STRK1_17700.1
OG0001881	TREG1_81530.1	STRK1_57350.1
