Orthogroup	trichobilharzia_regenti	opisthorchis_viverrini
OG0000484	TREG1_134100.1	T265_09654
OG0000485	TREG1_108870.1, TREG1_108870.3, TREG1_108870.4, TREG1_108870.5, TREG1_108870.6, TREG1_108870.7, TREG1_108870.8, TREG1_108870.2, TREG1_15250.10, TREG1_15250.2, TREG1_15250.8, TREG1_15250.9, TREG1_15250.3, TREG1_15250.1, TREG1_15250.4, TREG1_15250.5, TREG1_15250.6, TREG1_15250.11, TREG1_15250.12, TREG1_15250.7	T265_13168
OG0000490	TREG1_90670.5, TREG1_90670.6, TREG1_90770.1	T265_01437, T265_16063
OG0000491	TREG1_49150.7, TREG1_49150.1, TREG1_49150.5, TREG1_49150.2, TREG1_49150.3, TREG1_49150.6, TREG1_49150.4	T265_14314
OG0000493	TREG1_67440.1, TREG1_67440.2	T265_10148, T265_15065, T265_15064
OG0000493	TREG1_47230.1, TREG1_47230.2	T265_15185, T265_10559
OG0000495	TREG1_18450.1, TREG1_18450.2, TREG1_18450.3	T265_15686
OG0000496	TREG1_33060.1	T265_07584
OG0000497	TREG1_3380.1	T265_07772
OG0000498	TREG1_58820.1	T265_12716, T265_12902
OG0000499	TREG1_103170.4, TREG1_103170.5, TREG1_103170.1, TREG1_137200.1, TREG1_103170.2, TREG1_103170.3	T265_12977
OG0000500	TREG1_21520.1	T265_12964
OG0000501	TREG1_51730.1	T265_13462
OG0000502	TREG1_47280.9, TREG1_47280.7, TREG1_47280.6, TREG1_47280.12, TREG1_47280.1, TREG1_47280.3, TREG1_47280.10, TREG1_47280.2, TREG1_47280.4, TREG1_47280.8, TREG1_47280.5, TREG1_47280.11	T265_07436, T265_06036
OG0000503	TREG1_870.1	T265_11949
OG0000504	TREG1_71760.1, TREG1_71760.2	T265_03966
OG0000505	TREG1_33200.1	T265_12584
OG0000506	TREG1_470.4, TREG1_470.1, TREG1_470.2, TREG1_470.3	T265_07729, T265_16032
OG0000507	TREG1_44110.1, TREG1_44130.1	T265_02979, T265_07797, T265_07796
OG0000508	TREG1_20060.6, TREG1_20060.1, TREG1_20060.4, TREG1_20060.5, TREG1_20060.2, TREG1_20060.3	T265_10226, T265_16175
OG0000509	TREG1_65250.1, TREG1_65270.1, TREG1_65270.2	T265_06851, T265_06853, T265_06854, T265_14152
OG0000510	TREG1_108400.1, TREG1_108440.3, TREG1_108440.1, TREG1_108440.2	T265_03984, T265_03985, T265_13373
OG0000511	TREG1_104110.3, TREG1_104110.1, TREG1_104110.2, TREG1_104150.1, TREG1_104170.1, TREG1_104120.1, TREG1_104110.4, TREG1_104110.5	T265_07656, T265_07655, T265_07657
OG0000512	TREG1_64630.1	T265_12454
OG0000513	TREG1_91600.1	T265_01157, T265_06044
OG0000514	TREG1_61400.1, TREG1_61400.2, TREG1_61400.3, TREG1_61400.5, TREG1_61400.4	T265_01214, T265_01215
OG0000515	TREG1_33970.1, TREG1_33970.2	T265_00984, T265_00985
OG0000516	TREG1_80730.1	T265_03354
OG0000517	TREG1_51710.1, TREG1_51710.2, TREG1_51710.3	T265_01106
OG0000521	TREG1_103350.7, TREG1_103350.9, TREG1_103350.6, TREG1_103350.2, TREG1_103350.3, TREG1_103350.4, TREG1_103350.8, TREG1_103350.1, TREG1_103350.5	T265_12415
OG0000522	TREG1_75610.1	T265_04037
OG0000523	TREG1_100250.1	T265_07660
OG0000524	TREG1_24710.1, TREG1_16670.2, TREG1_16670.9, TREG1_16670.4, TREG1_16670.6, TREG1_16670.1, TREG1_16670.3, TREG1_16670.11, TREG1_16670.8, TREG1_16670.10, TREG1_16670.12, TREG1_16670.5, TREG1_16670.7, TREG1_16680.1, TREG1_111210.2, TREG1_111210.1, TREG1_111210.3, TREG1_111210.4, TREG1_111230.1, TREG1_111220.1, TREG1_24720.1	T265_07885
OG0000525	TREG1_74580.1, TREG1_143600.1, TREG1_143600.2	T265_05091
OG0000526	TREG1_9110.2, TREG1_9110.3, TREG1_9110.1, TREG1_9110.4, TREG1_9110.5	T265_02282, T265_12113
OG0000527	TREG1_17760.1, TREG1_17760.2	T265_03411
OG0000528	TREG1_50620.1	T265_06055
OG0000529	TREG1_28450.1	T265_09182, T265_03656
OG0000529	TREG1_35360.1, TREG1_35360.2	T265_07511
OG0000530	TREG1_134910.1, TREG1_134920.1	T265_09699
OG0000531	TREG1_106010.1	T265_14416, T265_14417
OG0000532	TREG1_7720.1, TREG1_7720.2	T265_00995, T265_06267
OG0000533	TREG1_21800.1, TREG1_21800.3, TREG1_21800.5, TREG1_21800.8, TREG1_21800.9, TREG1_21800.2, TREG1_21800.4, TREG1_21800.6, TREG1_21800.7	T265_13786
OG0000534	TREG1_95460.1	T265_09156
OG0000535	TREG1_78360.1, TREG1_80440.1	T265_13029, T265_02526, T265_16334
OG0000536	TREG1_81140.1	T265_04792
OG0000537	TREG1_73770.1, TREG1_73770.3, TREG1_73770.2, TREG1_73770.4	T265_03566
OG0000539	TREG1_69190.1, TREG1_69180.3, TREG1_69180.4, TREG1_69180.1, TREG1_69180.5, TREG1_69180.2	T265_02944
OG0000540	TREG1_11390.2, TREG1_11390.1, TREG1_11390.3	T265_06424
OG0000541	TREG1_50140.8, TREG1_50140.10, TREG1_50140.11, TREG1_50140.12, TREG1_50140.13, TREG1_50140.3, TREG1_50140.5, TREG1_50140.6, TREG1_50140.7, TREG1_50140.1, TREG1_50140.2, TREG1_50140.4, TREG1_50140.9	T265_02592
OG0000542	TREG1_120480.1, TREG1_120490.1, TREG1_120480.3, TREG1_120490.2, TREG1_120490.3	T265_10499
OG0000543	TREG1_21010.4, TREG1_21010.1, TREG1_21010.2, TREG1_21010.3, TREG1_21010.5, TREG1_21010.6	T265_05515
OG0000544	TREG1_97610.1	T265_14759
OG0000545	TREG1_62060.1	T265_01309
OG0000545	TREG1_95860.1	T265_13998
OG0000546	TREG1_46630.1, TREG1_46620.1	T265_14392
OG0000547	TREG1_125930.1	T265_07333
OG0000548	TREG1_48060.1	T265_14116
OG0000549	TREG1_25530.2, TREG1_25530.1, TREG1_25530.3, TREG1_25530.4, TREG1_25530.5	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757
OG0000550	TREG1_16250.1, TREG1_16240.2, TREG1_16240.4, TREG1_16240.6, TREG1_16240.8, TREG1_16240.10, TREG1_16240.7, TREG1_16240.3, TREG1_16240.5, TREG1_16240.1, TREG1_16240.9, TREG1_16230.1, TREG1_16230.3, TREG1_16230.2	T265_09507, T265_14868
OG0000551	TREG1_70940.1	T265_05708, T265_12418, T265_04197, T265_11408, T265_09018, T265_09780, T265_09887, T265_05015
OG0000552	TREG1_2340.1, TREG1_68430.1, TREG1_68430.2, TREG1_68430.3	T265_02926, T265_04606
OG0000552	TREG1_121870.1	T265_05767
OG0000553	TREG1_132920.1, TREG1_132920.2, TREG1_132920.3	T265_05228, T265_05227
OG0000554	TREG1_55910.1, TREG1_21130.1, TREG1_21120.2, TREG1_21120.3, TREG1_21120.4, TREG1_21120.1, TREG1_21120.5, TREG1_21120.6	T265_06137
OG0000555	TREG1_42790.1, TREG1_42770.1, TREG1_42770.2	T265_04699, T265_04748, T265_04698
OG0000556	TREG1_90600.1, TREG1_90620.1, TREG1_90610.1	T265_05172
OG0000557	TREG1_40110.1	T265_09726
OG0000558	TREG1_15740.1	T265_02473, T265_07551
OG0000559	TREG1_112190.3, TREG1_112190.4, TREG1_112190.1, TREG1_112190.2, TREG1_112190.6, TREG1_112190.5	T265_15777, T265_15105
OG0000561	TREG1_135790.1	T265_05307
OG0000562	TREG1_114580.3, TREG1_114580.4, TREG1_114580.5, TREG1_114580.7, TREG1_114580.2, TREG1_114580.6, TREG1_114580.1, TREG1_114580.11, TREG1_114580.10, TREG1_114580.13, TREG1_114580.9, TREG1_114580.12, TREG1_114580.14, TREG1_114580.8	T265_09617, T265_14904, T265_14905
OG0000563	TREG1_22360.1, TREG1_22360.2, TREG1_22360.3, TREG1_22360.4, TREG1_22360.5, TREG1_22360.6	T265_00934
OG0000564	TREG1_56450.1, TREG1_56440.1	T265_04694
OG0000565	TREG1_6420.1, TREG1_6420.2, TREG1_6420.3, TREG1_6420.4, TREG1_6420.5	T265_06308
OG0000566	TREG1_111000.1, TREG1_111000.2, TREG1_111000.3	T265_06381
OG0000567	TREG1_82820.1	T265_09355
OG0000568	TREG1_76800.1	T265_14125
OG0000568	TREG1_82130.1	T265_06795
OG0000568	TREG1_40240.1	T265_05196
OG0000569	TREG1_8360.2, TREG1_8360.10, TREG1_8360.3, TREG1_8360.4, TREG1_8360.8, TREG1_8360.1, TREG1_8360.7, TREG1_8360.9, TREG1_8360.5, TREG1_8360.6	T265_16092, T265_15315, T265_15990
OG0000570	TREG1_10760.1, TREG1_10770.1	T265_14462
OG0000571	TREG1_11760.3, TREG1_11760.4, TREG1_11760.2, TREG1_11760.1, TREG1_11760.5, TREG1_11760.6	T265_09677
OG0000572	TREG1_84160.1	T265_13892
OG0000574	TREG1_20290.1, TREG1_21410.1, TREG1_144080.2, TREG1_144080.4, TREG1_145380.3, TREG1_144080.1, TREG1_144080.3, TREG1_19080.1, TREG1_145380.1, TREG1_17240.1, TREG1_145380.2, TREG1_144090.1, TREG1_19090.1, TREG1_19090.2	T265_09231
OG0000575	TREG1_134340.1	T265_13730
OG0000576	TREG1_40480.1	T265_04125
OG0000577	TREG1_66260.1	T265_03389
OG0000580	TREG1_51770.1	T265_11930
OG0000581	TREG1_85110.1, TREG1_85110.2, TREG1_85110.3	T265_03176, T265_03173
OG0000582	TREG1_115240.1, TREG1_115230.1	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666
OG0000582	TREG1_110220.1, TREG1_115220.1	T265_01671
OG0000583	TREG1_85440.1	T265_02005
OG0000584	TREG1_48340.1	T265_13228
OG0000585	TREG1_12160.7, TREG1_12160.6, TREG1_12160.3, TREG1_12160.4, TREG1_12160.2, TREG1_12160.1, TREG1_12160.8, TREG1_12160.5	T265_00232
OG0000586	TREG1_49800.1	T265_11386
OG0000587	TREG1_61620.1, TREG1_142980.1, TREG1_136720.2, TREG1_136720.1, TREG1_142990.1, TREG1_139140.1, TREG1_136660.1, TREG1_126840.1, TREG1_139130.1, TREG1_140980.1, TREG1_136850.1	T265_07724
OG0000587	TREG1_56930.1	T265_12893, T265_14323
OG0000588	TREG1_29180.1, TREG1_29190.1, TREG1_29170.1, TREG1_29310.1	T265_11101, T265_10758
OG0000589	TREG1_77090.1, TREG1_77090.2	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017
OG0000590	TREG1_46410.1	T265_09102
OG0000590	TREG1_45820.1	T265_06033
OG0000591	TREG1_19270.1	T265_06310
OG0000592	TREG1_45210.1	T265_14113
OG0000593	TREG1_58530.1, TREG1_58530.2, TREG1_58530.3, TREG1_58530.4	T265_10773
OG0000594	TREG1_24250.1, TREG1_72460.1	T265_05797, T265_06525
OG0000595	TREG1_63690.1, TREG1_63690.2, TREG1_63690.3	T265_03869
OG0000598	TREG1_137630.1, TREG1_76110.1, TREG1_76110.2, TREG1_76150.1, TREG1_76140.1	T265_02456
OG0000599	TREG1_90170.2, TREG1_90170.1, TREG1_90170.3	T265_07673
OG0000600	TREG1_92180.1, TREG1_92180.2, TREG1_92180.3, TREG1_92180.4, TREG1_92180.5, TREG1_92180.6, TREG1_92180.7, TREG1_92180.8, TREG1_92180.9	T265_10590
OG0000601	TREG1_131690.1	T265_04621, T265_04618
OG0000601	TREG1_56660.1	T265_14218
OG0000602	TREG1_21030.1, TREG1_21030.2, TREG1_21030.3, TREG1_21030.4	T265_09208, T265_12351
OG0000603	TREG1_74520.1	T265_14992, T265_14991, T265_11543
OG0000605	TREG1_60080.1, TREG1_60080.6, TREG1_60080.2, TREG1_60080.3, TREG1_60080.4, TREG1_60080.5, TREG1_59030.1	T265_14198
OG0000606	TREG1_12060.1	T265_13221
OG0000606	TREG1_18830.1	T265_13221
OG0000606	TREG1_18840.1	T265_13221
OG0000607	TREG1_49850.1, TREG1_49850.2	T265_10825
OG0000608	TREG1_68600.6, TREG1_68600.5, TREG1_68600.3, TREG1_68600.1, TREG1_68600.2, TREG1_68600.4	T265_02880, T265_02883
OG0000609	TREG1_60290.1, TREG1_60280.1, TREG1_60280.2	T265_09254
OG0000610	TREG1_48560.1	T265_07616, T265_15716
OG0000610	TREG1_61090.1, TREG1_61090.2	T265_05701
OG0000611	TREG1_39480.1, TREG1_39460.1	T265_06968
OG0000612	TREG1_11300.1	T265_09078
OG0000613	TREG1_50280.1	T265_02832
OG0000614	TREG1_39240.5, TREG1_39240.1, TREG1_39240.2, TREG1_39240.3, TREG1_39240.4	T265_12100
OG0000615	TREG1_28100.1, TREG1_28100.2	T265_03195
OG0000616	TREG1_79530.1	T265_08938
OG0000617	TREG1_113250.10, TREG1_113250.11, TREG1_113250.6, TREG1_113250.12, TREG1_113250.7, TREG1_113250.4, TREG1_113250.2, TREG1_113250.8, TREG1_113250.9, TREG1_113250.1, TREG1_113250.3, TREG1_113250.5	T265_08274
OG0000618	TREG1_54300.1, TREG1_54290.1, TREG1_54290.2	T265_13264
OG0000620	TREG1_19940.1, TREG1_137380.1	T265_10505
OG0000620	TREG1_61470.1	T265_00373, T265_00374
OG0000621	TREG1_47640.1	T265_14537
OG0000622	TREG1_107710.3, TREG1_107710.1, TREG1_107710.2, TREG1_107710.4	T265_00170
OG0000623	TREG1_10780.1	T265_04780, T265_13600
OG0000624	TREG1_52600.1, TREG1_52600.2	T265_15535, T265_11776, T265_13342
OG0000625	TREG1_39770.1, TREG1_39760.1	T265_03633
OG0000626	TREG1_76310.1, TREG1_76310.2, TREG1_76310.3	T265_02683, T265_13068
OG0000627	TREG1_15320.1	T265_09410
OG0000628	TREG1_91720.1, TREG1_91710.1	T265_08778, T265_14669, T265_16036
OG0000629	TREG1_41520.1, TREG1_41520.2, TREG1_41520.3	T265_05422
OG0000630	TREG1_80480.6, TREG1_80480.1, TREG1_80480.2, TREG1_80480.3, TREG1_80480.4, TREG1_80480.5, TREG1_141830.5, TREG1_141840.2, TREG1_141840.3, TREG1_141830.6, TREG1_141830.7, TREG1_28320.1, TREG1_28320.2, TREG1_28320.4, TREG1_28320.5, TREG1_28320.3, TREG1_28320.7, TREG1_28320.8, TREG1_28320.9, TREG1_141830.2, TREG1_141840.1, TREG1_28320.6, TREG1_141840.6, TREG1_141830.4, TREG1_141840.5, TREG1_141840.7, TREG1_141830.1, TREG1_141830.3, TREG1_141840.4, TREG1_141840.8	T265_11517
OG0000631	TREG1_90310.1, TREG1_90320.1, TREG1_39130.1, TREG1_39130.2, TREG1_91760.1	T265_00494
OG0000632	TREG1_30130.1	T265_03948
OG0000633	TREG1_73110.4, TREG1_73120.1, TREG1_73110.1, TREG1_73110.2, TREG1_73110.3	T265_08226
OG0000634	TREG1_110370.2, TREG1_110370.3, TREG1_6970.1, TREG1_107880.1, TREG1_54570.1, TREG1_31220.1, TREG1_100680.1, TREG1_49190.1, TREG1_131760.1, TREG1_122650.1, TREG1_91520.1, TREG1_19480.1, TREG1_75140.1, TREG1_42800.1, TREG1_40430.1	T265_08726, T265_05043, T265_16055
OG0000636	TREG1_131330.1	T265_09528
OG0000637	TREG1_66150.1	T265_08691
OG0000638	TREG1_90220.4, TREG1_90220.3, TREG1_90220.5, TREG1_90220.7, TREG1_90220.1, TREG1_90220.2, TREG1_90220.6	T265_12571, T265_16335
OG0000639	TREG1_84310.6, TREG1_84310.1, TREG1_84310.5, TREG1_84310.4, TREG1_84310.2, TREG1_84310.3	T265_08132
OG0000640	TREG1_114550.3, TREG1_114550.4, TREG1_114550.2, TREG1_114550.1	T265_06014
OG0000641	TREG1_4100.1	T265_11906
OG0000641	TREG1_4590.1, TREG1_4590.2	T265_08520
OG0000642	TREG1_82100.1	T265_00484
OG0000643	TREG1_66730.1	T265_06781
OG0000643	TREG1_66710.1, TREG1_66720.1, TREG1_66720.2, TREG1_66720.3	T265_00368
OG0000644	TREG1_135490.1, TREG1_135500.2, TREG1_135500.1, TREG1_135500.3, TREG1_135500.4	T265_10096
OG0000645	TREG1_7290.1, TREG1_7300.1	T265_06416, T265_14031
OG0000646	TREG1_12070.1	T265_14032, T265_09682
OG0000647	TREG1_91240.1	T265_01179
OG0000649	TREG1_84740.1, TREG1_84730.1	T265_14362
OG0000650	TREG1_106110.1, TREG1_106110.2	T265_04859
OG0000651	TREG1_37070.2, TREG1_37070.1, TREG1_37070.3, TREG1_37070.4	T265_08308
OG0000652	TREG1_40740.1	T265_02580, T265_06040
OG0000653	TREG1_57150.1, TREG1_57150.2	T265_08906
OG0000654	TREG1_51530.1	T265_12285, T265_12621
OG0000656	TREG1_98900.1	T265_15627
OG0000657	TREG1_125680.1	T265_02650
OG0000659	TREG1_40290.1, TREG1_40290.2, TREG1_40290.3	T265_14212
OG0000663	TREG1_45970.1	T265_04735, T265_02871
OG0000664	TREG1_8950.1, TREG1_8950.2, TREG1_8950.3	T265_04576
OG0000665	TREG1_96280.1, TREG1_96290.1	T265_10655
OG0000666	TREG1_84300.1, TREG1_84300.2, TREG1_84300.3	T265_14484
OG0000667	TREG1_5970.1, TREG1_5970.2	T265_06220
OG0000668	TREG1_73220.1	T265_07209
OG0000669	TREG1_93060.1, TREG1_93060.2, TREG1_93060.3	T265_04795
OG0000670	TREG1_30700.1, TREG1_30700.2	T265_08099, T265_08098
OG0000671	TREG1_101960.6, TREG1_101960.3, TREG1_101960.10, TREG1_101960.7, TREG1_101960.9, TREG1_101960.2, TREG1_101960.5, TREG1_101960.1, TREG1_101960.4, TREG1_101960.8	T265_06752
OG0000672	TREG1_43270.1, TREG1_43270.4, TREG1_43270.3, TREG1_43270.2, TREG1_43270.5, TREG1_43270.7, TREG1_43270.6	T265_08111
OG0000673	TREG1_25990.1	T265_06693, T265_15660, T265_03059
OG0000674	TREG1_98100.1, TREG1_98100.3, TREG1_98100.5, TREG1_98100.2, TREG1_98100.4, TREG1_98100.6	T265_00038
OG0000675	TREG1_10590.1, TREG1_102190.1, TREG1_10580.1	T265_10356
OG0000676	TREG1_112140.1, TREG1_112140.2, TREG1_112140.3, TREG1_112140.4, TREG1_112140.5, TREG1_112140.6	T265_02244
OG0000677	TREG1_4970.2, TREG1_4970.1, TREG1_4970.5, TREG1_4970.3, TREG1_4970.4, TREG1_4970.6	T265_03024
OG0000678	TREG1_52150.2, TREG1_52150.3, TREG1_52150.4, TREG1_52150.1, TREG1_52150.5	T265_14566
OG0000679	TREG1_100810.1	T265_13839
OG0000680	TREG1_9130.1	T265_15068
OG0000681	TREG1_57420.1	T265_15309
OG0000682	TREG1_42600.1	T265_05067
OG0000683	TREG1_77370.1, TREG1_137520.1, TREG1_77370.2	T265_03513
OG0000684	TREG1_110030.2, TREG1_110030.1, TREG1_110030.3, TREG1_110030.4	T265_02396
OG0000685	TREG1_100060.5, TREG1_100060.1, TREG1_100060.6, TREG1_100060.7, TREG1_100060.8, TREG1_100060.2, TREG1_100060.3, TREG1_100060.4	T265_14345
OG0000686	TREG1_79590.1, TREG1_79590.2, TREG1_79590.7, TREG1_79590.3, TREG1_79590.4, TREG1_79590.5, TREG1_79590.6, TREG1_79590.8, TREG1_79590.9	T265_06598
OG0000687	TREG1_141160.1, TREG1_60450.1, TREG1_60450.2	T265_13762
OG0000688	TREG1_14320.1, TREG1_14320.2	T265_09228
OG0000690	TREG1_61050.1	T265_15342
OG0000695	TREG1_135010.1	T265_07910
OG0000695	TREG1_31440.1	T265_07140
OG0000696	TREG1_19050.1, TREG1_19050.2, TREG1_19050.3, TREG1_19050.4	T265_00960
OG0000697	TREG1_34750.1	T265_02565
OG0000698	TREG1_15140.7, TREG1_15140.6, TREG1_15140.4, TREG1_15140.3, TREG1_15140.5, TREG1_15140.1, TREG1_15140.2	T265_04366
OG0000699	TREG1_53170.2, TREG1_53170.3, TREG1_53170.4	T265_08805
OG0000699	TREG1_62360.1	T265_03971
OG0000700	TREG1_58910.1, TREG1_37450.1, TREG1_37550.1, TREG1_37530.1	T265_06924, T265_06925
OG0000701	TREG1_83860.1	T265_02016
OG0000702	TREG1_123490.1	T265_08615
OG0000703	TREG1_14050.1	T265_14823, T265_09393, T265_14824
OG0000704	TREG1_139800.1, TREG1_139800.2, TREG1_139800.3, TREG1_121550.1, TREG1_121560.1, TREG1_52080.1	T265_10029
OG0000705	TREG1_2090.1	T265_10453
OG0000706	TREG1_57640.1	T265_01271, T265_09997
OG0000706	TREG1_72900.1	T265_00020
OG0000707	TREG1_134230.1	T265_15248, T265_15672
OG0000708	TREG1_47360.1, TREG1_47360.2, TREG1_47360.5, TREG1_47360.8, TREG1_47360.3, TREG1_47360.6, TREG1_47360.7, TREG1_47360.4	T265_05018
OG0000709	TREG1_42750.2, TREG1_42750.3, TREG1_42750.4, TREG1_42750.5, TREG1_42750.7, TREG1_42820.1, TREG1_42750.8, TREG1_42750.9, TREG1_42750.13, TREG1_42750.6, TREG1_42750.12, TREG1_42750.1, TREG1_42750.10, TREG1_42750.11, TREG1_42820.4, TREG1_42820.7, TREG1_42820.5, TREG1_42820.3, TREG1_42820.6, TREG1_42820.2	T265_13137
OG0000710	TREG1_14120.2, TREG1_14120.4, TREG1_14120.3, TREG1_14120.5, TREG1_14120.1	T265_14772
OG0000711	TREG1_98590.1	T265_13046
OG0000712	TREG1_70290.1	T265_00357
OG0000713	TREG1_103330.1, TREG1_103330.4, TREG1_103330.8, TREG1_103330.7, TREG1_103330.3, TREG1_103330.2, TREG1_103330.5, TREG1_103330.6, TREG1_103330.9	T265_15192
OG0000714	TREG1_63640.1	T265_12461
OG0000715	TREG1_36380.1, TREG1_36380.2	T265_06936, T265_16285
OG0000716	TREG1_13890.6, TREG1_13890.2, TREG1_13890.3, TREG1_13890.4, TREG1_13890.5, TREG1_13890.1, TREG1_13890.8, TREG1_13890.7	T265_01851
OG0000717	TREG1_81580.1	T265_15060
OG0000718	TREG1_107380.1	T265_15816
OG0000721	TREG1_63250.3, TREG1_63250.1, TREG1_63250.2, TREG1_63250.4	T265_00362
OG0000722	TREG1_19000.1	T265_03018, T265_03020
OG0000723	TREG1_101970.1, TREG1_101970.2	T265_10513, T265_14119
OG0000724	TREG1_37000.2, TREG1_37000.1, TREG1_37000.3	T265_15804, T265_04091, T265_04747
OG0000725	TREG1_100210.1	T265_05721
OG0000727	TREG1_37140.1, TREG1_37140.2	T265_07029
OG0000728	TREG1_68340.5, TREG1_68340.1, TREG1_68340.3, TREG1_68340.4, TREG1_68340.2	T265_02822
OG0000729	TREG1_11210.1	T265_03115
OG0000730	TREG1_79640.1, TREG1_79640.2, TREG1_79640.3, TREG1_79640.4	T265_10980
OG0000731	TREG1_105330.1	T265_11322
OG0000732	TREG1_19240.3, TREG1_19240.1, TREG1_19240.2	T265_11823
OG0000733	TREG1_19150.6, TREG1_19150.4, TREG1_19150.5, TREG1_19150.3, TREG1_19150.1, TREG1_19150.2	T265_05137, T265_13691, T265_13693
OG0000737	TREG1_12800.1	T265_05237
OG0000738	TREG1_96570.1, TREG1_96580.1, TREG1_96560.1	T265_05635, T265_05639
OG0000739	TREG1_76830.1	T265_04036
OG0000740	TREG1_6910.1, TREG1_6880.1, TREG1_6880.10, TREG1_6880.3, TREG1_6880.4, TREG1_6880.5, TREG1_6880.6, TREG1_6880.8, TREG1_6880.9, TREG1_6880.2, TREG1_6880.7	T265_04555
OG0000741	TREG1_110370.4, TREG1_110470.1	T265_10490
OG0000743	TREG1_29150.1	T265_02255
OG0000744	TREG1_4420.1	T265_13534
OG0000745	TREG1_55280.1	T265_15592
OG0000745	TREG1_55270.1	T265_01499
OG0000746	TREG1_84080.1	T265_08923
OG0000747	TREG1_42450.1, TREG1_42450.2, TREG1_42450.4, TREG1_42450.3	T265_14015
OG0000748	TREG1_96600.1, TREG1_96630.1, TREG1_96630.2, TREG1_96630.3, TREG1_96630.4	T265_08449, T265_15607, T265_15918, T265_12210
OG0000748	TREG1_96610.1	T265_12895
OG0000749	TREG1_96410.10, TREG1_96410.7, TREG1_96410.8, TREG1_96410.9, TREG1_96410.1, TREG1_96410.3, TREG1_96410.6, TREG1_96410.4, TREG1_96410.2, TREG1_96410.5	T265_15534
OG0000750	TREG1_98330.1	T265_01999
OG0000751	TREG1_12870.1, TREG1_12870.4, TREG1_12870.2, TREG1_12870.3	T265_14248
OG0000752	TREG1_132330.1, TREG1_132330.2, TREG1_132250.1	T265_14207
OG0000753	TREG1_113690.7, TREG1_113690.8, TREG1_113690.9, TREG1_113690.5, TREG1_113770.1, TREG1_113690.6	T265_11361
OG0000754	TREG1_74530.3, TREG1_74530.1, TREG1_74530.2	T265_01325
OG0000755	TREG1_98780.5, TREG1_98830.1, TREG1_98780.6	T265_14500, T265_14501
OG0000756	TREG1_57870.1, TREG1_57870.3, TREG1_57870.2, TREG1_57870.4	T265_04901
OG0000757	TREG1_65450.2, TREG1_65450.4, TREG1_65450.1, TREG1_65450.3, TREG1_65450.5	T265_14154
OG0000758	TREG1_11150.1	T265_03111
OG0000759	TREG1_66340.1	T265_14472, T265_14473, T265_15924
OG0000760	TREG1_108530.1, TREG1_108530.2, TREG1_108530.3, TREG1_108550.1	T265_14346
OG0000761	TREG1_71410.1	T265_01230
OG0000762	TREG1_112900.1	T265_07913
OG0000762	TREG1_121390.1	T265_01864
OG0000763	TREG1_14960.1	T265_06905
OG0000764	TREG1_11550.1, TREG1_11560.1	T265_00997
OG0000765	TREG1_72620.1, TREG1_72620.2	T265_00442
OG0000765	TREG1_72630.1, TREG1_72630.2	T265_00440
OG0000766	TREG1_83550.8, TREG1_83550.1, TREG1_83550.10, TREG1_83550.12, TREG1_83550.6, TREG1_83550.15, TREG1_83550.9, TREG1_83550.11, TREG1_83550.13, TREG1_83550.7, TREG1_83550.5, TREG1_83550.4, TREG1_83550.2, TREG1_83550.3, TREG1_83550.14	T265_12796
OG0000767	TREG1_86050.1, TREG1_86050.4, TREG1_86050.2, TREG1_86050.3	T265_12911
OG0000768	TREG1_41020.2, TREG1_41020.1, TREG1_41020.3, TREG1_41020.4	T265_06451
OG0000769	TREG1_11850.7, TREG1_11850.8, TREG1_11850.9, TREG1_11850.11, TREG1_11850.12, TREG1_11850.10, TREG1_11850.2, TREG1_11850.1, TREG1_11850.4, TREG1_11850.3, TREG1_109310.1, TREG1_11850.5, TREG1_11850.6	T265_01586
OG0000770	TREG1_15810.1, TREG1_15810.4, TREG1_15810.7, TREG1_15810.8, TREG1_15810.6, TREG1_15810.5, TREG1_15810.3, TREG1_15820.1, TREG1_15810.2, TREG1_15810.9	T265_12873
OG0000773	TREG1_31650.1	T265_00411
OG0000774	TREG1_72150.1	T265_08743
OG0000775	TREG1_69730.3, TREG1_69730.7, TREG1_69730.6, TREG1_69730.4, TREG1_69730.1, TREG1_69730.2, TREG1_69730.5	T265_13684
OG0000776	TREG1_63180.1	T265_07866
OG0000776	TREG1_76030.1, TREG1_76030.2	T265_12745
OG0000777	TREG1_70040.1, TREG1_70030.1	T265_02206
OG0000778	TREG1_32120.3, TREG1_32120.4, TREG1_32120.2, TREG1_32120.1	T265_01511, T265_10392, T265_10394
OG0000779	TREG1_740.1	T265_07269
OG0000780	TREG1_21200.1	T265_06690
OG0000781	TREG1_20520.1	T265_11274
OG0000781	TREG1_15450.1	T265_10911
OG0000782	TREG1_46490.1	T265_10870, T265_12889
OG0000783	TREG1_74600.1	T265_10176
OG0000784	TREG1_55190.6, TREG1_55190.4, TREG1_55190.5, TREG1_6950.1, TREG1_55190.3, TREG1_55190.7, TREG1_55190.2, TREG1_55190.1, TREG1_55190.8	T265_12066
OG0000785	TREG1_81490.1, TREG1_137350.1, TREG1_137370.1	T265_09886
