Orthogroup	trichobilharzia_regenti	schistosoma_bovis
OG0000313	TREG1_26420.1, TREG1_26420.2, TREG1_26420.3	SBOV2_14500.1, SBOV2_14500.3, SBOV2_14500.4, SBOV2_14500.5, SBOV2_14500.7, SBOV2_14500.8, SBOV2_14500.9, SBOV2_14500.2, SBOV2_14500.6
OG0000314	TREG1_40000.1, TREG1_40000.3, TREG1_40000.2, TREG1_40000.4	SBOV2_30030.1, SBOV2_30030.2
OG0000315	TREG1_34420.1	SBOV2_34340.1
OG0000315	TREG1_88900.1, TREG1_88900.2, TREG1_88900.3	SBOV2_64490.1, SBOV2_64490.2
OG0000316	TREG1_23040.1, TREG1_23040.2, TREG1_23040.3, TREG1_23040.6, TREG1_23040.5, TREG1_23040.4	SBOV2_17660.1
OG0000317	TREG1_12830.1, TREG1_12830.3, TREG1_12830.2	SBOV2_1370.2, SBOV2_1370.3, SBOV2_1370.5, SBOV2_1370.1, SBOV2_1370.4, SBOV2_1370.6, SBOV2_1370.7, SBOV2_1370.8
OG0000318	TREG1_69580.1	SBOV2_48490.1
OG0000319	TREG1_50710.4, TREG1_50710.5, TREG1_50710.6, TREG1_50710.1, TREG1_50710.3, TREG1_50710.2	SBOV2_33280.7, SBOV2_33280.1, SBOV2_33280.3, SBOV2_33280.2, SBOV2_33280.4, SBOV2_33280.5, SBOV2_33280.6, SBOV2_33280.8
OG0000320	TREG1_16150.1	SBOV2_19820.1
OG0000320	TREG1_46670.1, TREG1_46670.2	SBOV2_38020.1
OG0000320	TREG1_73000.1	SBOV2_50160.1, SBOV2_50150.1
OG0000321	TREG1_51500.1	SBOV2_30310.2, SBOV2_30310.3, SBOV2_30310.1, SBOV2_30310.4
OG0000322	TREG1_37740.1	SBOV2_39740.2, SBOV2_39740.1, SBOV2_39740.4, SBOV2_39740.5, SBOV2_39740.7, SBOV2_39740.8, SBOV2_39740.3, SBOV2_39740.6
OG0000323	TREG1_4830.1, TREG1_4830.2	SBOV2_1680.1, SBOV2_1680.2, SBOV2_1680.3
OG0000324	TREG1_71600.1	SBOV2_48810.10, SBOV2_48810.7, SBOV2_48810.11, SBOV2_48810.9, SBOV2_48810.2, SBOV2_48810.8, SBOV2_48810.3, SBOV2_48810.1, SBOV2_48810.4, SBOV2_48810.5, SBOV2_48810.6, SBOV2_48810.12, SBOV2_48810.13, SBOV2_48810.14, SBOV2_48810.15
OG0000325	TREG1_136530.1, TREG1_32460.1, TREG1_109280.1, TREG1_109280.2, TREG1_109280.5, TREG1_109280.3, TREG1_109280.4, TREG1_109280.7, TREG1_109280.6	SBOV2_79610.7, SBOV2_79610.4, SBOV2_79610.6, SBOV2_79610.3, SBOV2_79610.5, SBOV2_79610.2, SBOV2_79610.1
OG0000326	TREG1_84670.1, TREG1_84670.7, TREG1_84670.8, TREG1_84670.2, TREG1_84670.6, TREG1_84670.3, TREG1_84670.4	SBOV2_59020.1, SBOV2_59020.4, SBOV2_59020.3, SBOV2_59020.7, SBOV2_59020.2, SBOV2_59020.5, SBOV2_59020.6
OG0000327	TREG1_103080.1, TREG1_103080.2, TREG1_103080.4, TREG1_103080.6, TREG1_103080.7, TREG1_103080.3, TREG1_103080.5, TREG1_103110.1	SBOV2_69860.2, SBOV2_69860.3, SBOV2_69870.1, SBOV2_69870.2, SBOV2_69870.5, SBOV2_69870.6, SBOV2_69870.3, SBOV2_69870.4, SBOV2_69860.1
OG0000328	TREG1_48450.1, TREG1_48440.1	SBOV2_39100.1
OG0000329	TREG1_29730.1, TREG1_71570.1	SBOV2_14150.1, SBOV2_14150.2, SBOV2_14150.5, SBOV2_14150.3, SBOV2_14150.8, SBOV2_14150.9, SBOV2_14150.7, SBOV2_14150.6, SBOV2_14150.4
OG0000332	TREG1_91160.7, TREG1_91160.2, TREG1_91160.3, TREG1_91160.5, TREG1_91160.6, TREG1_91160.1, TREG1_91160.4	SBOV2_65730.1
OG0000333	TREG1_4080.1	SBOV2_6170.4, SBOV2_6170.3, SBOV2_6170.6, SBOV2_6170.1, SBOV2_6170.2, SBOV2_6170.5
OG0000334	TREG1_98710.4, TREG1_98710.1, TREG1_98710.3, TREG1_98710.2, TREG1_98730.1, TREG1_98730.2, TREG1_98730.3, TREG1_98730.4	SBOV2_73650.1, SBOV2_73640.1
OG0000335	TREG1_98160.1, TREG1_98160.2, TREG1_98160.3, TREG1_98160.4, TREG1_98160.5	SBOV2_2440.4, SBOV2_2440.6, SBOV2_2440.3, SBOV2_2440.2, SBOV2_2440.1, SBOV2_2440.5, SBOV2_2440.7, SBOV2_2440.8
OG0000336	TREG1_18780.1, TREG1_18780.2	SBOV2_4460.1
OG0000336	TREG1_15850.1	SBOV2_17400.1
OG0000337	TREG1_67760.1	SBOV2_52000.1
OG0000339	TREG1_52490.1	SBOV2_37090.1, SBOV2_37090.2, SBOV2_37100.1
OG0000340	TREG1_134680.1, TREG1_134680.2	SBOV2_94970.1
OG0000340	TREG1_134680.4, TREG1_134680.5, TREG1_134680.6, TREG1_134680.7	SBOV2_94970.3, SBOV2_94970.7, SBOV2_94970.5, SBOV2_94970.6, SBOV2_94970.4, SBOV2_94970.2
OG0000341	TREG1_142040.1	SBOV2_49860.1
OG0000342	TREG1_21320.1	SBOV2_18300.1
OG0000342	TREG1_18640.3, TREG1_18640.2, TREG1_18640.4, TREG1_18640.1	SBOV2_4730.1
OG0000343	TREG1_47810.1, TREG1_49530.1	SBOV2_35000.6, SBOV2_35000.7, SBOV2_35000.3, SBOV2_35000.4, SBOV2_35000.5
OG0000344	TREG1_18580.1, TREG1_18580.2, TREG1_18580.4, TREG1_18580.3	SBOV2_5990.1, SBOV2_5990.2, SBOV2_5990.3, SBOV2_5990.4
OG0000345	TREG1_75800.1	SBOV2_55690.2, SBOV2_55690.1
OG0000346	TREG1_48770.1	SBOV2_39290.1
OG0000346	TREG1_131810.1	SBOV2_91740.1, SBOV2_91740.2, SBOV2_91740.3
OG0000347	TREG1_52420.1, TREG1_52420.2, TREG1_52410.1	SBOV2_37150.3, SBOV2_37150.1, SBOV2_37150.4, SBOV2_37150.5, SBOV2_37150.6, SBOV2_37150.2
OG0000348	TREG1_11350.1, TREG1_11370.1, TREG1_11320.1, TREG1_11360.1, TREG1_11330.1, TREG1_11340.1	SBOV2_5660.4, SBOV2_5660.3, SBOV2_5660.5, SBOV2_5660.8, SBOV2_5660.1, SBOV2_5660.6, SBOV2_5660.2, SBOV2_5660.7
OG0000349	TREG1_13460.1, TREG1_13460.2, TREG1_13460.3, TREG1_13460.4, TREG1_13460.5, TREG1_13460.6	SBOV2_890.13, SBOV2_890.15, SBOV2_890.10, SBOV2_890.14, SBOV2_890.11, SBOV2_890.12, SBOV2_890.1, SBOV2_890.17, SBOV2_890.8, SBOV2_890.2, SBOV2_890.7, SBOV2_890.6, SBOV2_890.5, SBOV2_890.9, SBOV2_890.16, SBOV2_890.3, SBOV2_890.4
OG0000350	TREG1_39710.1, TREG1_39700.1	SBOV2_29060.12, SBOV2_29060.13, SBOV2_29060.16, SBOV2_29060.17, SBOV2_29060.1, SBOV2_29060.6, SBOV2_29060.9, SBOV2_29060.2, SBOV2_29060.3, SBOV2_29060.8, SBOV2_29060.7, SBOV2_29060.5, SBOV2_29060.11, SBOV2_29060.4, SBOV2_29060.18, SBOV2_29060.14, SBOV2_29060.10, SBOV2_29060.15
OG0000351	TREG1_20310.10, TREG1_20380.1, TREG1_20310.11, TREG1_20310.8, TREG1_20310.7, TREG1_20310.9	SBOV2_9080.1, SBOV2_9080.6, SBOV2_9080.10, SBOV2_9080.5, SBOV2_9080.2, SBOV2_9080.9, SBOV2_9080.7, SBOV2_9080.4, SBOV2_9080.3, SBOV2_9080.8
OG0000352	TREG1_36800.1, TREG1_36800.4, TREG1_36800.3, TREG1_36800.2	SBOV2_32600.6, SBOV2_32600.5, SBOV2_32600.7, SBOV2_32600.8, SBOV2_32600.1, SBOV2_32600.2, SBOV2_32600.3, SBOV2_32600.4, SBOV2_32600.9
OG0000353	TREG1_95410.1	SBOV2_70190.1
OG0000354	TREG1_20320.1, TREG1_20310.2, TREG1_20310.1, TREG1_20310.3	SBOV2_3000.1
OG0000355	TREG1_3480.1, TREG1_3480.2, TREG1_3480.3, TREG1_3480.4, TREG1_3480.5, TREG1_3480.6, TREG1_3480.7, TREG1_3480.8, TREG1_3480.9	SBOV2_7560.4, SBOV2_7600.1, SBOV2_7560.2, SBOV2_7560.3, SBOV2_7560.1, SBOV2_7560.6, SBOV2_7560.7, SBOV2_7560.9, SBOV2_7560.5, SBOV2_7560.8, SBOV2_54750.1
OG0000356	TREG1_8390.3, TREG1_8390.4, TREG1_8390.1, TREG1_8390.2	SBOV2_6680.5, SBOV2_6680.2, SBOV2_6680.1, SBOV2_6680.4, SBOV2_6680.7, SBOV2_6680.8, SBOV2_6680.10, SBOV2_6680.3, SBOV2_6680.6, SBOV2_6680.9
OG0000357	TREG1_42310.2, TREG1_42310.3, TREG1_42310.5, TREG1_42310.1, TREG1_42310.4	SBOV2_41910.12, SBOV2_41910.5, SBOV2_41910.14, SBOV2_41910.6, SBOV2_41910.11, SBOV2_41910.13, SBOV2_41910.3, SBOV2_41910.15, SBOV2_41910.2, SBOV2_41910.1, SBOV2_41910.10, SBOV2_41910.4, SBOV2_41910.9, SBOV2_41910.8, SBOV2_41910.7
OG0000358	TREG1_85840.1, TREG1_89150.1, TREG1_87450.1, TREG1_144940.1, TREG1_144930.1, TREG1_144940.2, TREG1_87430.1, TREG1_87440.1, TREG1_87440.2, TREG1_85830.7, TREG1_85830.6, TREG1_85830.4, TREG1_85830.1, TREG1_85830.2, TREG1_85830.3, TREG1_85850.1, TREG1_85850.2, TREG1_85830.5	SBOV2_64300.1, SBOV2_64290.1
OG0000359	TREG1_16940.2, TREG1_16940.5, TREG1_16940.1, TREG1_16940.8, TREG1_16940.7, TREG1_16940.3, TREG1_16940.4, TREG1_16940.6	SBOV2_15500.9, SBOV2_15500.4, SBOV2_15500.3, SBOV2_15500.5, SBOV2_15500.1, SBOV2_15500.2, SBOV2_15500.7, SBOV2_15500.8, SBOV2_15500.6
OG0000360	TREG1_23420.1	SBOV2_19210.1, SBOV2_19210.6, SBOV2_19210.3, SBOV2_19210.5, SBOV2_19210.4, SBOV2_19210.2
OG0000361	TREG1_75320.1, TREG1_75320.4, TREG1_75320.6, TREG1_75320.7, TREG1_75320.5, TREG1_75320.9, TREG1_75320.2, TREG1_75320.8, TREG1_75320.3	SBOV2_48400.2, SBOV2_48400.3, SBOV2_48400.4, SBOV2_48400.5, SBOV2_48400.1, SBOV2_48400.6, SBOV2_48400.7, SBOV2_48400.8
OG0000362	TREG1_83110.2, TREG1_83110.3, TREG1_83110.4, TREG1_83110.1	SBOV2_61850.2, SBOV2_61850.1, SBOV2_61850.5, SBOV2_61850.3, SBOV2_61850.4, SBOV2_61850.6
OG0000363	TREG1_42690.1	SBOV2_42250.3, SBOV2_42250.7, SBOV2_42250.2, SBOV2_42250.4, SBOV2_42250.6, SBOV2_42250.1, SBOV2_42250.5
OG0000364	TREG1_43540.1, TREG1_23020.1, TREG1_23010.1	SBOV2_25590.3, SBOV2_25590.5, SBOV2_25590.1, SBOV2_25590.2, SBOV2_25590.4
OG0000365	TREG1_78670.1, TREG1_38430.1	SBOV2_57990.1, SBOV2_58000.5, SBOV2_58000.7, SBOV2_58000.6, SBOV2_58000.1, SBOV2_58000.3, SBOV2_58000.4, SBOV2_58000.2
OG0000366	TREG1_71630.1	SBOV2_48780.6, SBOV2_48780.7, SBOV2_48780.12, SBOV2_48780.1, SBOV2_48780.10, SBOV2_48780.8, SBOV2_48780.3, SBOV2_48780.4, SBOV2_48780.9, SBOV2_48780.2, SBOV2_48780.11, SBOV2_48780.5, SBOV2_48780.13, SBOV2_48780.14, SBOV2_48780.15
OG0000367	TREG1_54120.1	SBOV2_35770.8, SBOV2_35770.10, SBOV2_35770.7, SBOV2_35770.5, SBOV2_35770.4, SBOV2_35770.1, SBOV2_35770.3, SBOV2_35770.2, SBOV2_35770.6, SBOV2_35770.11, SBOV2_35770.9, SBOV2_35770.12, SBOV2_35770.13
OG0000368	TREG1_16350.1	SBOV2_18520.14, SBOV2_18520.2, SBOV2_18520.3, SBOV2_18520.12, SBOV2_18520.8, SBOV2_18520.5, SBOV2_18520.13, SBOV2_18520.11, SBOV2_18520.7, SBOV2_18520.9, SBOV2_18520.1, SBOV2_18520.6, SBOV2_18520.10, SBOV2_18520.4
OG0000369	TREG1_30930.1, TREG1_30930.3, TREG1_30930.6, TREG1_30930.4, TREG1_30930.5, TREG1_30930.2, TREG1_30940.3, TREG1_30940.1, TREG1_30940.4, TREG1_30940.5, TREG1_30940.2, TREG1_30940.6, TREG1_30940.7	SBOV2_3720.1, SBOV2_3720.11, SBOV2_3720.3, SBOV2_3720.14, SBOV2_3720.5, SBOV2_3720.7, SBOV2_3720.2, SBOV2_3720.10, SBOV2_3720.12, SBOV2_3720.13, SBOV2_3720.4, SBOV2_3720.8, SBOV2_3720.9, SBOV2_3720.6
OG0000370	TREG1_136150.1, TREG1_41380.10, TREG1_41380.4, TREG1_41380.6, TREG1_41380.7, TREG1_41380.8, TREG1_41380.9, TREG1_41380.1, TREG1_41380.5, TREG1_41380.12, TREG1_41380.2, TREG1_41380.3, TREG1_41380.11	SBOV2_28060.1
OG0000371	TREG1_44720.1	SBOV2_29170.2, SBOV2_29170.1, SBOV2_29170.3
OG0000372	TREG1_119190.1	SBOV2_9640.1, SBOV2_9640.2
OG0000372	TREG1_3300.1, TREG1_3310.1, TREG1_3310.2	SBOV2_9620.1, SBOV2_9620.2, SBOV2_9620.3
OG0000373	TREG1_76160.1, TREG1_76170.1	SBOV2_12600.4, SBOV2_12600.6, SBOV2_12600.9, SBOV2_12600.3, SBOV2_12600.5, SBOV2_12600.8, SBOV2_12600.2, SBOV2_12600.7, SBOV2_12600.1
OG0000374	TREG1_33890.1	SBOV2_26320.4, SBOV2_26320.1, SBOV2_26320.5, SBOV2_26320.6, SBOV2_26320.2, SBOV2_26320.3
OG0000375	TREG1_4630.1	SBOV2_4520.10, SBOV2_4520.9, SBOV2_4520.2, SBOV2_4520.8, SBOV2_4520.3, SBOV2_4520.6, SBOV2_4520.4, SBOV2_4520.1, SBOV2_4520.5, SBOV2_4520.7
OG0000376	TREG1_86950.1, TREG1_86950.3, TREG1_86950.2, TREG1_86950.4	SBOV2_60220.3, SBOV2_60220.1, SBOV2_60220.2, SBOV2_60220.4
OG0000377	TREG1_64670.1, TREG1_64670.2, TREG1_64670.3, TREG1_64670.4, TREG1_64670.6, TREG1_64670.5	SBOV2_53730.3, SBOV2_53730.2, SBOV2_53730.1
OG0000378	TREG1_60280.7, TREG1_60330.1, TREG1_60280.6, TREG1_60280.5, TREG1_60280.3, TREG1_60280.8, TREG1_60280.4	SBOV2_23960.1, SBOV2_23960.2, SBOV2_23960.3
OG0000379	TREG1_145270.1, TREG1_106510.1, TREG1_61170.1, TREG1_74960.1, TREG1_48500.1, TREG1_10670.1	SBOV2_65250.1, SBOV2_95270.1, SBOV2_95860.1, SBOV2_21570.1, SBOV2_54710.1
OG0000380	TREG1_28590.1	SBOV2_21070.1
OG0000381	TREG1_75450.1, TREG1_75450.2, TREG1_75450.4, TREG1_75450.3	SBOV2_52480.5, SBOV2_52480.1, SBOV2_52480.4, SBOV2_52480.2, SBOV2_52480.3, SBOV2_52480.7
OG0000381	TREG1_75470.1, TREG1_75470.2	SBOV2_52470.1
OG0000382	TREG1_125760.1	SBOV2_88530.1
OG0000382	TREG1_127240.1, TREG1_127190.1, TREG1_127200.1, TREG1_127210.1, TREG1_127250.1	SBOV2_88420.1, SBOV2_88430.1, SBOV2_88440.1
OG0000383	TREG1_38350.1, TREG1_45960.1	SBOV2_29570.1, SBOV2_29570.2
OG0000384	TREG1_41840.5, TREG1_41840.6, TREG1_41840.7, TREG1_41840.8	SBOV2_35660.1, SBOV2_35690.1
OG0000385	TREG1_83150.1	SBOV2_61810.1, SBOV2_61820.1
OG0000386	TREG1_29830.1	SBOV2_20490.1, SBOV2_20490.2
OG0000387	TREG1_19140.1	SBOV2_2910.6, SBOV2_2910.8, SBOV2_2910.9, SBOV2_2910.1, SBOV2_2910.3, SBOV2_2910.7, SBOV2_2910.4, SBOV2_2910.2, SBOV2_2910.5, SBOV2_96140.8, SBOV2_96140.10, SBOV2_96140.11, SBOV2_96140.7, SBOV2_96140.9, SBOV2_96150.1, SBOV2_96140.1, SBOV2_96140.6, SBOV2_96140.5, SBOV2_96140.4, SBOV2_96140.2, SBOV2_96140.3
OG0000388	TREG1_125560.1	SBOV2_88060.4, SBOV2_88060.1, SBOV2_88060.2, SBOV2_88060.6, SBOV2_88060.7, SBOV2_88060.3, SBOV2_88060.5
OG0000389	TREG1_102530.1, TREG1_102550.1	SBOV2_72750.4, SBOV2_72750.9, SBOV2_72750.7, SBOV2_72750.2, SBOV2_72750.8, SBOV2_72750.3, SBOV2_72750.1, SBOV2_72750.5, SBOV2_72750.6
OG0000390	TREG1_110350.1, TREG1_137190.3, TREG1_137190.1, TREG1_137190.2	SBOV2_82360.1
OG0000391	TREG1_15600.1	SBOV2_13620.1, SBOV2_13620.2, SBOV2_13620.4, SBOV2_13620.3, SBOV2_13620.5
OG0000392	TREG1_84430.1, TREG1_84430.3, TREG1_84430.4, TREG1_84430.7, TREG1_84430.5, TREG1_84430.6, TREG1_84430.2	SBOV2_61300.4, SBOV2_61300.2, SBOV2_61300.1, SBOV2_61300.3
OG0000393	TREG1_61530.13, TREG1_61530.10, TREG1_61530.15, TREG1_61530.12, TREG1_61530.6, TREG1_61530.1, TREG1_61530.11, TREG1_61530.3, TREG1_61530.5, TREG1_61530.4, TREG1_61530.9, TREG1_61530.7, TREG1_61530.8, TREG1_61530.14, TREG1_61530.2	SBOV2_44880.2, SBOV2_44880.5, SBOV2_44880.8, SBOV2_44880.1, SBOV2_44880.3, SBOV2_44880.4, SBOV2_44880.6, SBOV2_44880.7
OG0000394	TREG1_88460.1, TREG1_88460.2, TREG1_88460.3, TREG1_88460.5, TREG1_88460.6, TREG1_88460.7, TREG1_88460.4	SBOV2_60700.1, SBOV2_60700.3, SBOV2_60700.2, SBOV2_60700.7, SBOV2_60700.4, SBOV2_60700.5, SBOV2_60700.6
OG0000395	TREG1_101230.1	SBOV2_78590.1
OG0000396	TREG1_12380.1, TREG1_12380.2, TREG1_12380.3, TREG1_12380.4	SBOV2_4480.3, SBOV2_4480.5, SBOV2_4480.1, SBOV2_4480.2, SBOV2_4480.4, SBOV2_4480.6, SBOV2_4480.7
OG0000397	TREG1_109600.1	SBOV2_78330.1, SBOV2_78330.2, SBOV2_78330.3, SBOV2_78330.4, SBOV2_78330.6, SBOV2_78330.5
OG0000398	TREG1_22530.2, TREG1_22530.3, TREG1_22530.4, TREG1_22530.1, TREG1_22530.5	SBOV2_19290.1
OG0000398	TREG1_29320.1, TREG1_142440.1, TREG1_29330.2, TREG1_29330.3, TREG1_29330.1, TREG1_29330.4	SBOV2_21960.1, SBOV2_21920.1
OG0000399	TREG1_37320.6	SBOV2_39470.1, SBOV2_39460.1
OG0000399	TREG1_37320.7	SBOV2_39470.2
OG0000399	TREG1_37320.3, TREG1_37320.2, TREG1_37320.4, TREG1_37320.1	SBOV2_39480.1
OG0000400	TREG1_31840.1, TREG1_31830.1, TREG1_31830.2	SBOV2_44810.1
OG0000400	TREG1_31310.1	SBOV2_43910.1
OG0000401	TREG1_134800.1, TREG1_134800.2, TREG1_134800.3, TREG1_134800.4, TREG1_134800.5	SBOV2_93690.1
OG0000402	TREG1_20720.2, TREG1_20720.1, TREG1_20720.4, TREG1_20720.6, TREG1_20720.3, TREG1_20720.5	SBOV2_11090.2, SBOV2_11090.3, SBOV2_11090.6, SBOV2_11090.5, SBOV2_11090.1, SBOV2_11090.4
OG0000403	TREG1_13050.1	SBOV2_3230.1, SBOV2_3240.1, SBOV2_3240.2, SBOV2_3240.4, SBOV2_3240.5, SBOV2_3240.6, SBOV2_3240.3, SBOV2_3240.7, SBOV2_3240.8
OG0000404	TREG1_115150.1, TREG1_115100.1, TREG1_115100.2	SBOV2_83280.2, SBOV2_83280.1, SBOV2_83280.3, SBOV2_80930.1, SBOV2_80930.2, SBOV2_80950.1, SBOV2_80940.1
OG0000405	TREG1_40120.1	SBOV2_29930.1, SBOV2_29930.2, SBOV2_29930.4, SBOV2_29930.7, SBOV2_29930.8, SBOV2_29930.3, SBOV2_29930.5, SBOV2_29930.6
OG0000406	TREG1_43020.1, TREG1_43020.2, TREG1_43020.3, TREG1_43020.4	SBOV2_29100.2, SBOV2_29100.5, SBOV2_29100.1, SBOV2_29100.3, SBOV2_29100.6, SBOV2_29100.7, SBOV2_29100.4
OG0000407	TREG1_83080.1, TREG1_83080.2, TREG1_83080.5, TREG1_83080.6, TREG1_83080.4, TREG1_83080.8, TREG1_83080.3, TREG1_83080.7	SBOV2_61870.2, SBOV2_61870.3, SBOV2_61870.1, SBOV2_61870.4, SBOV2_61870.5
OG0000408	TREG1_38460.1	SBOV2_41040.3, SBOV2_41040.1, SBOV2_41040.2, SBOV2_41040.4
OG0000409	TREG1_122350.3, TREG1_122350.5, TREG1_122350.7, TREG1_122350.2, TREG1_122350.4, TREG1_122350.1, TREG1_122350.6	SBOV2_87270.11, SBOV2_87270.1, SBOV2_87270.5, SBOV2_87270.9, SBOV2_87270.2, SBOV2_87270.4, SBOV2_87270.10, SBOV2_87270.6, SBOV2_87270.8, SBOV2_87270.3, SBOV2_87270.7
OG0000410	TREG1_142270.1, TREG1_144130.1, TREG1_144130.2, TREG1_144130.3, TREG1_144130.4, TREG1_144130.7, TREG1_144130.5, TREG1_144130.6, TREG1_144130.8, TREG1_94130.1, TREG1_58360.1, TREG1_94020.1, TREG1_94100.1, TREG1_94110.2, TREG1_94110.4, TREG1_94110.1, TREG1_94060.3, TREG1_143030.1, TREG1_94110.3	SBOV2_68580.2, SBOV2_68580.1, SBOV2_68580.3, SBOV2_68580.4
OG0000411	TREG1_32870.1, TREG1_32870.2, TREG1_32870.3, TREG1_32880.1	SBOV2_40390.1
OG0000412	TREG1_102170.3, TREG1_102170.1, TREG1_102170.2	SBOV2_71410.1, SBOV2_71410.2, SBOV2_71410.3
OG0000414	TREG1_101560.1, TREG1_101560.2, TREG1_101570.1, TREG1_101570.2, TREG1_101570.3, TREG1_101570.4	SBOV2_10550.1, SBOV2_10550.8, SBOV2_10550.2, SBOV2_10550.5, SBOV2_10550.7, SBOV2_10550.6, SBOV2_10550.3, SBOV2_10550.4
OG0000415	TREG1_50470.2, TREG1_50470.4, TREG1_50470.1, TREG1_50470.3, TREG1_50470.5	SBOV2_36830.2, SBOV2_36830.1, SBOV2_36830.6, SBOV2_36830.3, SBOV2_36830.4, SBOV2_36830.5
OG0000416	TREG1_121240.1, TREG1_121240.2	SBOV2_86620.1
OG0000416	TREG1_124920.1	SBOV2_90360.1
OG0000416	TREG1_121250.1	SBOV2_86610.1
OG0000417	TREG1_70100.1, TREG1_70210.4, TREG1_70210.1, TREG1_70210.2, TREG1_70210.3	SBOV2_53390.1, SBOV2_53390.2
OG0000418	TREG1_136250.1, TREG1_136260.1	SBOV2_93300.10, SBOV2_93300.5, SBOV2_93300.6, SBOV2_93300.9, SBOV2_93300.1, SBOV2_93300.2, SBOV2_93300.3, SBOV2_93300.4, SBOV2_93300.7, SBOV2_93300.8
OG0000419	TREG1_8370.4, TREG1_8370.1, TREG1_8370.2, TREG1_8370.3	SBOV2_6030.13, SBOV2_6030.1, SBOV2_6030.10, SBOV2_6030.2, SBOV2_6030.3, SBOV2_6030.4, SBOV2_6030.6, SBOV2_6030.7, SBOV2_6030.8, SBOV2_6030.9, SBOV2_6030.12, SBOV2_6030.11, SBOV2_6030.5
OG0000420	TREG1_61410.1, TREG1_61420.1	SBOV2_44980.1
OG0000421	TREG1_91560.1	SBOV2_66820.1, SBOV2_66820.2, SBOV2_66820.5, SBOV2_66820.6, SBOV2_66820.3, SBOV2_66820.4, SBOV2_66820.7
OG0000422	TREG1_69830.4, TREG1_69830.5, TREG1_69830.6, TREG1_69830.1, TREG1_69830.2, TREG1_69830.3	SBOV2_49390.3, SBOV2_49390.5, SBOV2_49390.4, SBOV2_49390.1, SBOV2_49390.6, SBOV2_49390.2, SBOV2_49390.7
OG0000423	TREG1_34270.6, TREG1_34270.2, TREG1_34270.3, TREG1_34270.4, TREG1_34270.1, TREG1_34270.5	SBOV2_29750.1
OG0000425	TREG1_26130.2, TREG1_26070.2, TREG1_26070.12, TREG1_26070.8, TREG1_26070.13, TREG1_26120.1, TREG1_26130.6, TREG1_26130.7, TREG1_26130.8, TREG1_26130.1, TREG1_26070.10, TREG1_26070.11, TREG1_26070.14, TREG1_26070.15, TREG1_3080.1, TREG1_28760.1, TREG1_138110.5, TREG1_138110.4, TREG1_138110.3, TREG1_26070.4, TREG1_26130.9, TREG1_138110.2, TREG1_138110.1, TREG1_26050.1, TREG1_26070.9, TREG1_26080.1, TREG1_26070.1, TREG1_26070.3	SBOV2_38140.3, SBOV2_38140.1, SBOV2_38140.4, SBOV2_38140.2
OG0000426	TREG1_71170.5, TREG1_71170.1, TREG1_71130.1, TREG1_71140.1, TREG1_71150.1, TREG1_71170.3, TREG1_71170.4, TREG1_71170.2, TREG1_71180.1, TREG1_71190.1, TREG1_71190.2	SBOV2_51200.2, SBOV2_51200.1, SBOV2_51190.2, SBOV2_51190.3, SBOV2_51190.1, SBOV2_51180.1
OG0000427	TREG1_73850.4, TREG1_73850.7, TREG1_73850.2, TREG1_73850.3, TREG1_73850.1, TREG1_73850.5, TREG1_73850.6	SBOV2_52380.1
OG0000428	TREG1_56160.1	SBOV2_25750.6, SBOV2_25750.7, SBOV2_25750.2, SBOV2_25750.5, SBOV2_25750.3, SBOV2_25750.1, SBOV2_25750.4
OG0000429	TREG1_131460.1, TREG1_131460.2	SBOV2_91660.1
OG0000429	TREG1_36080.1	SBOV2_44500.1
OG0000430	TREG1_44550.1, TREG1_44550.2	SBOV2_35310.5, SBOV2_35310.6, SBOV2_35310.1, SBOV2_35310.4, SBOV2_35310.2, SBOV2_35310.3
OG0000431	TREG1_75340.3, TREG1_75340.6, TREG1_75340.1, TREG1_75340.2, TREG1_75340.4, TREG1_75340.5	SBOV2_48380.2, SBOV2_48380.1, SBOV2_48380.3, SBOV2_48380.6, SBOV2_48380.4, SBOV2_48380.5
OG0000432	TREG1_133890.1, TREG1_133890.2, TREG1_133890.3	SBOV2_92960.1, SBOV2_92960.4, SBOV2_92960.6, SBOV2_92960.2, SBOV2_92960.3, SBOV2_92960.5
OG0000433	TREG1_40710.2, TREG1_40710.3, TREG1_40710.4, TREG1_40720.1	SBOV2_27580.6, SBOV2_27580.1, SBOV2_27580.7, SBOV2_27580.2, SBOV2_27580.3, SBOV2_27580.4, SBOV2_27580.5
OG0000434	TREG1_130170.2, TREG1_130170.4, TREG1_130170.1, TREG1_130170.3, TREG1_130170.5, TREG1_130170.6	SBOV2_92450.1, SBOV2_92450.3, SBOV2_92450.5, SBOV2_92450.4, SBOV2_92450.7, SBOV2_92450.6, SBOV2_92450.2
OG0000435	TREG1_75120.1	SBOV2_50940.2, SBOV2_50940.7, SBOV2_50940.1, SBOV2_50940.3, SBOV2_50940.4, SBOV2_50940.6, SBOV2_50940.9, SBOV2_50940.5, SBOV2_50940.10, SBOV2_50940.11, SBOV2_50940.8
OG0000436	TREG1_31530.1	SBOV2_25140.2, SBOV2_25140.5, SBOV2_25140.6, SBOV2_25140.4, SBOV2_25140.1, SBOV2_25140.3
