Orthogroup	trichobilharzia_regenti	schistosoma_intercalatum
OG0001131	TREG1_97100.1	SINT1_73000.1
OG0001131	TREG1_143210.1, TREG1_143200.1, TREG1_143220.1, TREG1_143230.1, TREG1_143240.1, TREG1_97060.1, TREG1_97080.1, TREG1_97070.1	SINT1_72990.1
OG0001132	TREG1_115320.2, TREG1_115320.3, TREG1_115320.4, TREG1_115320.1	SINT1_81800.1, SINT1_81800.4, SINT1_81800.8, SINT1_81800.7, SINT1_81800.2, SINT1_81800.3, SINT1_81800.5, SINT1_81800.6, SINT1_81800.9
OG0001133	TREG1_25860.1	SINT1_94450.1, SINT1_94450.2
OG0001133	TREG1_20470.1	SINT1_16090.1
OG0001134	TREG1_87810.1	SINT1_64860.1, SINT1_64860.3, SINT1_64860.2, SINT1_64860.4
OG0001135	TREG1_50400.4, TREG1_50400.2, TREG1_50400.1, TREG1_50400.3	SINT1_34500.1, SINT1_34500.3, SINT1_34500.2, SINT1_34500.4
OG0001136	TREG1_59980.1, TREG1_59980.2, TREG1_59980.3, TREG1_59990.1	SINT1_23790.1
OG0001137	TREG1_139860.1, TREG1_139860.2	SINT1_53440.1, SINT1_53440.2, SINT1_53440.3
OG0001138	TREG1_21460.1, TREG1_21460.3, TREG1_21460.2	SINT1_20660.2, SINT1_20660.1
OG0001139	TREG1_112020.1, TREG1_47470.2, TREG1_47470.3, TREG1_47470.1	SINT1_37270.1, SINT1_37270.2, SINT1_37270.3
OG0001140	TREG1_62220.4, TREG1_62220.5, TREG1_62220.6, TREG1_62210.1, TREG1_62220.1, TREG1_62220.2, TREG1_62220.3	SINT1_46310.1
OG0001141	TREG1_97590.1, TREG1_97590.2	SINT1_78680.1, SINT1_78680.2, SINT1_78670.1
OG0001142	TREG1_10750.2, TREG1_10750.1, TREG1_10750.3	SINT1_13200.1, SINT1_13200.3, SINT1_13200.4, SINT1_13200.2, SINT1_13180.1, SINT1_13180.2
OG0001143	TREG1_86480.1	SINT1_62510.3, SINT1_62510.4, SINT1_62510.1, SINT1_62510.2, SINT1_62510.5, SINT1_62510.6
OG0001144	TREG1_44420.6, TREG1_44420.7, TREG1_44430.1, TREG1_44430.3, TREG1_44430.4, TREG1_44430.5, TREG1_44430.2, TREG1_44420.2, TREG1_44420.5, TREG1_44420.4, TREG1_44420.1, TREG1_44420.3	SINT1_36110.1, SINT1_36110.2, SINT1_36110.3
OG0001145	TREG1_88010.1	SINT1_65020.1
OG0001146	TREG1_12690.10, TREG1_12690.1, TREG1_12690.2, TREG1_12690.6, TREG1_12690.8, TREG1_12690.9, TREG1_12690.3, TREG1_12690.7, TREG1_12690.4, TREG1_12690.5	SINT1_4350.1, SINT1_4350.2
OG0001147	TREG1_19510.1, TREG1_19520.1, TREG1_19520.4, TREG1_19520.5, TREG1_19520.8, TREG1_19520.2, TREG1_19520.3, TREG1_19520.6, TREG1_19520.7	SINT1_7730.3, SINT1_7730.4, SINT1_7730.6, SINT1_7730.2, SINT1_7730.5, SINT1_7730.1, SINT1_7730.7
OG0001148	TREG1_103130.3, TREG1_103130.5, TREG1_103130.1, TREG1_103130.2, TREG1_103130.4, TREG1_103130.6	SINT1_69880.1
OG0001149	TREG1_98130.3, TREG1_98130.1, TREG1_98130.2	SINT1_77000.1, SINT1_77000.2
OG0001150	TREG1_66690.1, TREG1_66690.2, TREG1_66690.3, TREG1_66690.4	SINT1_51940.2, SINT1_51940.1, SINT1_51940.3
OG0001151	TREG1_127740.1, TREG1_127750.1, TREG1_127860.1, TREG1_127860.2, TREG1_127860.3	SINT1_88230.1
OG0001152	TREG1_29990.1, TREG1_30000.1	SINT1_12930.1, SINT1_12930.2
OG0001153	TREG1_94260.1, TREG1_94260.2	SINT1_68530.3, SINT1_68530.1, SINT1_68530.4, SINT1_68530.2, SINT1_68530.5
OG0001154	TREG1_40680.3, TREG1_40680.4, TREG1_40680.2, TREG1_40680.1	SINT1_43980.7, SINT1_43980.3, SINT1_43980.2, SINT1_43990.1, SINT1_43980.4, SINT1_43970.1, SINT1_43980.5, SINT1_43980.1
OG0001155	TREG1_68260.1, TREG1_68260.2	SINT1_48410.1, SINT1_48410.2, SINT1_48410.3, SINT1_48410.4, SINT1_48410.5, SINT1_48410.6, SINT1_48410.7
OG0001156	TREG1_19570.1	SINT1_7670.1, SINT1_7670.2
OG0001157	TREG1_88480.1	SINT1_62540.1, SINT1_62540.2, SINT1_62540.3, SINT1_62540.4, SINT1_62540.6, SINT1_62540.5
OG0001158	TREG1_55850.1, TREG1_55850.2	SINT1_42350.1, SINT1_42350.2
OG0001159	TREG1_128050.1, TREG1_128050.2	SINT1_90620.1
OG0001160	TREG1_23610.3, TREG1_23610.1, TREG1_23610.2	SINT1_21410.3, SINT1_21410.4, SINT1_21410.1, SINT1_21410.5, SINT1_21410.2
OG0001161	TREG1_83180.1	SINT1_67850.1
OG0001161	TREG1_88120.1, TREG1_88120.2	SINT1_65130.1
OG0001162	TREG1_44070.1	SINT1_35720.1, SINT1_35720.3, SINT1_35720.4, SINT1_35720.2
OG0001163	TREG1_60640.1, TREG1_60660.1, TREG1_60690.1, TREG1_60700.1, TREG1_60650.1, TREG1_60730.1, TREG1_60740.1, TREG1_100430.1, TREG1_100430.2, TREG1_100430.3	SINT1_76060.1
OG0001164	TREG1_113370.12, TREG1_113370.16, TREG1_113370.1, TREG1_113370.14, TREG1_113370.11, TREG1_113370.17, TREG1_113370.3, TREG1_113370.15, TREG1_113370.6, TREG1_113370.4, TREG1_113370.7, TREG1_113370.10, TREG1_113370.13, TREG1_113370.8, TREG1_113370.9, TREG1_113370.2, TREG1_113370.5	SINT1_79660.1
OG0001165	TREG1_77970.1, TREG1_77970.2	SINT1_57440.4, SINT1_57440.1, SINT1_57440.5, SINT1_57440.2, SINT1_57440.3
OG0001166	TREG1_6260.1, TREG1_63960.1, TREG1_68490.1	SINT1_11140.1
OG0001167	TREG1_52580.1, TREG1_52570.1	SINT1_35710.2, SINT1_35710.4, SINT1_35710.1, SINT1_35710.3
OG0001168	TREG1_7970.1	SINT1_12710.1, SINT1_12710.2
OG0001169	TREG1_67900.1, TREG1_67900.2	SINT1_50090.2, SINT1_50090.8, SINT1_50090.1, SINT1_50090.7, SINT1_50090.10, SINT1_50090.5, SINT1_50090.9, SINT1_50090.11, SINT1_50090.6, SINT1_50090.3, SINT1_50090.4
OG0001170	TREG1_26830.1	SINT1_11510.1, SINT1_11510.2, SINT1_11510.3, SINT1_11510.4, SINT1_11510.5
OG0001171	TREG1_27790.3, TREG1_27790.4, TREG1_27790.1, TREG1_27790.2	SINT1_15600.1, SINT1_15600.2, SINT1_15600.5, SINT1_15600.3, SINT1_15600.4
OG0001172	TREG1_85400.1, TREG1_85400.2, TREG1_85400.4, TREG1_85400.3, TREG1_85400.5	SINT1_60210.1
OG0001173	TREG1_9990.1, TREG1_9990.2, TREG1_9990.3, TREG1_9990.4, TREG1_9990.5, TREG1_9990.6, TREG1_9990.7, TREG1_9990.8	SINT1_1650.2, SINT1_1650.1, SINT1_1650.3
OG0001174	TREG1_5920.10, TREG1_5920.8, TREG1_5920.1, TREG1_5920.2, TREG1_5920.7, TREG1_5920.9, TREG1_5920.3, TREG1_5920.4, TREG1_5920.5, TREG1_5920.6	SINT1_9910.1, SINT1_9910.2
OG0001175	TREG1_66790.1	SINT1_52050.1, SINT1_52050.2, SINT1_52050.3
OG0001176	TREG1_107700.1, TREG1_107700.2, TREG1_107700.3, TREG1_107700.4	SINT1_72470.1, SINT1_72470.2, SINT1_72470.3, SINT1_72470.4, SINT1_72470.5
OG0001177	TREG1_54580.11, TREG1_54580.10, TREG1_54580.4, TREG1_54580.6, TREG1_54580.7, TREG1_54580.8, TREG1_54580.9, TREG1_54580.1, TREG1_54580.3, TREG1_54580.5, TREG1_54580.2	SINT1_24930.2, SINT1_24930.3, SINT1_24930.1, SINT1_24920.1
OG0001178	TREG1_12900.1	SINT1_2540.1, SINT1_2530.1
OG0001178	TREG1_12890.1, TREG1_12890.4, TREG1_12890.2, TREG1_12890.3	SINT1_2520.1
OG0001179	TREG1_130470.1	SINT1_91610.4, SINT1_91610.10, SINT1_91610.8, SINT1_91610.6, SINT1_91610.5, SINT1_91610.7, SINT1_91610.1, SINT1_91610.3, SINT1_91610.2, SINT1_91610.9
OG0001180	TREG1_12050.1	SINT1_9480.1
OG0001181	TREG1_136840.1	SINT1_57470.1
OG0001182	TREG1_44230.3, TREG1_44230.1, TREG1_44230.2	SINT1_35950.3, SINT1_35950.4, SINT1_35950.1, SINT1_35950.2
OG0001183	TREG1_6270.1	SINT1_11200.1
OG0001184	TREG1_28640.1, TREG1_28640.2, TREG1_28640.4, TREG1_28640.3	SINT1_3450.4, SINT1_3450.1, SINT1_3450.2, SINT1_3450.3, SINT1_3450.5, SINT1_3450.6
OG0001185	TREG1_6240.1	SINT1_10830.1
OG0001186	TREG1_7670.1	SINT1_4890.1
OG0001187	TREG1_44100.1	SINT1_31400.5, SINT1_31400.6, SINT1_31400.1, SINT1_31400.2, SINT1_31400.4, SINT1_31400.3
OG0001188	TREG1_4220.1, TREG1_4220.2, TREG1_4220.3, TREG1_4220.4	SINT1_8000.3, SINT1_8000.4, SINT1_8000.1, SINT1_8000.2
OG0001189	TREG1_24740.3, TREG1_24740.1, TREG1_24740.2, TREG1_24740.4	SINT1_14470.1
OG0001190	TREG1_44460.4, TREG1_44460.9, TREG1_44460.5, TREG1_44460.6, TREG1_44460.7, TREG1_44460.8, TREG1_44460.1, TREG1_44460.2, TREG1_44460.3	SINT1_36130.1, SINT1_36130.2, SINT1_36130.3, SINT1_36130.6, SINT1_36130.4, SINT1_36130.5
OG0001191	TREG1_137570.1	SINT1_7020.1, SINT1_7020.3, SINT1_7020.4, SINT1_7020.5, SINT1_7020.2
OG0001192	TREG1_42320.1	SINT1_42720.1
OG0001193	TREG1_117400.1	SINT1_81290.2, SINT1_81290.1
OG0001194	TREG1_20460.1	SINT1_6450.1
OG0001197	TREG1_23910.1, TREG1_23910.2, TREG1_23910.3	SINT1_22170.1
OG0001198	TREG1_138850.1, TREG1_138850.2	SINT1_81010.1, SINT1_81010.2, SINT1_81010.3
OG0001199	TREG1_97400.1	SINT1_78620.1, SINT1_78830.1
OG0001202	TREG1_15110.1, TREG1_15110.2	SINT1_13610.1, SINT1_13610.2, SINT1_13610.3, SINT1_13610.4
OG0001203	TREG1_12810.1, TREG1_12810.2	SINT1_1320.1
OG0001203	TREG1_112200.1, TREG1_112200.2	SINT1_79570.1
OG0001204	TREG1_89640.1	SINT1_66050.1
OG0001205	TREG1_58370.1, TREG1_58380.1	SINT1_36350.1
OG0001208	TREG1_46000.1	SINT1_38130.2, SINT1_38130.1
OG0001209	TREG1_70980.2, TREG1_70980.1, TREG1_70980.3	SINT1_48640.3, SINT1_48640.1, SINT1_48640.2
OG0001210	TREG1_133420.1, TREG1_133420.2, TREG1_133420.3	SINT1_91490.1
OG0001211	TREG1_13510.1	SINT1_17690.2, SINT1_17690.1, SINT1_17690.3
OG0001212	TREG1_33310.1, TREG1_33310.2, TREG1_33310.3, TREG1_33410.1	SINT1_24570.1, SINT1_24570.2, SINT1_24570.3
OG0001213	TREG1_7480.1	SINT1_6840.1, SINT1_6840.2, SINT1_6840.5, SINT1_6840.3, SINT1_6840.4
OG0001214	TREG1_48360.1, TREG1_48360.2, TREG1_48360.3, TREG1_48360.4, TREG1_48360.5	SINT1_28540.1
OG0001215	TREG1_83220.1	SINT1_63400.2, SINT1_63400.4, SINT1_63400.5, SINT1_63400.6, SINT1_63400.1, SINT1_63400.3
OG0001216	TREG1_59680.1, TREG1_59680.2, TREG1_59680.3, TREG1_59680.4	SINT1_26790.1
OG0001217	TREG1_96240.1, TREG1_96240.2, TREG1_96240.3	SINT1_72120.2, SINT1_72120.1
OG0001218	TREG1_25740.1, TREG1_25740.2	SINT1_12590.1, SINT1_12590.2
OG0001219	TREG1_360.2, TREG1_360.1, TREG1_360.4, TREG1_360.3	SINT1_1120.3, SINT1_1120.1, SINT1_1120.2, SINT1_1120.4
OG0001220	TREG1_131710.3, TREG1_131710.1, TREG1_131710.2	SINT1_93230.1, SINT1_93230.2, SINT1_93230.3, SINT1_93230.4
OG0001221	TREG1_85470.1	SINT1_62170.1
OG0001222	TREG1_128320.1	SINT1_90370.1, SINT1_90370.2, SINT1_90370.3
OG0001223	TREG1_47740.1	SINT1_32750.1, SINT1_32750.2
OG0001224	TREG1_113380.3, TREG1_113380.1, TREG1_113380.2, TREG1_113380.4	SINT1_80870.1, SINT1_80870.2, SINT1_80870.4, SINT1_80870.3, SINT1_80870.6, SINT1_80870.7, SINT1_80870.5
OG0001225	TREG1_80510.1	SINT1_58560.10, SINT1_58560.11, SINT1_58560.12, SINT1_58560.6, SINT1_58560.4, SINT1_58560.8, SINT1_58560.1, SINT1_58560.3, SINT1_58560.5, SINT1_58560.2, SINT1_58560.7, SINT1_58560.9
OG0001226	TREG1_62900.1, TREG1_62910.1	SINT1_46100.1
OG0001227	TREG1_88370.1	SINT1_61600.1, SINT1_61600.2
OG0001228	TREG1_35910.1	SINT1_45000.1
OG0001229	TREG1_52470.1	SINT1_30570.1
OG0001230	TREG1_9170.1, TREG1_9170.2, TREG1_9170.3, TREG1_9170.6, TREG1_9170.4	SINT1_16970.1, SINT1_16970.2
OG0001231	TREG1_45720.1	SINT1_39490.1
OG0001232	TREG1_113320.1	SINT1_79610.1, SINT1_79610.2, SINT1_79620.1, SINT1_79630.1
OG0001233	TREG1_12130.1	SINT1_5940.1
OG0001234	TREG1_39200.1, TREG1_39200.2, TREG1_39200.3	SINT1_44220.3, SINT1_44220.4, SINT1_44220.2, SINT1_44220.5, SINT1_44220.1
OG0001235	TREG1_50160.1	SINT1_28940.1, SINT1_28930.1
OG0001236	TREG1_87540.6, TREG1_87540.8, TREG1_87540.2, TREG1_87540.3, TREG1_87540.4, TREG1_87540.5, TREG1_87540.7, TREG1_87540.1, TREG1_39620.1	SINT1_63120.1, SINT1_63120.2
OG0001237	TREG1_59570.1	SINT1_26750.1
OG0001237	TREG1_59490.1, TREG1_59440.1, TREG1_59480.1, TREG1_59450.1, TREG1_59460.1	SINT1_26700.2, SINT1_26700.3, SINT1_26700.4, SINT1_26700.1
OG0001238	TREG1_117540.1	SINT1_82410.1, SINT1_82410.4, SINT1_82410.3, SINT1_82410.5, SINT1_82410.2
OG0001239	TREG1_25710.1, TREG1_78370.1	SINT1_12610.1, SINT1_12610.2, SINT1_12610.3
OG0001240	TREG1_68970.4, TREG1_68970.7, TREG1_68970.2, TREG1_68970.1, TREG1_68970.3, TREG1_68970.5, TREG1_68970.6	SINT1_53920.1, SINT1_53920.2
OG0001241	TREG1_87340.1	SINT1_59370.1
OG0001241	TREG1_98690.1	SINT1_73480.1
OG0001242	TREG1_73920.1, TREG1_73920.2	SINT1_56110.1, SINT1_56110.2, SINT1_56110.3
OG0001243	TREG1_8420.1	SINT1_6780.1
OG0001244	TREG1_125880.1, TREG1_69080.1, TREG1_69090.1, TREG1_125890.1	SINT1_88080.1, SINT1_88080.2
OG0001245	TREG1_18020.1, TREG1_18010.3, TREG1_18010.4, TREG1_18010.5, TREG1_18010.2, TREG1_18010.1	SINT1_12240.1, SINT1_12240.2, SINT1_12240.3, SINT1_12240.4
OG0001246	TREG1_53280.3, TREG1_53280.5, TREG1_53280.1, TREG1_53280.2, TREG1_53280.4	SINT1_33130.3, SINT1_33130.1, SINT1_33130.2, SINT1_33130.4
OG0001247	TREG1_47380.1, TREG1_47380.3, TREG1_47380.4, TREG1_47380.2	SINT1_37220.3, SINT1_37220.5, SINT1_37220.1, SINT1_37220.2, SINT1_37220.4, SINT1_37220.6
OG0001248	TREG1_18520.1, TREG1_18520.2, TREG1_18520.3	SINT1_5650.1
OG0001249	TREG1_44330.2, TREG1_44330.1, TREG1_44330.4, TREG1_44330.3, TREG1_44330.5	SINT1_36050.2, SINT1_36050.1
OG0001250	TREG1_10100.1, TREG1_10100.2, TREG1_10100.3	SINT1_1930.1, SINT1_1940.1, SINT1_1940.2
OG0001251	TREG1_107170.1	SINT1_76230.1, SINT1_76230.2, SINT1_76230.3, SINT1_76230.4, SINT1_76230.5
OG0001252	TREG1_66510.1, TREG1_66510.2	SINT1_51820.1
OG0001253	TREG1_77040.1	SINT1_54750.1, SINT1_54750.2, SINT1_54750.3, SINT1_54750.4
OG0001254	TREG1_49390.1, TREG1_49400.1	SINT1_32830.1
OG0001255	TREG1_50250.1, TREG1_50250.3, TREG1_50250.5, TREG1_50250.4, TREG1_50250.2	SINT1_29030.1, SINT1_29030.2
OG0001256	TREG1_68350.1	SINT1_48330.1, SINT1_48330.2
OG0001257	TREG1_33570.1, TREG1_33570.2	SINT1_27030.3, SINT1_27030.1, SINT1_27030.2
OG0001258	TREG1_97270.2, TREG1_97270.1, TREG1_97270.3, TREG1_97270.5, TREG1_97270.6, TREG1_97270.7, TREG1_97270.4	SINT1_75560.4, SINT1_75560.2, SINT1_75560.3, SINT1_75560.5, SINT1_75560.1
OG0001259	TREG1_80880.1, TREG1_80880.2	SINT1_59240.1, SINT1_59240.10, SINT1_59240.2, SINT1_59240.3, SINT1_59240.4, SINT1_59240.9, SINT1_59240.5, SINT1_59240.6, SINT1_59240.7, SINT1_59240.8
OG0001260	TREG1_12590.1, TREG1_12590.2, TREG1_12590.3	SINT1_1400.1, SINT1_1400.2, SINT1_1400.4, SINT1_1400.3
OG0001261	TREG1_31480.4, TREG1_31480.1, TREG1_31480.2, TREG1_31480.3	SINT1_45540.2, SINT1_45540.1, SINT1_45540.4, SINT1_45540.5, SINT1_45540.3
OG0001262	TREG1_114870.1	SINT1_81340.1, SINT1_81340.2
OG0001263	TREG1_127810.1, TREG1_127810.2	SINT1_88210.4, SINT1_88210.6, SINT1_88210.5, SINT1_88210.1, SINT1_88210.2, SINT1_88210.3
OG0001263	TREG1_127840.1	SINT1_88220.1
OG0001264	TREG1_64220.1, TREG1_64220.2	SINT1_53760.2, SINT1_53760.1
OG0001265	TREG1_144620.1, TREG1_83740.1	SINT1_60630.1, SINT1_60630.2, SINT1_60630.3
OG0001266	TREG1_103100.4, TREG1_103100.3, TREG1_103100.1, TREG1_103100.2, TREG1_103100.5	SINT1_69740.1
OG0001267	TREG1_73840.1, TREG1_73840.2, TREG1_73840.3, TREG1_73840.4, TREG1_73840.5	SINT1_53160.1
OG0001268	TREG1_122810.1	SINT1_88030.1
OG0001268	TREG1_4230.1, TREG1_4240.1	SINT1_7950.4
OG0001269	TREG1_59950.1, TREG1_59950.2, TREG1_59950.3, TREG1_59950.4, TREG1_59950.6, TREG1_59950.7, TREG1_59950.5	SINT1_23750.1
OG0001270	TREG1_119430.1, TREG1_119430.2, TREG1_119430.3, TREG1_119430.4, TREG1_119430.5, TREG1_119430.6	SINT1_87380.1
OG0001271	TREG1_88840.1	SINT1_64580.1
OG0001272	TREG1_101080.1, TREG1_101080.2, TREG1_101080.3	SINT1_79010.1
OG0001273	TREG1_106650.1	SINT1_72770.1
OG0001274	TREG1_90420.1, TREG1_90430.2, TREG1_90430.9, TREG1_90430.5, TREG1_90430.11, TREG1_90430.4, TREG1_90430.10, TREG1_90430.3, TREG1_90430.6, TREG1_90430.1, TREG1_90430.7, TREG1_90430.8	SINT1_67810.1, SINT1_67810.3, SINT1_67810.2, SINT1_67810.4, SINT1_67810.5
OG0001275	TREG1_71200.1	SINT1_54310.1
OG0001276	TREG1_89250.6, TREG1_89250.3, TREG1_89250.5, TREG1_89250.1, TREG1_89250.2, TREG1_89250.4	SINT1_63990.1, SINT1_63990.2, SINT1_63990.3
OG0001277	TREG1_13070.1, TREG1_13070.2, TREG1_13070.3	SINT1_3130.1
OG0001278	TREG1_126300.1	SINT1_89250.6, SINT1_89250.1, SINT1_89250.2, SINT1_89250.3, SINT1_89250.5, SINT1_89250.4
OG0001279	TREG1_36920.2, TREG1_36920.6, TREG1_36920.4, TREG1_36920.3, TREG1_36920.5, TREG1_36920.1	SINT1_35020.1, SINT1_35020.2, SINT1_35020.4, SINT1_35020.3
OG0001280	TREG1_68910.1, TREG1_68910.2, TREG1_68910.3, TREG1_68910.4, TREG1_68910.5	SINT1_51710.1
OG0001281	TREG1_101530.1, TREG1_101540.1, TREG1_101590.1, TREG1_101600.1, TREG1_101610.1	SINT1_77090.1, SINT1_77120.1, SINT1_77140.1
OG0001282	TREG1_133800.1	SINT1_93080.1, SINT1_93080.2
OG0001283	TREG1_52690.1, TREG1_52680.1	SINT1_35570.3, SINT1_35570.4, SINT1_35570.1, SINT1_35570.2, SINT1_35570.5
OG0001284	TREG1_15700.1, TREG1_15710.1, TREG1_15720.1, TREG1_15690.1, TREG1_15680.1, TREG1_15680.2, TREG1_15680.4, TREG1_15680.3, TREG1_15680.5	SINT1_17910.1, SINT1_17910.2, SINT1_17910.3, SINT1_17910.4, SINT1_17910.5
OG0001285	TREG1_4680.1, TREG1_4680.2	SINT1_95240.1, SINT1_95250.1, SINT1_95300.1, SINT1_95270.1, SINT1_95700.1, SINT1_95260.1
OG0001288	TREG1_134020.1	SINT1_92440.1, SINT1_92440.2, SINT1_92440.3, SINT1_92440.4
OG0001289	TREG1_46680.1	SINT1_29680.2, SINT1_29680.1
OG0001290	TREG1_3630.1, TREG1_3630.2, TREG1_3630.3	SINT1_4950.1
OG0001291	TREG1_6210.1, TREG1_9410.1, TREG1_9570.1	SINT1_7010.2, SINT1_7010.4, SINT1_7010.5, SINT1_7010.3, SINT1_7010.1
OG0001292	TREG1_26070.17, TREG1_26070.16, TREG1_26070.19, TREG1_26070.22, TREG1_26070.23, TREG1_26070.18, TREG1_26070.20, TREG1_26070.21, TREG1_26100.1, TREG1_26070.6, TREG1_138140.1, TREG1_26150.1, TREG1_26070.5, TREG1_26130.4, TREG1_26130.5, TREG1_26130.3, TREG1_26090.1, TREG1_138130.1, TREG1_26070.7	SINT1_7150.1, SINT1_7150.4, SINT1_7150.2, SINT1_7150.3
OG0001293	TREG1_73260.3, TREG1_73260.1, TREG1_73260.2, TREG1_73260.4	SINT1_55330.1, SINT1_55330.2, SINT1_55330.3
OG0001294	TREG1_50680.6, TREG1_50680.5, TREG1_50680.1, TREG1_50680.2, TREG1_50680.4, TREG1_50680.3	SINT1_32210.1, SINT1_32210.4, SINT1_32210.2, SINT1_32210.3, SINT1_32210.5
OG0001295	TREG1_54320.4, TREG1_54320.3, TREG1_54320.1, TREG1_54320.2	SINT1_31890.1
OG0001296	TREG1_10870.1	SINT1_7510.1
OG0001297	TREG1_14590.1	SINT1_14110.2, SINT1_14110.1, SINT1_14110.3, SINT1_14110.4, SINT1_14110.5, SINT1_14110.6
OG0001298	TREG1_51920.1	SINT1_36210.1
OG0001299	TREG1_47730.1, TREG1_47730.2, TREG1_47730.3	SINT1_32760.2, SINT1_32760.3, SINT1_32760.6, SINT1_32760.5, SINT1_32760.1, SINT1_32760.4
OG0001300	TREG1_18570.1, TREG1_18570.2	SINT1_6000.1
OG0001301	TREG1_61640.2, TREG1_61640.3, TREG1_61640.1, TREG1_61640.4	SINT1_54360.1
OG0001302	TREG1_7840.1	SINT1_2290.2, SINT1_2290.4, SINT1_2290.5, SINT1_2290.1, SINT1_2290.3
OG0001303	TREG1_58540.1	SINT1_31870.1
OG0001304	TREG1_122440.1	SINT1_87030.1
OG0001305	TREG1_12560.1, TREG1_12560.2, TREG1_12560.3	SINT1_1430.1, SINT1_1430.2, SINT1_1430.4, SINT1_1430.5, SINT1_1430.3
OG0001306	TREG1_140790.1, TREG1_140790.2, TREG1_140790.5, TREG1_140790.7, TREG1_83670.1, TREG1_140790.3, TREG1_140790.4, TREG1_140790.6, TREG1_140790.8	SINT1_61250.1, SINT1_61250.4, SINT1_61250.5, SINT1_61250.2, SINT1_61250.3
OG0001307	TREG1_111790.1, TREG1_111830.1	SINT1_80190.1
OG0001307	TREG1_111820.1	SINT1_80170.1
OG0001308	TREG1_143350.1, TREG1_26030.1, TREG1_143350.2, TREG1_145540.1, TREG1_94040.1, TREG1_133760.1, TREG1_26040.1, TREG1_133660.1, TREG1_133700.1, TREG1_133710.1, TREG1_133690.1, TREG1_133680.1, TREG1_133730.1, TREG1_133720.1, TREG1_133670.1, TREG1_133650.1, TREG1_143320.1, TREG1_144160.3, TREG1_144160.1, TREG1_144160.2, TREG1_143330.1, TREG1_143330.2, TREG1_133600.1, TREG1_133590.1, TREG1_143360.1	SINT1_93200.1
OG0001309	TREG1_97190.1	SINT1_73070.1, SINT1_73070.2, SINT1_73070.3
OG0001310	TREG1_60190.1	SINT1_27570.1
OG0001311	TREG1_43350.4, TREG1_43350.5, TREG1_43350.1, TREG1_43350.2, TREG1_43350.3	SINT1_44210.1, SINT1_44210.2
OG0001312	TREG1_55180.1	SINT1_31640.1, SINT1_31640.2
OG0001313	TREG1_40420.1	SINT1_41810.1, SINT1_41810.2
OG0001314	TREG1_7520.1	SINT1_10670.1
OG0001315	TREG1_55130.1	SINT1_31600.1
OG0001316	TREG1_36820.1, TREG1_36820.2	SINT1_35110.1
OG0001316	TREG1_116380.1	SINT1_83660.1
OG0001317	TREG1_24450.1, TREG1_24450.2	SINT1_14960.1
OG0001320	TREG1_87500.1, TREG1_87500.2	SINT1_63150.1, SINT1_63150.2, SINT1_63150.3
OG0001322	TREG1_63650.4, TREG1_63650.1, TREG1_63650.3, TREG1_63650.2	SINT1_47720.2, SINT1_47720.3, SINT1_47720.1
OG0001323	TREG1_13400.3, TREG1_13400.1, TREG1_13400.2	SINT1_850.3, SINT1_850.1, SINT1_850.2, SINT1_850.4
OG0001324	TREG1_123330.3, TREG1_123330.1, TREG1_123330.2, TREG1_123330.5, TREG1_123330.4	SINT1_85410.3, SINT1_85410.2, SINT1_85410.1
OG0001325	TREG1_133290.1	SINT1_94550.2, SINT1_94550.4, SINT1_94550.3, SINT1_94550.1
OG0001326	TREG1_71430.1, TREG1_71440.1	SINT1_53630.1, SINT1_53630.2, SINT1_53630.3, SINT1_53630.4, SINT1_53630.5
OG0001327	TREG1_129320.1, TREG1_129320.2, TREG1_129320.4, TREG1_129320.3, TREG1_129320.5	SINT1_89560.3, SINT1_89560.1, SINT1_89560.4, SINT1_89560.2
OG0001328	TREG1_4560.1, TREG1_4560.2, TREG1_4560.3	SINT1_4470.2, SINT1_4470.3, SINT1_4470.4, SINT1_4470.1
OG0001329	TREG1_16820.1	SINT1_6280.3, SINT1_6280.2, SINT1_6280.5, SINT1_6280.6, SINT1_6280.1, SINT1_6280.4
OG0001330	TREG1_45120.1, TREG1_45120.2, TREG1_45120.3	SINT1_31010.1, SINT1_31010.2, SINT1_31010.3, SINT1_31010.5, SINT1_31010.6, SINT1_31010.4
OG0001331	TREG1_66410.1, TREG1_140390.1, TREG1_140390.2, TREG1_140390.3, TREG1_140390.4, TREG1_140390.5, TREG1_140390.6, TREG1_140390.7	SINT1_48100.1
OG0001332	TREG1_81650.1	SINT1_58960.1
OG0001333	TREG1_91100.1, TREG1_91100.2, TREG1_91100.4, TREG1_91100.5, TREG1_91100.6, TREG1_91100.3	SINT1_63760.3, SINT1_63760.1, SINT1_63760.2
OG0001334	TREG1_12490.1	SINT1_1470.1, SINT1_1470.2
OG0001335	TREG1_45280.1, TREG1_45280.4, TREG1_45280.3, TREG1_45280.2	SINT1_30870.1, SINT1_30870.2
OG0001336	TREG1_62200.1	SINT1_46320.1, SINT1_46320.3, SINT1_46320.2
OG0001337	TREG1_71320.1	SINT1_53740.1, SINT1_53740.2, SINT1_53740.3, SINT1_53740.4, SINT1_53740.5
OG0001338	TREG1_47130.4, TREG1_47130.3, TREG1_47130.1, TREG1_47130.2	SINT1_37100.1, SINT1_37100.2, SINT1_37100.3, SINT1_37100.4
